s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Afghanistan,AF,Badakhshan,badakhshan,Ashkasham,ashkasham
Afghanistan,AF,Badakhshan,badakhshan,Fayzabad,fayzabad
Afghanistan,AF,Badakhshan,badakhshan,Jurm,jurm
Afghanistan,AF,Badakhshan,badakhshan,Khandud,khandud
Afghanistan,AF,Badakhshan,badakhshan,Raghistan,raghistan
Afghanistan,AF,Badakhshan,badakhshan,Wakhan,wakhan
Afghanistan,AF,Badghis,badghis,Ghormach,ghormach
Afghanistan,AF,Badghis,badghis,Qala i Naw,qala-i-naw
Afghanistan,AF,Baghlan,baghlan,Baghlan,baghlan
Afghanistan,AF,Baghlan,baghlan,Hukumati Dahanah-ye Ghori,hukumati-dahanah-ye-ghori
Afghanistan,AF,Baghlan,baghlan,Nahrin,nahrin
Afghanistan,AF,Baghlan,baghlan,Pul-e Khumri,pul-e-khumri
Afghanistan,AF,Balkh,balkh,Balkh,balkh
Afghanistan,AF,Balkh,balkh,Dowlatabad,dowlatabad
Afghanistan,AF,Balkh,balkh,Khulm,khulm
Afghanistan,AF,Balkh,balkh,Lab-Sar,lab-sar
Afghanistan,AF,Balkh,balkh,Mazar-e Sharif,mazar-e-sharif
Afghanistan,AF,Balkh,balkh,Qarchi Gak,qarchi-gak
Afghanistan,AF,Bamyan,bamyan,Bamyan,bamyan
Afghanistan,AF,Bamyan,bamyan,Panjab,panjab
Afghanistan,AF,Daykundi,daykundi,Nili,nili
Afghanistan,AF,Farah,farah,Farah,farah
Afghanistan,AF,Faryab,faryab,Andkhoy,andkhoy
Afghanistan,AF,Faryab,faryab,Maymana,maymana
Afghanistan,AF,Ghazni,ghazni,Ghazni,ghazni
Afghanistan,AF,Ghor,ghor,Fayroz Koh,fayroz-koh
Afghanistan,AF,Ghor,ghor,Shahrak,shahrak
Afghanistan,AF,Helmand,helmand,Alaqahdari Dishu,alaqahdari-dishu
Afghanistan,AF,Helmand,helmand,Gereshk,gereshk
Afghanistan,AF,Helmand,helmand,Lashkar Gah,lashkar-gah
Afghanistan,AF,Helmand,helmand,Markaz-e Hukumat-e Darweshan,markaz-e-hukumat-e-darweshan
Afghanistan,AF,Helmand,helmand,Sangin,sangin
Afghanistan,AF,Herat,herat,Chahar Burj,chahar-burj
Afghanistan,AF,Herat,herat,Ghoriyan,ghoriyan
Afghanistan,AF,Herat,herat,Herat,herat
Afghanistan,AF,Herat,herat,Kafir Qala,kafir-qala
Afghanistan,AF,Herat,herat,Karukh,karukh
Afghanistan,AF,Herat,herat,Kuhsan,kuhsan
Afghanistan,AF,Herat,herat,Kushk,kushk
Afghanistan,AF,Herat,herat,Qarah Bagh,qarah-bagh
Afghanistan,AF,Herat,herat,Shindand,shindand
Afghanistan,AF,Herat,herat,Tir Pul,tir-pul
Afghanistan,AF,Herat,herat,Zindah Jan,zindah-jan
Afghanistan,AF,Jowzjan,jowzjan,Aqchah,aqchah
Afghanistan,AF,Jowzjan,jowzjan,Darzab,darzab
Afghanistan,AF,Jowzjan,jowzjan,Qarqin,qarqin
Afghanistan,AF,Jowzjan,jowzjan,Shibirghan,shibirghan
Afghanistan,AF,Kabul,kabul,Kabul,kabul
Afghanistan,AF,Kabul,kabul,Mir Bachah Kot,mir-bachah-kot
Afghanistan,AF,Kabul,kabul,Paghman,paghman
Afghanistan,AF,Kandahar,kandahar,Kandahar,kandahar
Afghanistan,AF,Kapisa,kapisa,Sidqabad,sidqabad
Afghanistan,AF,Khost,khost,Khost,khost
Afghanistan,AF,Kunar,kunar,Asadabad,asadabad
Afghanistan,AF,Kunar,kunar,Asmar,asmar
Afghanistan,AF,Kunduz Province,kunduz-province,Dasht-e Archi,dasht-e-archi
Afghanistan,AF,Kunduz Province,kunduz-province,Imam Sahib,imam-sahib
Afghanistan,AF,Kunduz Province,kunduz-province,Khanabad,khanabad
Afghanistan,AF,Kunduz Province,kunduz-province,Kunduz,kunduz
Afghanistan,AF,Kunduz Province,kunduz-province,Qarawul,qarawul
Afghanistan,AF,Laghman,laghman,Mehtar Lam,mehtar-lam
Afghanistan,AF,Logar,logar,Baraki Barak,baraki-barak
Afghanistan,AF,Logar,logar,Hukumati Azrah,hukumati-azrah
Afghanistan,AF,Logar,logar,Pul-e Alam,pul-e-alam
Afghanistan,AF,Nangarhar,nangarhar,Basawul,basawul
Afghanistan,AF,Nangarhar,nangarhar,Jalalabad,jalalabad
Afghanistan,AF,Nangarhar,nangarhar,Markaz-e Woluswali-ye Achin,markaz-e-woluswali-ye-achin
Afghanistan,AF,Nimruz,nimruz,Khash,khash
Afghanistan,AF,Nimruz,nimruz,Mirabad,mirabad
Afghanistan,AF,Nimruz,nimruz,Rudbar,rudbar
Afghanistan,AF,Nimruz,nimruz,Zaranj,zaranj
Afghanistan,AF,Nuristan,nuristan,Parun,parun
Afghanistan,AF,Paktia,paktia,Gardez,gardez
Afghanistan,AF,Paktika,paktika,Sarobi,sarobi
