s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Albania,AL,Berat County,berat-county,Berat County,berat-county
Albania,AL,Berat District,berat-district,Banaj,banaj
Albania,AL,Berat District,berat-district,Bashkia Berat,bashkia-berat
Albania,AL,Berat District,berat-district,Bashkia Kucove,bashkia-kucove
Albania,AL,Berat District,berat-district,Bashkia Polican,bashkia-polican
Albania,AL,Berat District,berat-district,Bashkia Skrapar,bashkia-skrapar
Albania,AL,Berat District,berat-district,Berat,berat
Albania,AL,Berat District,berat-district,Corovode,corovode
Albania,AL,Berat District,berat-district,Kucove,kucove
Albania,AL,Berat District,berat-district,Polican,polican
Albania,AL,Berat District,berat-district,Rrethi i Beratit,rrethi-i-beratit
Albania,AL,Berat District,berat-district,Rrethi i Kucoves,rrethi-i-kucoves
Albania,AL,Berat District,berat-district,Rrethi i Skraparit,rrethi-i-skraparit
Albania,AL,Berat District,berat-district,Ura Vajgurore,ura-vajgurore
Albania,AL,Bulqize District,bulqize-district,Bulqize District,bulqize-district
Albania,AL,Delvine District,delvine-district,Delvine District,delvine-district
Albania,AL,Devoll District,devoll-district,Devoll District,devoll-district
Albania,AL,Diber County,diber-county,Bashkia Bulqize,bashkia-bulqize
Albania,AL,Diber County,diber-county,Bashkia Klos,bashkia-klos
Albania,AL,Diber County,diber-county,Bashkia Mat,bashkia-mat
Albania,AL,Diber County,diber-county,Bulqize,bulqize
Albania,AL,Diber County,diber-county,Burrel,burrel
Albania,AL,Diber County,diber-county,Klos,klos
Albania,AL,Diber County,diber-county,Peshkopi,peshkopi
Albania,AL,Diber County,diber-county,Rrethi i Bulqizes,rrethi-i-bulqizes
Albania,AL,Diber County,diber-county,Rrethi i Dibres,rrethi-i-dibres
Albania,AL,Diber County,diber-county,Rrethi i Matit,rrethi-i-matit
Albania,AL,Diber County,diber-county,Ulez,ulez
Albania,AL,Diber District,diber-district,Diber District,diber-district
Albania,AL,Durres County,durres-county,Durres County,durres-county
Albania,AL,Durres District,durres-district,Bashkia Durres,bashkia-durres
Albania,AL,Durres District,durres-district,Bashkia Kruje,bashkia-kruje
Albania,AL,Durres District,durres-district,Bashkia Shijak,bashkia-shijak
Albania,AL,Durres District,durres-district,Durres,durres
Albania,AL,Durres District,durres-district,Durres District,durres-district
Albania,AL,Durres District,durres-district,Fushe-Kruje,fushe-kruje
Albania,AL,Durres District,durres-district,Kruje,kruje
