s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Argentina,AR,Buenos Aires,buenos-aires,Balvanera,balvanera
Argentina,AR,Buenos Aires,buenos-aires,Barracas,barracas
Argentina,AR,Buenos Aires,buenos-aires,Belgrano,belgrano
Argentina,AR,Buenos Aires,buenos-aires,Boedo,boedo
Argentina,AR,Buenos Aires,buenos-aires,Buenos Aires,buenos-aires
Argentina,AR,Buenos Aires,buenos-aires,Colegiales,colegiales
Argentina,AR,Buenos Aires,buenos-aires,Retiro,retiro
Argentina,AR,Buenos Aires,buenos-aires,Villa Lugano,villa-lugano
Argentina,AR,Buenos Aires,buenos-aires,Villa Ortuzar,villa-ortuzar
Argentina,AR,Buenos Aires,buenos-aires,Villa Santa Rita,villa-santa-rita
Argentina,AR,Catamarca Province,catamarca-province,Ancasti,ancasti
Argentina,AR,Catamarca Province,catamarca-province,Andalgala,andalgala
Argentina,AR,Catamarca Province,catamarca-province,Antofagasta de la Sierra,antofagasta-de-la-sierra
Argentina,AR,Catamarca Province,catamarca-province,Capayan,capayan
Argentina,AR,Catamarca Province,catamarca-province,Departamento de Ambato,departamento-de-ambato
Argentina,AR,Catamarca Province,catamarca-province,Departamento de Ancasti,departamento-de-ancasti
Argentina,AR,Catamarca Province,catamarca-province,Departamento de Andalgala,departamento-de-andalgala
Argentina,AR,Catamarca Province,catamarca-province,Departamento de Antofagasta de la Sierra,departamento-de-antofagasta-de-la-sierra
Argentina,AR,Catamarca Province,catamarca-province,Departamento de Capayan,departamento-de-capayan
Argentina,AR,Catamarca Province,catamarca-province,Departamento de Capital,departamento-de-capital
Argentina,AR,Catamarca Province,catamarca-province,Departamento de El Alto,departamento-de-el-alto
Argentina,AR,Catamarca Province,catamarca-province,Departamento de Fray Mamerto Esquiu,departamento-de-fray-mamerto-esquiu
Argentina,AR,Catamarca Province,catamarca-province,Departamento de La Paz,departamento-de-la-paz
Argentina,AR,Catamarca Province,catamarca-province,Departamento de Poman,departamento-de-poman
Argentina,AR,Catamarca Province,catamarca-province,Departamento de Santa Maria,departamento-de-santa-maria
Argentina,AR,Catamarca Province,catamarca-province,Departamento de Santa Rosa,departamento-de-santa-rosa
Argentina,AR,Catamarca Province,catamarca-province,Departamento de Tinogasta,departamento-de-tinogasta
Argentina,AR,Catamarca Province,catamarca-province,Departamento de Valle Viejo,departamento-de-valle-viejo
Argentina,AR,Catamarca Province,catamarca-province,El Rodeo,el-rodeo
Argentina,AR,Catamarca Province,catamarca-province,Fiambala,fiambala
Argentina,AR,Catamarca Province,catamarca-province,Hualfin,hualfin
Argentina,AR,Catamarca Province,catamarca-province,Huillapima,huillapima
Argentina,AR,Catamarca Province,catamarca-province,Icano,icano
Argentina,AR,Catamarca Province,catamarca-province,La Puerta de San Jose,la-puerta-de-san-jose
Argentina,AR,Catamarca Province,catamarca-province,Londres,londres
Argentina,AR,Catamarca Province,catamarca-province,Los Altos,los-altos
Argentina,AR,Catamarca Province,catamarca-province,Los Varela,los-varela
Argentina,AR,Catamarca Province,catamarca-province,Mutquin,mutquin
Argentina,AR,Catamarca Province,catamarca-province,Poman,poman
Argentina,AR,Catamarca Province,catamarca-province,Puerta de Corral Quemado,puerta-de-corral-quemado
Argentina,AR,Catamarca Province,catamarca-province,Recreo,recreo
Argentina,AR,Catamarca Province,catamarca-province,San Antonio,san-antonio
Argentina,AR,Catamarca Province,catamarca-province,San Fernando del Valle de Catamarca,san-fernando-del-valle-de-catamarca
Argentina,AR,Catamarca Province,catamarca-province,Santa Maria,santa-maria
Argentina,AR,Catamarca Province,catamarca-province,Tinogasta,tinogasta
Argentina,AR,Chaco Province,chaco-province,Avia Terai,avia-terai
Argentina,AR,Chaco Province,chaco-province,Barranqueras,barranqueras
Argentina,AR,Chaco Province,chaco-province,Basail,basail
Argentina,AR,Chaco Province,chaco-province,Campo Largo,campo-largo
Argentina,AR,Chaco Province,chaco-province,Capitan Solari,capitan-solari
Argentina,AR,Chaco Province,chaco-province,Castelli,castelli
Argentina,AR,Chaco Province,chaco-province,Charadai,charadai
Argentina,AR,Chaco Province,chaco-province,Charata,charata
Argentina,AR,Chaco Province,chaco-province,Chorotis,chorotis
Argentina,AR,Chaco Province,chaco-province,Ciervo Petiso,ciervo-petiso
Argentina,AR,Chaco Province,chaco-province,Colonia Benitez,colonia-benitez
Argentina,AR,Chaco Province,chaco-province,Colonia Elisa,colonia-elisa
Argentina,AR,Chaco Province,chaco-province,Colonias Unidas,colonias-unidas
Argentina,AR,Chaco Province,chaco-province,Concepcion del Bermejo,concepcion-del-bermejo
Argentina,AR,Chaco Province,chaco-province,Coronel Du Graty,coronel-du-graty
Argentina,AR,Chaco Province,chaco-province,Corzuela,corzuela
Argentina,AR,Chaco Province,chaco-province,Cote-Lai,cote-lai
Argentina,AR,Chaco Province,chaco-province,Departamento de Almirante Brown,departamento-de-almirante-brown
Argentina,AR,Chaco Province,chaco-province,Departamento de Bermejo,departamento-de-bermejo
Argentina,AR,Chaco Province,chaco-province,Departamento de Comandante Fernandez,departamento-de-comandante-fernandez
Argentina,AR,Chaco Province,chaco-province,Departamento de Doce de Octubre,departamento-de-doce-de-octubre
Argentina,AR,Chaco Province,chaco-province,Departamento de Dos de Abril,departamento-de-dos-de-abril
Argentina,AR,Chaco Province,chaco-province,Departamento de General Donovan,departamento-de-general-donovan
Argentina,AR,Chaco Province,chaco-province,Departamento de General Guemes,departamento-de-general-guemes
Argentina,AR,Chaco Province,chaco-province,Departamento de Independencia,departamento-de-independencia
Argentina,AR,Chaco Province,chaco-province,Departamento de Libertad,departamento-de-libertad
Argentina,AR,Chaco Province,chaco-province,Departamento de Maipu,departamento-de-maipu
Argentina,AR,Chaco Province,chaco-province,Departamento de Nueve de Julio,departamento-de-nueve-de-julio
Argentina,AR,Chaco Province,chaco-province,Departamento de OHiggins,departamento-de-ohiggins
Argentina,AR,Chaco Province,chaco-province,Departamento de Presidencia de la Plaza,departamento-de-presidencia-de-la-plaza
Argentina,AR,Chaco Province,chaco-province,Departamento de Quitilipi,departamento-de-quitilipi
Argentina,AR,Chaco Province,chaco-province,Departamento de San Fernando,departamento-de-san-fernando
Argentina,AR,Chaco Province,chaco-province,Departamento de San Lorenzo,departamento-de-san-lorenzo
Argentina,AR,Chaco Province,chaco-province,Departamento de Sargento Cabral,departamento-de-sargento-cabral
Argentina,AR,Chaco Province,chaco-province,Departamento de Tapenaga,departamento-de-tapenaga
Argentina,AR,Chaco Province,chaco-province,Fontana,fontana
Argentina,AR,Chaco Province,chaco-province,Gancedo,gancedo
Argentina,AR,Chaco Province,chaco-province,General Jose de San Martin,general-jose-de-san-martin
Argentina,AR,Chaco Province,chaco-province,General Pinedo,general-pinedo
Argentina,AR,Chaco Province,chaco-province,General Vedia,general-vedia
Argentina,AR,Chaco Province,chaco-province,Hermoso Campo,hermoso-campo
Argentina,AR,Chaco Province,chaco-province,La Clotilde,la-clotilde
Argentina,AR,Chaco Province,chaco-province,La Eduvigis,la-eduvigis
Argentina,AR,Chaco Province,chaco-province,La Escondida,la-escondida
Argentina,AR,Chaco Province,chaco-province,La Leonesa,la-leonesa
Argentina,AR,Chaco Province,chaco-province,La Tigra,la-tigra
Argentina,AR,Chaco Province,chaco-province,La Verde,la-verde
Argentina,AR,Chaco Province,chaco-province,Laguna Limpia,laguna-limpia
Argentina,AR,Chaco Province,chaco-province,Lapachito,lapachito
Argentina,AR,Chaco Province,chaco-province,Las Brenas,las-brenas
Argentina,AR,Chaco Province,chaco-province,Las Garcitas,las-garcitas
Argentina,AR,Chaco Province,chaco-province,Los Frentones,los-frentones
Argentina,AR,Chaco Province,chaco-province,Machagai,machagai
Argentina,AR,Chaco Province,chaco-province,Makalle,makalle
Argentina,AR,Chaco Province,chaco-province,Margarita Belen,margarita-belen
Argentina,AR,Chaco Province,chaco-province,Napenay,napenay
Argentina,AR,Chaco Province,chaco-province,Pampa Almiron,pampa-almiron
Argentina,AR,Chaco Province,chaco-province,Pampa del Indio,pampa-del-indio
Argentina,AR,Chaco Province,chaco-province,Pampa del Infierno,pampa-del-infierno
Argentina,AR,Chaco Province,chaco-province,Presidencia de la Plaza,presidencia-de-la-plaza
Argentina,AR,Chaco Province,chaco-province,Presidencia Roca,presidencia-roca
Argentina,AR,Chaco Province,chaco-province,Presidencia Roque Saenz Pena,presidencia-roque-saenz-pena
Argentina,AR,Chaco Province,chaco-province,Puerto Bermejo,puerto-bermejo
Argentina,AR,Chaco Province,chaco-province,Puerto Tirol,puerto-tirol
Argentina,AR,Chaco Province,chaco-province,Puerto Vilelas,puerto-vilelas
Argentina,AR,Chaco Province,chaco-province,Quitilipi,quitilipi
Argentina,AR,Chaco Province,chaco-province,Resistencia,resistencia
Argentina,AR,Chaco Province,chaco-province,Samuhu,samuhu
Argentina,AR,Chaco Province,chaco-province,San Bernardo,san-bernardo
Argentina,AR,Chaco Province,chaco-province,Santa Sylvina,santa-sylvina
Argentina,AR,Chaco Province,chaco-province,Taco Pozo,taco-pozo
Argentina,AR,Chaco Province,chaco-province,Tres Isletas,tres-isletas
