s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Azerbaijan,AZ,Absheron District,absheron-district,Ceyranbatan,ceyranbatan
Azerbaijan,AZ,Absheron District,absheron-district,Digah,digah
Azerbaijan,AZ,Absheron District,absheron-district,Gyuzdek,gyuzdek
Azerbaijan,AZ,Absheron District,absheron-district,Khirdalan,khirdalan
Azerbaijan,AZ,Absheron District,absheron-district,Qobu,qobu
Azerbaijan,AZ,Absheron District,absheron-district,Saray,saray
Azerbaijan,AZ,Agdam District,agdam-district,Agdam,agdam
Azerbaijan,AZ,Agdash District,agdash-district,Agdas,agdas
Azerbaijan,AZ,Aghjabadi District,aghjabadi-district,Agdzhabedy,agdzhabedy
Azerbaijan,AZ,Aghjabadi District,aghjabadi-district,Avsar,avsar
Azerbaijan,AZ,Agstafa District,agstafa-district,Aghstafa,aghstafa
Azerbaijan,AZ,Agstafa District,agstafa-district,Saloglu,saloglu
Azerbaijan,AZ,Agstafa District,agstafa-district,Vurgun,vurgun
Azerbaijan,AZ,Agsu District,agsu-district,Aghsu,aghsu
Azerbaijan,AZ,Astara District,astara-district,Astara,astara
Azerbaijan,AZ,Astara District,astara-district,Kizhaba,kizhaba
Azerbaijan,AZ,Babek District,babek-district,Babek District,babek-district
Azerbaijan,AZ,Baku,baku,Amirdzhan,amirdzhan
Azerbaijan,AZ,Baku,baku,Badamdar,badamdar
Azerbaijan,AZ,Baku,baku,Bakxanov,bakxanov
Azerbaijan,AZ,Baku,baku,Baku,baku
Azerbaijan,AZ,Baku,baku,Balakhani,balakhani
Azerbaijan,AZ,Baku,baku,Bilajari,bilajari
Azerbaijan,AZ,Baku,baku,Bilajer,bilajer
Azerbaijan,AZ,Baku,baku,Binagadi,binagadi
Azerbaijan,AZ,Baku,baku,Biny Selo,biny-selo
Azerbaijan,AZ,Baku,baku,Buzovna,buzovna
Azerbaijan,AZ,Baku,baku,Hovsan,hovsan
Azerbaijan,AZ,Baku,baku,Khodzhi-Gasan,khodzhi-gasan
Azerbaijan,AZ,Baku,baku,Korgoz,korgoz
Azerbaijan,AZ,Baku,baku,Lokbatan,lokbatan
Azerbaijan,AZ,Baku,baku,Mardakan,mardakan
Azerbaijan,AZ,Baku,baku,Mastaga,mastaga
Azerbaijan,AZ,Baku,baku,Nardaran,nardaran
Azerbaijan,AZ,Baku,baku,Nizami Rayonu,nizami-rayonu
Azerbaijan,AZ,Baku,baku,Pirallah,pirallah
Azerbaijan,AZ,Baku,baku,Puta,puta
Azerbaijan,AZ,Baku,baku,Qala,qala
Azerbaijan,AZ,Baku,baku,Qaracuxur,qaracuxur
Azerbaijan,AZ,Baku,baku,Qobustan,qobustan
Azerbaijan,AZ,Baku,baku,Ramana,ramana
Azerbaijan,AZ,Baku,baku,Sabuncu,sabuncu
Azerbaijan,AZ,Baku,baku,Sanqacal,sanqacal
Azerbaijan,AZ,Baku,baku,Turkan,turkan
Azerbaijan,AZ,Baku,baku,Yeni Suraxan,yeni-suraxan
Azerbaijan,AZ,Baku,baku,Zabrat,zabrat
Azerbaijan,AZ,Baku,baku,Zyrya,zyrya
Azerbaijan,AZ,Balakan District,balakan-district,Belokany,belokany
Azerbaijan,AZ,Balakan District,balakan-district,Qabaqcol,qabaqcol
Azerbaijan,AZ,Barda District,barda-district,Barda,barda
Azerbaijan,AZ,Barda District,barda-district,Samuxlu,samuxlu
Azerbaijan,AZ,Beylagan District,beylagan-district,Beylagan,beylagan
Azerbaijan,AZ,Beylagan District,beylagan-district,Birinci Asql,birinci-asql
Azerbaijan,AZ,Beylagan District,beylagan-district,Dunyamallar,dunyamallar
Azerbaijan,AZ,Beylagan District,beylagan-district,Orjonikidze,orjonikidze
Azerbaijan,AZ,Beylagan District,beylagan-district,Yuxar Aran,yuxar-aran
Azerbaijan,AZ,Bilasuvar District,bilasuvar-district,Pushkino,pushkino
Azerbaijan,AZ,Dashkasan District,dashkasan-district,Verkhniy Dashkesan,verkhniy-dashkesan
Azerbaijan,AZ,Dashkasan District,dashkasan-district,Yukhary-Dashkesan,yukhary-dashkesan
Azerbaijan,AZ,Fizuli District,fizuli-district,Fizuli,fizuli
Azerbaijan,AZ,Fizuli District,fizuli-district,Horadiz,horadiz
Azerbaijan,AZ,Ganja,ganja,Ganja,ganja
Azerbaijan,AZ,Gdby,gdby,Arqdam,arqdam
Azerbaijan,AZ,Gdby,gdby,Arqran,arqran
Azerbaijan,AZ,Gdby,gdby,Boyuk Qaramurad,boyuk-qaramurad
Azerbaijan,AZ,Gdby,gdby,Kyadabek,kyadabek
Azerbaijan,AZ,Gdby,gdby,Novosaratovka,novosaratovka
Azerbaijan,AZ,Gobustan District,gobustan-district,Qobustan,qobustan
Azerbaijan,AZ,Goranboy District,goranboy-district,Goranboy,goranboy
Azerbaijan,AZ,Goranboy District,goranboy-district,Qzlhacl,qzlhacl
Azerbaijan,AZ,Goychay,goychay,Geoktschai,geoktschai
Azerbaijan,AZ,Goygol District,goygol-district,Yelenendorf,yelenendorf
Azerbaijan,AZ,Hajigabul District,hajigabul-district,Hacqabul,hacqabul
Azerbaijan,AZ,Hajigabul District,hajigabul-district,Mughan,mughan
Azerbaijan,AZ,Imishli District,imishli-district,Imishli,imishli
Azerbaijan,AZ,Ismailli District,ismailli-district,Basqal,basqal
Azerbaijan,AZ,Ismailli District,ismailli-district,Ismayll,ismayll
Azerbaijan,AZ,Jabrayil District,jabrayil-district,Jebrail,jebrail
Azerbaijan,AZ,Jalilabad District,jalilabad-district,Jalilabad,jalilabad
Azerbaijan,AZ,Jalilabad District,jalilabad-district,Prishibinskoye,prishibinskoye
Azerbaijan,AZ,Julfa District,julfa-district,Julfa District,julfa-district
Azerbaijan,AZ,Kalbajar District,kalbajar-district,Kerbakhiar,kerbakhiar
Azerbaijan,AZ,Kalbajar District,kalbajar-district,Vank,vank
Azerbaijan,AZ,Kangarli District,kangarli-district,Kangarli District,kangarli-district
Azerbaijan,AZ,Khachmaz District,khachmaz-district,Xacmaz,xacmaz
Azerbaijan,AZ,Khachmaz District,khachmaz-district,Xudat,xudat
Azerbaijan,AZ,Khizi District,khizi-district,Altagac,altagac
Azerbaijan,AZ,Khizi District,khizi-district,Khyzy,khyzy
Azerbaijan,AZ,Khizi District,khizi-district,Kilyazi,kilyazi
Azerbaijan,AZ,Khizi District,khizi-district,Suraabad,suraabad
Azerbaijan,AZ,Khojali District,khojali-district,Askyaran,askyaran
Azerbaijan,AZ,Khojali District,khojali-district,Xocal,xocal
Azerbaijan,AZ,Kurdamir District,kurdamir-district,Kyurdarmir,kyurdarmir
Azerbaijan,AZ,Lachin District,lachin-district,Lacn,lacn
Azerbaijan,AZ,Lankaran,lankaran,Lankaran,lankaran
Azerbaijan,AZ,Lankaran District,lankaran-district,Haftoni,haftoni
Azerbaijan,AZ,Lankaran District,lankaran-district,Lankaran,lankaran
Azerbaijan,AZ,Lerik District,lerik-district,Lerik,lerik
Azerbaijan,AZ,Martuni,martuni,Hadrut,hadrut
Azerbaijan,AZ,Martuni,martuni,Novyy Karanlug,novyy-karanlug
Azerbaijan,AZ,Martuni,martuni,Qrmz Bazar,qrmz-bazar
Azerbaijan,AZ,Masally District,masally-district,Boradigah,boradigah
Azerbaijan,AZ,Masally District,masally-district,Masally,masally
Azerbaijan,AZ,Mingachevir,mingachevir,Mingelchaur,mingelchaur
Azerbaijan,AZ,Nakhchivan Autonomous Republic,nakhchivan-autonomous-republic,Cahri,cahri
Azerbaijan,AZ,Nakhchivan Autonomous Republic,nakhchivan-autonomous-republic,Calxanqala,calxanqala
Azerbaijan,AZ,Nakhchivan Autonomous Republic,nakhchivan-autonomous-republic,Culfa,culfa
Azerbaijan,AZ,Nakhchivan Autonomous Republic,nakhchivan-autonomous-republic,Deste,deste
Azerbaijan,AZ,Nakhchivan Autonomous Republic,nakhchivan-autonomous-republic,Heydarabad,heydarabad
Azerbaijan,AZ,Nakhchivan Autonomous Republic,nakhchivan-autonomous-republic,Julfa Rayon,julfa-rayon
Azerbaijan,AZ,Nakhchivan Autonomous Republic,nakhchivan-autonomous-republic,Nakhchivan,nakhchivan
Azerbaijan,AZ,Nakhchivan Autonomous Republic,nakhchivan-autonomous-republic,Oglanqala,oglanqala
Azerbaijan,AZ,Nakhchivan Autonomous Republic,nakhchivan-autonomous-republic,Ordubad,ordubad
Azerbaijan,AZ,Nakhchivan Autonomous Republic,nakhchivan-autonomous-republic,Ordubad Rayon,ordubad-rayon
Azerbaijan,AZ,Nakhchivan Autonomous Republic,nakhchivan-autonomous-republic,Qvraq,qvraq
Azerbaijan,AZ,Nakhchivan Autonomous Republic,nakhchivan-autonomous-republic,Sahbuz,sahbuz
Azerbaijan,AZ,Nakhchivan Autonomous Republic,nakhchivan-autonomous-republic,Sedarak,sedarak
Azerbaijan,AZ,Nakhchivan Autonomous Republic,nakhchivan-autonomous-republic,Shahbuz Rayon,shahbuz-rayon
Azerbaijan,AZ,Nakhchivan Autonomous Republic,nakhchivan-autonomous-republic,Sharur City,sharur-city
