s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Bansko,bansko
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Belitsa,belitsa
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Blagoevgrad,blagoevgrad
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Garmen,garmen
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Gotse Delchev,gotse-delchev
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Hadzhidimovo,hadzhidimovo
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Kolarovo,kolarovo
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Kresna,kresna
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Bansko,obshtina-bansko
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Belitsa,obshtina-belitsa
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Blagoevgrad,obshtina-blagoevgrad
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Garmen,obshtina-garmen
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Gotse Delchev,obshtina-gotse-delchev
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Kresna,obshtina-kresna
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Petrich,obshtina-petrich
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Razlog,obshtina-razlog
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Sandanski,obshtina-sandanski
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Satovcha,obshtina-satovcha
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Simitli,obshtina-simitli
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Strumyani,obshtina-strumyani
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Obshtina Yakoruda,obshtina-yakoruda
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Petrich,petrich
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Razlog,razlog
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Sandanski,sandanski
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Satovcha,satovcha
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Simitli,simitli
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Stara Kresna,stara-kresna
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Strumyani,strumyani
Bulgaria,BG,Blagoevgrad Province,blagoevgrad-province,Yakoruda,yakoruda
Bulgaria,BG,Burgas Province,burgas-province,Aheloy,aheloy
Bulgaria,BG,Burgas Province,burgas-province,Ahtopol,ahtopol
Bulgaria,BG,Burgas Province,burgas-province,Aytos,aytos
Bulgaria,BG,Burgas Province,burgas-province,Bata,bata
Bulgaria,BG,Burgas Province,burgas-province,Burgas,burgas
Bulgaria,BG,Burgas Province,burgas-province,Chernomorets,chernomorets
Bulgaria,BG,Burgas Province,burgas-province,Kameno,kameno
Bulgaria,BG,Burgas Province,burgas-province,Karnobat,karnobat
Bulgaria,BG,Burgas Province,burgas-province,Kiten,kiten
Bulgaria,BG,Burgas Province,burgas-province,Malko Tarnovo,malko-tarnovo
Bulgaria,BG,Burgas Province,burgas-province,Nesebar,nesebar
Bulgaria,BG,Burgas Province,burgas-province,Obshtina Aytos,obshtina-aytos
Bulgaria,BG,Burgas Province,burgas-province,Obshtina Burgas,obshtina-burgas
Bulgaria,BG,Burgas Province,burgas-province,Obshtina Kameno,obshtina-kameno
Bulgaria,BG,Burgas Province,burgas-province,Obshtina Karnobat,obshtina-karnobat
Bulgaria,BG,Burgas Province,burgas-province,Obshtina Malko Tarnovo,obshtina-malko-tarnovo
Bulgaria,BG,Burgas Province,burgas-province,Obshtina Nesebar,obshtina-nesebar
Bulgaria,BG,Burgas Province,burgas-province,Obshtina Pomorie,obshtina-pomorie
Bulgaria,BG,Burgas Province,burgas-province,Obshtina Primorsko,obshtina-primorsko
Bulgaria,BG,Burgas Province,burgas-province,Obshtina Sozopol,obshtina-sozopol
Bulgaria,BG,Burgas Province,burgas-province,Obshtina Sungurlare,obshtina-sungurlare
Bulgaria,BG,Burgas Province,burgas-province,Obzor,obzor
Bulgaria,BG,Burgas Province,burgas-province,Pomorie,pomorie
Bulgaria,BG,Burgas Province,burgas-province,Primorsko,primorsko
Bulgaria,BG,Burgas Province,burgas-province,Ravda,ravda
Bulgaria,BG,Burgas Province,burgas-province,Ruen,ruen
Bulgaria,BG,Burgas Province,burgas-province,Sarafovo,sarafovo
Bulgaria,BG,Burgas Province,burgas-province,Sozopol,sozopol
Bulgaria,BG,Burgas Province,burgas-province,Sredets,sredets
Bulgaria,BG,Burgas Province,burgas-province,Sungurlare,sungurlare
Bulgaria,BG,Burgas Province,burgas-province,Sveti Vlas,sveti-vlas
Bulgaria,BG,Burgas Province,burgas-province,Tsarevo,tsarevo
Bulgaria,BG,Dobrich Province,dobrich-province,Balchik,balchik
Bulgaria,BG,Dobrich Province,dobrich-province,Dobrich,dobrich
Bulgaria,BG,Dobrich Province,dobrich-province,General Toshevo,general-toshevo
Bulgaria,BG,Dobrich Province,dobrich-province,Kavarna,kavarna
Bulgaria,BG,Dobrich Province,dobrich-province,Krushari,krushari
Bulgaria,BG,Dobrich Province,dobrich-province,Obshtina Balchik,obshtina-balchik
Bulgaria,BG,Dobrich Province,dobrich-province,Obshtina Dobrich,obshtina-dobrich
Bulgaria,BG,Dobrich Province,dobrich-province,Obshtina Dobrich-Selska,obshtina-dobrich-selska
Bulgaria,BG,Dobrich Province,dobrich-province,Obshtina General Toshevo,obshtina-general-toshevo
Bulgaria,BG,Dobrich Province,dobrich-province,Obshtina Kavarna,obshtina-kavarna
Bulgaria,BG,Dobrich Province,dobrich-province,Obshtina Krushari,obshtina-krushari
Bulgaria,BG,Dobrich Province,dobrich-province,Obshtina Shabla,obshtina-shabla
Bulgaria,BG,Dobrich Province,dobrich-province,Obshtina Tervel,obshtina-tervel
Bulgaria,BG,Dobrich Province,dobrich-province,Shabla,shabla
Bulgaria,BG,Dobrich Province,dobrich-province,Tervel,tervel
Bulgaria,BG,Gabrovo Province,gabrovo-province,Dryanovo,dryanovo
Bulgaria,BG,Gabrovo Province,gabrovo-province,Gabrovo,gabrovo
Bulgaria,BG,Gabrovo Province,gabrovo-province,Obshtina Dryanovo,obshtina-dryanovo
Bulgaria,BG,Gabrovo Province,gabrovo-province,Obshtina Gabrovo,obshtina-gabrovo
Bulgaria,BG,Gabrovo Province,gabrovo-province,Obshtina Sevlievo,obshtina-sevlievo
Bulgaria,BG,Gabrovo Province,gabrovo-province,Obshtina Tryavna,obshtina-tryavna
Bulgaria,BG,Gabrovo Province,gabrovo-province,Sevlievo,sevlievo
Bulgaria,BG,Gabrovo Province,gabrovo-province,Tryavna,tryavna
Bulgaria,BG,Haskovo Province,haskovo-province,Dimitrovgrad,dimitrovgrad
Bulgaria,BG,Haskovo Province,haskovo-province,Harmanli,harmanli
Bulgaria,BG,Haskovo Province,haskovo-province,Haskovo,haskovo
Bulgaria,BG,Haskovo Province,haskovo-province,Ivaylovgrad,ivaylovgrad
Bulgaria,BG,Haskovo Province,haskovo-province,Lyubimets,lyubimets
Bulgaria,BG,Haskovo Province,haskovo-province,Madzharovo,madzharovo
Bulgaria,BG,Haskovo Province,haskovo-province,Mineralni Bani,mineralni-bani
Bulgaria,BG,Haskovo Province,haskovo-province,Obshtina Dimitrovgrad,obshtina-dimitrovgrad
Bulgaria,BG,Haskovo Province,haskovo-province,Obshtina Harmanli,obshtina-harmanli
Bulgaria,BG,Haskovo Province,haskovo-province,Obshtina Haskovo,obshtina-haskovo
Bulgaria,BG,Haskovo Province,haskovo-province,Obshtina Ivaylovgrad,obshtina-ivaylovgrad
Bulgaria,BG,Haskovo Province,haskovo-province,Obshtina Madzharovo,obshtina-madzharovo
Bulgaria,BG,Haskovo Province,haskovo-province,Obshtina Mineralni Bani,obshtina-mineralni-bani
Bulgaria,BG,Haskovo Province,haskovo-province,Obshtina Stambolovo,obshtina-stambolovo
Bulgaria,BG,Haskovo Province,haskovo-province,Obshtina Svilengrad,obshtina-svilengrad
Bulgaria,BG,Haskovo Province,haskovo-province,Obshtina Topolovgrad,obshtina-topolovgrad
Bulgaria,BG,Haskovo Province,haskovo-province,Simeonovgrad,simeonovgrad
Bulgaria,BG,Haskovo Province,haskovo-province,Svilengrad,svilengrad
Bulgaria,BG,Haskovo Province,haskovo-province,Topolovgrad,topolovgrad
Bulgaria,BG,Kardzhali Province,kardzhali-province,Ardino,ardino
Bulgaria,BG,Kardzhali Province,kardzhali-province,Dzhebel,dzhebel
Bulgaria,BG,Kardzhali Province,kardzhali-province,Kardzhali,kardzhali
Bulgaria,BG,Kardzhali Province,kardzhali-province,Kirkovo,kirkovo
Bulgaria,BG,Kardzhali Province,kardzhali-province,Krumovgrad,krumovgrad
Bulgaria,BG,Kardzhali Province,kardzhali-province,Obshtina Ardino,obshtina-ardino
Bulgaria,BG,Kardzhali Province,kardzhali-province,Obshtina Chernoochene,obshtina-chernoochene
Bulgaria,BG,Kardzhali Province,kardzhali-province,Obshtina Dzhebel,obshtina-dzhebel
Bulgaria,BG,Kardzhali Province,kardzhali-province,Obshtina Kardzhali,obshtina-kardzhali
Bulgaria,BG,Kardzhali Province,kardzhali-province,Obshtina Kirkovo,obshtina-kirkovo
Bulgaria,BG,Kardzhali Province,kardzhali-province,Obshtina Momchilgrad,obshtina-momchilgrad
Bulgaria,BG,Kyustendil Province,kyustendil-province,Boboshevo,boboshevo
Bulgaria,BG,Kyustendil Province,kyustendil-province,Bobov Dol,bobov-dol
Bulgaria,BG,Kyustendil Province,kyustendil-province,Dupnitsa,dupnitsa
Bulgaria,BG,Kyustendil Province,kyustendil-province,Kocherinovo,kocherinovo
Bulgaria,BG,Kyustendil Province,kyustendil-province,Kyustendil,kyustendil
Bulgaria,BG,Kyustendil Province,kyustendil-province,Nevestino,nevestino
Bulgaria,BG,Kyustendil Province,kyustendil-province,Obshtina Boboshevo,obshtina-boboshevo
Bulgaria,BG,Kyustendil Province,kyustendil-province,Obshtina Bobov Dol,obshtina-bobov-dol
Bulgaria,BG,Kyustendil Province,kyustendil-province,Obshtina Dupnitsa,obshtina-dupnitsa
Bulgaria,BG,Kyustendil Province,kyustendil-province,Obshtina Kocherinovo,obshtina-kocherinovo
Bulgaria,BG,Kyustendil Province,kyustendil-province,Obshtina Kyustendil,obshtina-kyustendil
Bulgaria,BG,Kyustendil Province,kyustendil-province,Obshtina Nevestino,obshtina-nevestino
Bulgaria,BG,Kyustendil Province,kyustendil-province,Obshtina Rila,obshtina-rila
Bulgaria,BG,Kyustendil Province,kyustendil-province,Obshtina Sapareva Banya,obshtina-sapareva-banya
Bulgaria,BG,Kyustendil Province,kyustendil-province,Obshtina Treklyano,obshtina-treklyano
Bulgaria,BG,Kyustendil Province,kyustendil-province,Rila,rila
Bulgaria,BG,Kyustendil Province,kyustendil-province,Sapareva Banya,sapareva-banya
Bulgaria,BG,Lovech Province,lovech-province,Apriltsi,apriltsi
Bulgaria,BG,Lovech Province,lovech-province,Letnitsa,letnitsa
Bulgaria,BG,Lovech Province,lovech-province,Lovech,lovech
Bulgaria,BG,Lovech Province,lovech-province,Lukovit,lukovit
Bulgaria,BG,Lovech Province,lovech-province,Obshtina Lovech,obshtina-lovech
Bulgaria,BG,Lovech Province,lovech-province,Obshtina Teteven,obshtina-teteven
Bulgaria,BG,Lovech Province,lovech-province,Obshtina Ugarchin,obshtina-ugarchin
Bulgaria,BG,Lovech Province,lovech-province,Teteven,teteven
Bulgaria,BG,Lovech Province,lovech-province,Troyan,troyan
Bulgaria,BG,Lovech Province,lovech-province,Ugarchin,ugarchin
Bulgaria,BG,Lovech Province,lovech-province,Yablanitsa,yablanitsa
Bulgaria,BG,Montana Province,montana-province,Berkovitsa,berkovitsa
Bulgaria,BG,Montana Province,montana-province,Boychinovtsi,boychinovtsi
Bulgaria,BG,Montana Province,montana-province,Brusartsi,brusartsi
Bulgaria,BG,Montana Province,montana-province,Chiprovtsi,chiprovtsi
Bulgaria,BG,Montana Province,montana-province,Lom,lom
Bulgaria,BG,Montana Province,montana-province,Medkovets,medkovets
Bulgaria,BG,Montana Province,montana-province,Montana,montana
Bulgaria,BG,Montana Province,montana-province,Obshtina Boychinovtsi,obshtina-boychinovtsi
Bulgaria,BG,Montana Province,montana-province,Obshtina Chiprovtsi,obshtina-chiprovtsi
Bulgaria,BG,Montana Province,montana-province,Obshtina Georgi Damyanovo,obshtina-georgi-damyanovo
Bulgaria,BG,Montana Province,montana-province,Obshtina Lom,obshtina-lom
Bulgaria,BG,Montana Province,montana-province,Obshtina Montana,obshtina-montana
Bulgaria,BG,Montana Province,montana-province,Obshtina Valchedram,obshtina-valchedram
Bulgaria,BG,Montana Province,montana-province,Obshtina Varshets,obshtina-varshets
Bulgaria,BG,Montana Province,montana-province,Obshtina Yakimovo,obshtina-yakimovo
Bulgaria,BG,Montana Province,montana-province,Valchedram,valchedram
Bulgaria,BG,Montana Province,montana-province,Varshets,varshets
Bulgaria,BG,Montana Province,montana-province,Yakimovo,yakimovo
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Batak,batak
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Belovo,belovo
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Bratsigovo,bratsigovo
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Lesichovo,lesichovo
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Obshtina Batak,obshtina-batak
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Obshtina Belovo,obshtina-belovo
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Obshtina Bratsigovo,obshtina-bratsigovo
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Obshtina Lesichovo,obshtina-lesichovo
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Obshtina Panagyurishte,obshtina-panagyurishte
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Obshtina Pazardzhik,obshtina-pazardzhik
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Obshtina Peshtera,obshtina-peshtera
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Obshtina Rakitovo,obshtina-rakitovo
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Obshtina Septemvri,obshtina-septemvri
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Obshtina Strelcha,obshtina-strelcha
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Obshtina Velingrad,obshtina-velingrad
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Panagyurishte,panagyurishte
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Pazardzhik,pazardzhik
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Peshtera,peshtera
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Rakitovo,rakitovo
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Sarnitsa,sarnitsa
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Sarnitsa Obshtina,sarnitsa-obshtina
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Septemvri,septemvri
Bulgaria,BG,Pazardzhik Province,pazardzhik-province,Strelcha,strelcha
