s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Bahrain,BH,Capital Governorate,capital-governorate,Jidd Hafs,jidd-hafs
Bahrain,BH,Capital Governorate,capital-governorate,Manama,manama
Bahrain,BH,Capital Governorate,capital-governorate,Sitrah,sitrah
Bahrain,BH,Central Governorate,central-governorate,Madinat Hamad,madinat-hamad
Bahrain,BH,Muharraq Governorate,muharraq-governorate,Al Hadd,al-hadd
Bahrain,BH,Muharraq Governorate,muharraq-governorate,Al Muharraq,al-muharraq
Bahrain,BH,Northern Governorate,northern-governorate,Northern Governorate,northern-governorate
Bahrain,BH,Southern Governorate,southern-governorate,Ar Rifa,ar-rifa
Bahrain,BH,Southern Governorate,southern-governorate,Dar Kulayb,dar-kulayb
Bahrain,BH,Southern Governorate,southern-governorate,Madinat Isa,madinat-isa
