s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Belarus,BY,Brest Region,brest-region,Antopal,antopal
Belarus,BY,Brest Region,brest-region,Asnyezhytsy,asnyezhytsy
Belarus,BY,Brest Region,brest-region,Baranovichi,baranovichi
Belarus,BY,Brest Region,brest-region,Baranovichskiy Rayon,baranovichskiy-rayon
Belarus,BY,Brest Region,brest-region,Brest,brest
Belarus,BY,Brest Region,brest-region,Brestski Rayon,brestski-rayon
Belarus,BY,Brest Region,brest-region,Byaroza,byaroza
Belarus,BY,Brest Region,brest-region,Byarozawski Rayon,byarozawski-rayon
Belarus,BY,Brest Region,brest-region,Byelaazyorsk,byelaazyorsk
Belarus,BY,Brest Region,brest-region,Charnawchytsy,charnawchytsy
Belarus,BY,Brest Region,brest-region,Damachava,damachava
Belarus,BY,Brest Region,brest-region,Davyd-Haradok,davyd-haradok
Belarus,BY,Brest Region,brest-region,Drahichyn,drahichyn
Belarus,BY,Brest Region,brest-region,Drahichynski Rayon,drahichynski-rayon
Belarus,BY,Brest Region,brest-region,Hantsavichy,hantsavichy
Belarus,BY,Brest Region,brest-region,Hantsavitski Rayon,hantsavitski-rayon
Belarus,BY,Brest Region,brest-region,Haradzishcha,haradzishcha
Belarus,BY,Brest Region,brest-region,Horad Baranavichy,horad-baranavichy
Belarus,BY,Brest Region,brest-region,Horad Brest,horad-brest
Belarus,BY,Brest Region,brest-region,Ivanava,ivanava
Belarus,BY,Brest Region,brest-region,Ivanawski Rayon,ivanawski-rayon
Belarus,BY,Brest Region,brest-region,Ivatsevichy,ivatsevichy
Belarus,BY,Brest Region,brest-region,Kamyanyets,kamyanyets
Belarus,BY,Brest Region,brest-region,Kamyanyetski Rayon,kamyanyetski-rayon
Belarus,BY,Brest Region,brest-region,Kamyanyuki,kamyanyuki
Belarus,BY,Brest Region,brest-region,Kobryn,kobryn
Belarus,BY,Brest Region,brest-region,Kosava,kosava
Belarus,BY,Brest Region,brest-region,Lahishyn,lahishyn
Belarus,BY,Brest Region,brest-region,Luninyets,luninyets
Belarus,BY,Brest Region,brest-region,Lyakhavichy,lyakhavichy
Belarus,BY,Brest Region,brest-region,Malaryta,malaryta
Belarus,BY,Brest Region,brest-region,Mikashevichy,mikashevichy
Belarus,BY,Brest Region,brest-region,Motal,motal
Belarus,BY,Brest Region,brest-region,Nyakhachava,nyakhachava
Belarus,BY,Brest Region,brest-region,Pinsk,pinsk
Belarus,BY,Brest Region,brest-region,Pruzhanski Rayon,pruzhanski-rayon
Belarus,BY,Brest Region,brest-region,Pruzhany,pruzhany
Belarus,BY,Brest Region,brest-region,Ruzhany,ruzhany
Belarus,BY,Brest Region,brest-region,Stolin,stolin
Belarus,BY,Brest Region,brest-region,Stolinski Rayon,stolinski-rayon
Belarus,BY,Brest Region,brest-region,Tsyelyakhany,tsyelyakhany
Belarus,BY,Brest Region,brest-region,Vysokaye,vysokaye
Belarus,BY,Brest Region,brest-region,Zhabinka,zhabinka
Belarus,BY,Brest Region,brest-region,Zhabinkawski Rayon,zhabinkawski-rayon
