s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Congo,CG,Bouenza Department,bouenza-department,Kayes,kayes
Congo,CG,Bouenza Department,bouenza-department,Madingou,madingou
Congo,CG,Brazzaville,brazzaville,Brazzaville,brazzaville
Congo,CG,Cuvette Department,cuvette-department,Makoua,makoua
Congo,CG,Cuvette Department,cuvette-department,Owando,owando
Congo,CG,Cuvette-Ouest Department,cuvette-ouest-department,Ewo,ewo
Congo,CG,Kouilou Department,kouilou-department,Kouilou Department,kouilou-department
Congo,CG,Lekoumou Department,lekoumou-department,Sibiti,sibiti
Congo,CG,Likouala Department,likouala-department,Impfondo,impfondo
Congo,CG,Niari Department,niari-department,Dolisie,dolisie
Congo,CG,Niari Department,niari-department,Mossendjo,mossendjo
Congo,CG,Plateaux Department,plateaux-department,Djambala,djambala
Congo,CG,Plateaux Department,plateaux-department,Gamboma,gamboma
Congo,CG,Pointe-Noire,pointe-noire,Loandjili,loandjili
Congo,CG,Pointe-Noire,pointe-noire,Pointe-Noire,pointe-noire
Congo,CG,Pool Department,pool-department,Kinkala,kinkala
Congo,CG,Sangha Department,sangha-department,Ouesso,ouesso
Congo,CG,Sangha Department,sangha-department,Sembe,sembe
