s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Costa Rica,CR,Alajuela Province,alajuela-province,Alajuela,alajuela
Costa Rica,CR,Alajuela Province,alajuela-province,Atenas,atenas
Costa Rica,CR,Alajuela Province,alajuela-province,Bijagua,bijagua
Costa Rica,CR,Alajuela Province,alajuela-province,Carrillos,carrillos
Costa Rica,CR,Alajuela Province,alajuela-province,Desamparados,desamparados
Costa Rica,CR,Alajuela Province,alajuela-province,Esquipulas,esquipulas
Costa Rica,CR,Alajuela Province,alajuela-province,Grecia,grecia
Costa Rica,CR,Alajuela Province,alajuela-province,Guatuso,guatuso
Costa Rica,CR,Alajuela Province,alajuela-province,La Fortuna,la-fortuna
Costa Rica,CR,Alajuela Province,alajuela-province,Los Chiles,los-chiles
Costa Rica,CR,Alajuela Province,alajuela-province,Naranjo,naranjo
Costa Rica,CR,Alajuela Province,alajuela-province,Orotina,orotina
Costa Rica,CR,Alajuela Province,alajuela-province,Palmares,palmares
Costa Rica,CR,Alajuela Province,alajuela-province,Pital,pital
Costa Rica,CR,Alajuela Province,alajuela-province,Poas,poas
Costa Rica,CR,Alajuela Province,alajuela-province,Pocosol,pocosol
Costa Rica,CR,Alajuela Province,alajuela-province,Quesada,quesada
Costa Rica,CR,Alajuela Province,alajuela-province,Rio Segundo,rio-segundo
Costa Rica,CR,Alajuela Province,alajuela-province,Sabanilla,sabanilla
Costa Rica,CR,Alajuela Province,alajuela-province,San Carlos,san-carlos
Costa Rica,CR,Alajuela Province,alajuela-province,San Jose,san-jose
Costa Rica,CR,Alajuela Province,alajuela-province,San Juan,san-juan
Costa Rica,CR,Alajuela Province,alajuela-province,San Mateo,san-mateo
Costa Rica,CR,Alajuela Province,alajuela-province,San Rafael,san-rafael
Costa Rica,CR,Alajuela Province,alajuela-province,San Ramon,san-ramon
Costa Rica,CR,Alajuela Province,alajuela-province,Santiago,santiago
Costa Rica,CR,Alajuela Province,alajuela-province,Upala,upala
Costa Rica,CR,Alajuela Province,alajuela-province,Valverde Vega,valverde-vega
Costa Rica,CR,Alajuela Province,alajuela-province,Zarcero,zarcero
Costa Rica,CR,Guanacaste Province,guanacaste-province,Abangares,abangares
Costa Rica,CR,Guanacaste Province,guanacaste-province,Bagaces,bagaces
Costa Rica,CR,Guanacaste Province,guanacaste-province,Belen,belen
Costa Rica,CR,Guanacaste Province,guanacaste-province,Canas,canas
Costa Rica,CR,Guanacaste Province,guanacaste-province,Carrillo,carrillo
Costa Rica,CR,Guanacaste Province,guanacaste-province,Fortuna,fortuna
Costa Rica,CR,Guanacaste Province,guanacaste-province,Hojancha,hojancha
Costa Rica,CR,Guanacaste Province,guanacaste-province,Juntas,juntas
Costa Rica,CR,Guanacaste Province,guanacaste-province,La Cruz,la-cruz
Costa Rica,CR,Guanacaste Province,guanacaste-province,Liberia,liberia
Costa Rica,CR,Guanacaste Province,guanacaste-province,Nandayure,nandayure
Costa Rica,CR,Guanacaste Province,guanacaste-province,Nicoya,nicoya
Costa Rica,CR,Guanacaste Province,guanacaste-province,Samara,samara
Costa Rica,CR,Guanacaste Province,guanacaste-province,Santa Cruz,santa-cruz
Costa Rica,CR,Guanacaste Province,guanacaste-province,Sardinal,sardinal
Costa Rica,CR,Guanacaste Province,guanacaste-province,Tilaran,tilaran
Costa Rica,CR,Heredia Province,heredia-province,Angeles,angeles
Costa Rica,CR,Heredia Province,heredia-province,Barva,barva
Costa Rica,CR,Heredia Province,heredia-province,Belen,belen
Costa Rica,CR,Heredia Province,heredia-province,Flores,flores
Costa Rica,CR,Heredia Province,heredia-province,Heredia,heredia
Costa Rica,CR,Heredia Province,heredia-province,La Asuncion,la-asuncion
Costa Rica,CR,Heredia Province,heredia-province,Llorente,llorente
Costa Rica,CR,Heredia Province,heredia-province,Mercedes,mercedes
Costa Rica,CR,Heredia Province,heredia-province,San Antonio,san-antonio
Costa Rica,CR,Heredia Province,heredia-province,San Francisco,san-francisco
Costa Rica,CR,Heredia Province,heredia-province,San Isidro,san-isidro
Costa Rica,CR,Heredia Province,heredia-province,San Josecito,san-josecito
Costa Rica,CR,Heredia Province,heredia-province,San Pablo,san-pablo
Costa Rica,CR,Heredia Province,heredia-province,San Rafael,san-rafael
Costa Rica,CR,Heredia Province,heredia-province,Santa Barbara,santa-barbara
Costa Rica,CR,Heredia Province,heredia-province,Santo Domingo,santo-domingo
Costa Rica,CR,Heredia Province,heredia-province,Sarapiqui,sarapiqui
Costa Rica,CR,Limon Province,limon-province,Batan,batan
Costa Rica,CR,Limon Province,limon-province,Guacimo,guacimo
Costa Rica,CR,Limon Province,limon-province,Guapiles,guapiles
Costa Rica,CR,Limon Province,limon-province,Limon,limon
Costa Rica,CR,Limon Province,limon-province,Matina,matina
Costa Rica,CR,Limon Province,limon-province,Pococi,pococi
Costa Rica,CR,Limon Province,limon-province,Pocora,pocora
Costa Rica,CR,Limon Province,limon-province,Roxana,roxana
Costa Rica,CR,Limon Province,limon-province,Siquirres,siquirres
Costa Rica,CR,Limon Province,limon-province,Sixaola,sixaola
Costa Rica,CR,Limon Province,limon-province,Talamanca,talamanca
Costa Rica,CR,Provincia de Cartago,provincia-de-cartago,Alvarado,alvarado
Costa Rica,CR,Provincia de Cartago,provincia-de-cartago,Cartago,cartago
Costa Rica,CR,Provincia de Cartago,provincia-de-cartago,Concepcion,concepcion
Costa Rica,CR,Provincia de Cartago,provincia-de-cartago,Cot,cot
Costa Rica,CR,Provincia de Cartago,provincia-de-cartago,El Guarco,el-guarco
Costa Rica,CR,Provincia de Cartago,provincia-de-cartago,Jimenez,jimenez
Costa Rica,CR,Provincia de Cartago,provincia-de-cartago,La Suiza,la-suiza
