s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Djibouti,DJ,Ali Sabieh Region,ali-sabieh-region,'Ali Sabieh,ali-sabieh
Djibouti,DJ,Ali Sabieh Region,ali-sabieh-region,Goubetto,goubetto
Djibouti,DJ,Ali Sabieh Region,ali-sabieh-region,Holhol,holhol
Djibouti,DJ,Arta Region,arta-region,Arta,arta
Djibouti,DJ,Dikhil Region,dikhil-region,Dikhil,dikhil
Djibouti,DJ,Dikhil Region,dikhil-region,Galafi,galafi
Djibouti,DJ,Djibouti,djibouti,Djibouti,djibouti
Djibouti,DJ,Djibouti,djibouti,Loyada,loyada
Djibouti,DJ,Obock Region,obock-region,Alaili Dadda,alaili-dadda
Djibouti,DJ,Obock Region,obock-region,Obock,obock
Djibouti,DJ,Tadjourah Region,tadjourah-region,Dorra,dorra
Djibouti,DJ,Tadjourah Region,tadjourah-region,Tadjourah,tadjourah
