s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Akirkeby,akirkeby
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Albertslund,albertslund
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Albertslund Kommune,albertslund-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Allerd Kommune,allerd-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Ballerup,ballerup
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Ballerup Kommune,ballerup-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Birkerd,birkerd
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Blovstrd,blovstrd
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Bornholm Kommune,bornholm-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Brndby Kommune,brndby-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Charlottenlund,charlottenlund
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Christianshavn,christianshavn
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Christians,christians
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Copenhagen,copenhagen
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Dragr,dragr
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Dragr Kommune,dragr-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Egedal Kommune,egedal-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Espergrde,espergrde
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Farum,farum
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Flng,flng
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Fredensborg,fredensborg
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Fredensborg Kommune,fredensborg-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Frederiksberg,frederiksberg
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Frederiksberg Kommune,frederiksberg-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Frederikssund,frederikssund
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Frederikssund Kommune,frederikssund-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Frederiksvrk,frederiksvrk
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Fures Kommune,fures-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Ganlse,ganlse
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Gentofte Kommune,gentofte-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Gilleleje,gilleleje
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Gladsaxe Municipality,gladsaxe-municipality
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Glostrup,glostrup
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Glostrup Kommune,glostrup-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Grsted,grsted
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Gribskov Kommune,gribskov-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Halsns Kommune,halsns-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Hellebk,hellebk
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Helsinge,helsinge
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Helsingr,helsingr
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Helsingr Kommune,helsingr-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Herlev Kommune,herlev-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Hillerd,hillerd
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Hillerd Kommune,hillerd-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Hornbk,hornbk
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Hje-Taastrup Kommune,hje-taastrup-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Hrsholm,hrsholm
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Hrsholm Kommune,hrsholm-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Humlebk,humlebk
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Hundested,hundested
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Hvidovre,hvidovre
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Hvidovre Kommune,hvidovre-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Ishj,ishj
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Ishj Kommune,ishj-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Jgerspris,jgerspris
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Kokkedal,kokkedal
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Kongens Lyngby,kongens-lyngby
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Kbenhavn,kbenhavn
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Lillerd,lillerd
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Liseleje,liseleje
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Lyngby-Tarbk Kommune,lyngby-tarbk-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Lynge,lynge
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Malv,malv
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Nex,nex
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Niva,niva
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Ndebo,ndebo
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,lstykke,lstykke
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Rdovre,rdovre
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Rdovre Kommune,rdovre-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Rnne,rnne
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Rudersdal Kommune,rudersdal-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Skvinge,skvinge
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Skibby,skibby
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Slangerup,slangerup
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Smrumnedre,smrumnedre
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Stavnsholt,stavnsholt
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Stenlse,stenlse
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Taastrup,taastrup
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Tarnby,tarnby
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Tarnby Kommune,tarnby-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Trrd,trrd
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Vallensbk,vallensbk
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Vallensbk Kommune,vallensbk-kommune
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Vanlse,vanlse
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Vrlse,vrlse
Denmark,DK,Capital Region of Denmark,capital-region-of-denmark,Veks,veks
Denmark,DK,Central Denmark Region,central-denmark-region,Allingabro,allingabro
Denmark,DK,Central Denmark Region,central-denmark-region,Arhus,arhus
Denmark,DK,Central Denmark Region,central-denmark-region,Arhus Kommune,arhus-kommune
Denmark,DK,Central Denmark Region,central-denmark-region,Assentoft,assentoft
Denmark,DK,Central Denmark Region,central-denmark-region,Auning,auning
Denmark,DK,Central Denmark Region,central-denmark-region,Avlum,avlum
Denmark,DK,Central Denmark Region,central-denmark-region,Beder,beder
Denmark,DK,Central Denmark Region,central-denmark-region,Bjerringbro,bjerringbro
Denmark,DK,Central Denmark Region,central-denmark-region,Bording Kirkeby,bording-kirkeby
Denmark,DK,Central Denmark Region,central-denmark-region,Brande,brande
Denmark,DK,Central Denmark Region,central-denmark-region,Brdstrup,brdstrup
Denmark,DK,Central Denmark Region,central-denmark-region,Ebeltoft,ebeltoft
Denmark,DK,Central Denmark Region,central-denmark-region,Favrskov Kommune,favrskov-kommune
Denmark,DK,Central Denmark Region,central-denmark-region,Framlev,framlev
Denmark,DK,Central Denmark Region,central-denmark-region,Galten,galten
Denmark,DK,Central Denmark Region,central-denmark-region,Gjellerup,gjellerup
Denmark,DK,Central Denmark Region,central-denmark-region,Grenaa,grenaa
Denmark,DK,Central Denmark Region,central-denmark-region,Hadsten,hadsten
Denmark,DK,Central Denmark Region,central-denmark-region,Hammel,hammel
Denmark,DK,Central Denmark Region,central-denmark-region,Hammerum,hammerum
Denmark,DK,Central Denmark Region,central-denmark-region,Harbore,harbore
Denmark,DK,Central Denmark Region,central-denmark-region,Hedensted,hedensted
Denmark,DK,Central Denmark Region,central-denmark-region,Hedensted Kommune,hedensted-kommune
Denmark,DK,Central Denmark Region,central-denmark-region,Herning,herning
Denmark,DK,Central Denmark Region,central-denmark-region,Herning Kommune,herning-kommune
Denmark,DK,Central Denmark Region,central-denmark-region,Hinnerup,hinnerup
Denmark,DK,Central Denmark Region,central-denmark-region,Hjortshj,hjortshj
Denmark,DK,Central Denmark Region,central-denmark-region,Holstebro,holstebro
Denmark,DK,Central Denmark Region,central-denmark-region,Holstebro Kommune,holstebro-kommune
Denmark,DK,Central Denmark Region,central-denmark-region,Hornslet,hornslet
Denmark,DK,Central Denmark Region,central-denmark-region,Hornsyld,hornsyld
Denmark,DK,Central Denmark Region,central-denmark-region,Horsens,horsens
Denmark,DK,Central Denmark Region,central-denmark-region,Horsens Kommune,horsens-kommune
Denmark,DK,Central Denmark Region,central-denmark-region,Hrning,hrning
Denmark,DK,Central Denmark Region,central-denmark-region,Hvide Sande,hvide-sande
Denmark,DK,Central Denmark Region,central-denmark-region,Ikast,ikast
Denmark,DK,Central Denmark Region,central-denmark-region,Ikast-Brande Kommune,ikast-brande-kommune
Denmark,DK,Central Denmark Region,central-denmark-region,Juelsminde,juelsminde
Denmark,DK,Central Denmark Region,central-denmark-region,Karup,karup
Denmark,DK,Central Denmark Region,central-denmark-region,Kibk,kibk
Denmark,DK,Central Denmark Region,central-denmark-region,Kjellerup,kjellerup
Denmark,DK,Central Denmark Region,central-denmark-region,Kolt,kolt
Denmark,DK,Central Denmark Region,central-denmark-region,Langa,langa
Denmark,DK,Central Denmark Region,central-denmark-region,Lemvig,lemvig
Denmark,DK,Central Denmark Region,central-denmark-region,Lemvig Kommune,lemvig-kommune
Denmark,DK,Central Denmark Region,central-denmark-region,Lind,lind
Denmark,DK,Central Denmark Region,central-denmark-region,Lgten,lgten
Denmark,DK,Central Denmark Region,central-denmark-region,Lystrup,lystrup
Denmark,DK,Central Denmark Region,central-denmark-region,Malling,malling
Denmark,DK,Central Denmark Region,central-denmark-region,Marslet,marslet
Denmark,DK,Central Denmark Region,central-denmark-region,Norddjurs Kommune,norddjurs-kommune
Denmark,DK,Central Denmark Region,central-denmark-region,Odder,odder
Denmark,DK,Central Denmark Region,central-denmark-region,Odder Kommune,odder-kommune
Denmark,DK,Central Denmark Region,central-denmark-region,Randers,randers
Denmark,DK,Central Denmark Region,central-denmark-region,Randers Kommune,randers-kommune
Denmark,DK,Central Denmark Region,central-denmark-region,Ringkbing,ringkbing
