s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Dominican Republic,DO,Azua Province,azua-province,Azua,azua
Dominican Republic,DO,Azua Province,azua-province,El Guayabal,el-guayabal
Dominican Republic,DO,Azua Province,azua-province,Estebania,estebania
Dominican Republic,DO,Azua Province,azua-province,Las Charcas,las-charcas
Dominican Republic,DO,Azua Province,azua-province,Padre Las Casas,padre-las-casas
Dominican Republic,DO,Azua Province,azua-province,Palmar de Ocoa,palmar-de-ocoa
Dominican Republic,DO,Azua Province,azua-province,Peralta,peralta
Dominican Republic,DO,Azua Province,azua-province,Pueblo Viejo,pueblo-viejo
Dominican Republic,DO,Azua Province,azua-province,Sabana Yegua,sabana-yegua
Dominican Republic,DO,Azua Province,azua-province,Tabara Arriba,tabara-arriba
Dominican Republic,DO,Azua Province,azua-province,Villarpando,villarpando
Dominican Republic,DO,Azua Province,azua-province,Yayas de Viajama,yayas-de-viajama
Dominican Republic,DO,Baoruco Province,baoruco-province,El Palmar,el-palmar
Dominican Republic,DO,Baoruco Province,baoruco-province,Galvan,galvan
Dominican Republic,DO,Baoruco Province,baoruco-province,La Uvilla,la-uvilla
Dominican Republic,DO,Baoruco Province,baoruco-province,Los Rios,los-rios
Dominican Republic,DO,Baoruco Province,baoruco-province,Neiba,neiba
Dominican Republic,DO,Baoruco Province,baoruco-province,Tamayo,tamayo
Dominican Republic,DO,Baoruco Province,baoruco-province,Villa Jaragua,villa-jaragua
Dominican Republic,DO,Barahona Province,barahona-province,Cabral,cabral
Dominican Republic,DO,Barahona Province,barahona-province,Cachon,cachon
Dominican Republic,DO,Barahona Province,barahona-province,Canoa,canoa
Dominican Republic,DO,Barahona Province,barahona-province,El Penon,el-penon
Dominican Republic,DO,Barahona Province,barahona-province,Enriquillo,enriquillo
Dominican Republic,DO,Barahona Province,barahona-province,Fundacion,fundacion
Dominican Republic,DO,Barahona Province,barahona-province,Jaquimeyes,jaquimeyes
Dominican Republic,DO,Barahona Province,barahona-province,La Cienaga,la-cienaga
Dominican Republic,DO,Barahona Province,barahona-province,Las Salinas,las-salinas
Dominican Republic,DO,Barahona Province,barahona-province,Paraiso,paraiso
Dominican Republic,DO,Barahona Province,barahona-province,Pescaderia,pescaderia
