s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Spain,ES,A Coruna Province,a-coruna-province,A Coruna Province,a-coruna-province
Spain,ES,Albacete Province,albacete-province,Albacete Province,albacete-province
Spain,ES,Alicante Province,alicante-province,Alicante Province,alicante-province
Spain,ES,Almeria Province,almeria-province,Almeria Province,almeria-province
Spain,ES,Andalusia,andalusia,Abla,abla
Spain,ES,Andalusia,andalusia,Abrucena,abrucena
Spain,ES,Andalusia,andalusia,Adamuz,adamuz
Spain,ES,Andalusia,andalusia,Adra,adra
Spain,ES,Andalusia,andalusia,Agron,agron
Spain,ES,Andalusia,andalusia,Aguadulce,aguadulce
Spain,ES,Andalusia,andalusia,Aguilar,aguilar
Spain,ES,Andalusia,andalusia,Alajar,alajar
Spain,ES,Andalusia,andalusia,Alameda,alameda
Spain,ES,Andalusia,andalusia,Alamedilla,alamedilla
Spain,ES,Andalusia,andalusia,Alanis,alanis
Spain,ES,Andalusia,andalusia,Albaida del Aljarafe,albaida-del-aljarafe
Spain,ES,Andalusia,andalusia,Albanchez,albanchez
Spain,ES,Andalusia,andalusia,Albolote,albolote
Spain,ES,Andalusia,andalusia,Albondon,albondon
Spain,ES,Andalusia,andalusia,Albox,albox
Spain,ES,Andalusia,andalusia,Albunan,albunan
Spain,ES,Andalusia,andalusia,Albunol,albunol
Spain,ES,Andalusia,andalusia,Albunuelas,albunuelas
Spain,ES,Andalusia,andalusia,Alcala de Guadaira,alcala-de-guadaira
Spain,ES,Andalusia,andalusia,Alcala de los Gazules,alcala-de-los-gazules
Spain,ES,Andalusia,andalusia,Alcala del Rio,alcala-del-rio
Spain,ES,Andalusia,andalusia,Alcala del Valle,alcala-del-valle
Spain,ES,Andalusia,andalusia,Alcala la Real,alcala-la-real
Spain,ES,Andalusia,andalusia,Alcaracejos,alcaracejos
Spain,ES,Andalusia,andalusia,Alcaucin,alcaucin
Spain,ES,Andalusia,andalusia,Alcaudete,alcaudete
Spain,ES,Andalusia,andalusia,Alcolea,alcolea
Spain,ES,Andalusia,andalusia,Alcolea del Rio,alcolea-del-rio
Spain,ES,Andalusia,andalusia,Alcontar,alcontar
Spain,ES,Andalusia,andalusia,Alcudia de Monteagud,alcudia-de-monteagud
Spain,ES,Andalusia,andalusia,Aldeaquemada,aldeaquemada
Spain,ES,Andalusia,andalusia,Aldeire,aldeire
Spain,ES,Andalusia,andalusia,Alfacar,alfacar
Spain,ES,Andalusia,andalusia,Alfarnate,alfarnate
Spain,ES,Andalusia,andalusia,Alfarnatejo,alfarnatejo
Spain,ES,Andalusia,andalusia,Algamitas,algamitas
Spain,ES,Andalusia,andalusia,Algar,algar
Spain,ES,Andalusia,andalusia,Algarinejo,algarinejo
Spain,ES,Andalusia,andalusia,Algarrobo,algarrobo
Spain,ES,Andalusia,andalusia,Algatocin,algatocin
Spain,ES,Andalusia,andalusia,Algeciras,algeciras
Spain,ES,Andalusia,andalusia,Algodonales,algodonales
Spain,ES,Andalusia,andalusia,Alhabia,alhabia
Spain,ES,Andalusia,andalusia,Alhama de Almeria,alhama-de-almeria
Spain,ES,Andalusia,andalusia,Alhama de Granada,alhama-de-granada
Spain,ES,Andalusia,andalusia,Alhaurin de la Torre,alhaurin-de-la-torre
Spain,ES,Andalusia,andalusia,Alhaurin el Grande,alhaurin-el-grande
Spain,ES,Andalusia,andalusia,Alhendin,alhendin
Spain,ES,Andalusia,andalusia,Alicun,alicun
Spain,ES,Andalusia,andalusia,Alicun de Ortega,alicun-de-ortega
Spain,ES,Andalusia,andalusia,Aljaraque,aljaraque
Spain,ES,Andalusia,andalusia,Almachar,almachar
Spain,ES,Andalusia,andalusia,Almaden de la Plata,almaden-de-la-plata
Spain,ES,Andalusia,andalusia,Almargen,almargen
Spain,ES,Andalusia,andalusia,Almedinilla,almedinilla
Spain,ES,Andalusia,andalusia,Almegijar,almegijar
Spain,ES,Andalusia,andalusia,Almensilla,almensilla
Spain,ES,Andalusia,andalusia,Almeria,almeria
Spain,ES,Andalusia,andalusia,Almocita,almocita
Spain,ES,Andalusia,andalusia,Almodovar del Rio,almodovar-del-rio
Spain,ES,Andalusia,andalusia,Almogia,almogia
Spain,ES,Andalusia,andalusia,Almonte,almonte
Spain,ES,Andalusia,andalusia,Almunecar,almunecar
Spain,ES,Andalusia,andalusia,Alora,alora
Spain,ES,Andalusia,andalusia,Alosno,alosno
Spain,ES,Andalusia,andalusia,Alozaina,alozaina
Spain,ES,Andalusia,andalusia,Alpandeire,alpandeire
Spain,ES,Andalusia,andalusia,Alquife,alquife
Spain,ES,Andalusia,andalusia,Alsodux,alsodux
Spain,ES,Andalusia,andalusia,Andujar,andujar
Spain,ES,Andalusia,andalusia,Anora,anora
Spain,ES,Andalusia,andalusia,Antas,antas
Spain,ES,Andalusia,andalusia,Antequera,antequera
Spain,ES,Andalusia,andalusia,Aracena,aracena
Spain,ES,Andalusia,andalusia,Arboleas,arboleas
Spain,ES,Andalusia,andalusia,Archez,archez
Spain,ES,Andalusia,andalusia,Archidona,archidona
Spain,ES,Andalusia,andalusia,Arcos de la Frontera,arcos-de-la-frontera
