s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Ethiopia,ET,Addis Ababa,addis-ababa,Addis Ababa,addis-ababa
Ethiopia,ET,Afar Region,afar-region,Administrative Zone 2,administrative-zone-2
Ethiopia,ET,Afar Region,afar-region,Administrative Zone 3,administrative-zone-3
Ethiopia,ET,Afar Region,afar-region,Asaita,asaita
Ethiopia,ET,Afar Region,afar-region,Awash,awash
Ethiopia,ET,Afar Region,afar-region,Dubti,dubti
Ethiopia,ET,Afar Region,afar-region,Gewane,gewane
Ethiopia,ET,Afar Region,afar-region,Semera,semera
Ethiopia,ET,Amhara Region,amhara-region,Abomsa,abomsa
Ethiopia,ET,Amhara Region,amhara-region,Addiet Canna,addiet-canna
Ethiopia,ET,Amhara Region,amhara-region,Adis Zemen,adis-zemen
Ethiopia,ET,Amhara Region,amhara-region,Bahir Dar,bahir-dar
Ethiopia,ET,Amhara Region,amhara-region,Bati,bati
Ethiopia,ET,Amhara Region,amhara-region,Bichena,bichena
Ethiopia,ET,Amhara Region,amhara-region,Bure,bure
Ethiopia,ET,Amhara Region,amhara-region,Dabat,dabat
Ethiopia,ET,Amhara Region,amhara-region,Debark,debark
Ethiopia,ET,Amhara Region,amhara-region,Debre Birhan,debre-birhan
Ethiopia,ET,Amhara Region,amhara-region,Debre Markos,debre-markos
Ethiopia,ET,Amhara Region,amhara-region,Debre Sina,debre-sina
Ethiopia,ET,Amhara Region,amhara-region,Debre Tabor,debre-tabor
Ethiopia,ET,Amhara Region,amhara-region,Debre Werk,debre-werk
Ethiopia,ET,Amhara Region,amhara-region,Dejen,dejen
Ethiopia,ET,Amhara Region,amhara-region,Dese,dese
Ethiopia,ET,Amhara Region,amhara-region,Finote Selam,finote-selam
Ethiopia,ET,Amhara Region,amhara-region,Gondar,gondar
Ethiopia,ET,Amhara Region,amhara-region,Kemise,kemise
Ethiopia,ET,Amhara Region,amhara-region,Kombolcha,kombolcha
Ethiopia,ET,Amhara Region,amhara-region,Lalibela,lalibela
Ethiopia,ET,Amhara Region,amhara-region,North Shewa Zone,north-shewa-zone
Ethiopia,ET,Amhara Region,amhara-region,North Wollo Zone,north-wollo-zone
Ethiopia,ET,Amhara Region,amhara-region,Robit,robit
Ethiopia,ET,Amhara Region,amhara-region,South Gondar Zone,south-gondar-zone
Ethiopia,ET,Amhara Region,amhara-region,South Wollo Zone,south-wollo-zone
Ethiopia,ET,Amhara Region,amhara-region,Wag Hemra Zone,wag-hemra-zone
Ethiopia,ET,Amhara Region,amhara-region,Were Ilu,were-ilu
Ethiopia,ET,Amhara Region,amhara-region,Werota,werota
Ethiopia,ET,Benishangul-Gumuz Region,benishangul-gumuz-region,Asosa,asosa
Ethiopia,ET,Benishangul-Gumuz Region,benishangul-gumuz-region,Asosa,asosa
Ethiopia,ET,Benishangul-Gumuz Region,benishangul-gumuz-region,Metekel,metekel
Ethiopia,ET,Dire Dawa,dire-dawa,Dire Dawa,dire-dawa
Ethiopia,ET,Gambela Region,gambela-region,Administrative Zone 1,administrative-zone-1
Ethiopia,ET,Gambela Region,gambela-region,Gambela,gambela
Ethiopia,ET,Harari Region,harari-region,Harar,harar
Ethiopia,ET,Oromia Region,oromia-region,Adis Alem,adis-alem
Ethiopia,ET,Oromia Region,oromia-region,Agaro,agaro
Ethiopia,ET,Oromia Region,oromia-region,Arsi Zone,arsi-zone
Ethiopia,ET,Oromia Region,oromia-region,Asasa,asasa
Ethiopia,ET,Oromia Region,oromia-region,Asbe Teferi,asbe-teferi
Ethiopia,ET,Oromia Region,oromia-region,Bedele,bedele
Ethiopia,ET,Oromia Region,oromia-region,Bedesa,bedesa
Ethiopia,ET,Oromia Region,oromia-region,Bishoftu,bishoftu
Ethiopia,ET,Oromia Region,oromia-region,Deder,deder
Ethiopia,ET,Oromia Region,oromia-region,Dembi Dolo,dembi-dolo
Ethiopia,ET,Oromia Region,oromia-region,Dodola,dodola
Ethiopia,ET,Oromia Region,oromia-region,East Harerghe Zone,east-harerghe-zone
Ethiopia,ET,Oromia Region,oromia-region,East Shewa Zone,east-shewa-zone
Ethiopia,ET,Oromia Region,oromia-region,East Wellega Zone,east-wellega-zone
Ethiopia,ET,Oromia Region,oromia-region,Fiche,fiche
Ethiopia,ET,Oromia Region,oromia-region,Gebre Guracha,gebre-guracha
Ethiopia,ET,Oromia Region,oromia-region,Gedo,gedo
Ethiopia,ET,Oromia Region,oromia-region,Gelemso,gelemso
Ethiopia,ET,Oromia Region,oromia-region,Genet,genet
Ethiopia,ET,Oromia Region,oromia-region,Gimbi,gimbi
Ethiopia,ET,Oromia Region,oromia-region,Ginir,ginir
Ethiopia,ET,Oromia Region,oromia-region,Goba,goba
Ethiopia,ET,Oromia Region,oromia-region,Gore,gore
Ethiopia,ET,Oromia Region,oromia-region,Guji Zone,guji-zone
Ethiopia,ET,Oromia Region,oromia-region,Hagere Hiywet,hagere-hiywet
Ethiopia,ET,Oromia Region,oromia-region,Hagere Maryam,hagere-maryam
Ethiopia,ET,Oromia Region,oromia-region,Hirna,hirna
Ethiopia,ET,Oromia Region,oromia-region,Huruta,huruta
Ethiopia,ET,Oromia Region,oromia-region,Illubabor Zone,illubabor-zone
Ethiopia,ET,Oromia Region,oromia-region,Jimma,jimma
Ethiopia,ET,Oromia Region,oromia-region,Jimma Zone,jimma-zone
Ethiopia,ET,Oromia Region,oromia-region,Kibre Mengist,kibre-mengist
Ethiopia,ET,Oromia Region,oromia-region,Kofele,kofele
Ethiopia,ET,Oromia Region,oromia-region,Mega,mega
Ethiopia,ET,Oromia Region,oromia-region,Mendi,mendi
Ethiopia,ET,Oromia Region,oromia-region,Metahara,metahara
Ethiopia,ET,Oromia Region,oromia-region,Metu,metu
Ethiopia,ET,Oromia Region,oromia-region,Mojo,mojo
Ethiopia,ET,Oromia Region,oromia-region,Nazret,nazret
Ethiopia,ET,Oromia Region,oromia-region,Nejo,nejo
Ethiopia,ET,Oromia Region,oromia-region,North Shewa Zone,north-shewa-zone
Ethiopia,ET,Oromia Region,oromia-region,Sebeta,sebeta
Ethiopia,ET,Oromia Region,oromia-region,Sendafa,sendafa
Ethiopia,ET,Oromia Region,oromia-region,Shakiso,shakiso
Ethiopia,ET,Oromia Region,oromia-region,Shambu,shambu
Ethiopia,ET,Oromia Region,oromia-region,Shashemene,shashemene
Ethiopia,ET,Oromia Region,oromia-region,Sirre,sirre
Ethiopia,ET,Oromia Region,oromia-region,Tulu Bolo,tulu-bolo
Ethiopia,ET,Oromia Region,oromia-region,Waliso,waliso
Ethiopia,ET,Oromia Region,oromia-region,Wenji,wenji
Ethiopia,ET,Oromia Region,oromia-region,West Harerghe Zone,west-harerghe-zone
Ethiopia,ET,Oromia Region,oromia-region,West Wellega Zone,west-wellega-zone
Ethiopia,ET,Oromia Region,oromia-region,Yabelo,yabelo
Ethiopia,ET,Oromia Region,oromia-region,Ziway,ziway
Ethiopia,ET,Somali Region,somali-region,Afder Zone,afder-zone
Ethiopia,ET,Somali Region,somali-region,Degehabur Zone,degehabur-zone
Ethiopia,ET,Somali Region,somali-region,Gode Zone,gode-zone
Ethiopia,ET,Somali Region,somali-region,Jijiga,jijiga
Ethiopia,ET,Somali Region,somali-region,Liben zone,liben-zone
Ethiopia,ET,Somali Region,somali-region,Shinile Zone,shinile-zone
Ethiopia,ET,"Southern Nations, Nationalities, and Peoples' Region",southern-nations-nationalities-and-peoples-region,Alaba Special Wereda,alaba-special-wereda
Ethiopia,ET,"Southern Nations, Nationalities, and Peoples' Region",southern-nations-nationalities-and-peoples-region,Arba Minch,arba-minch
Ethiopia,ET,"Southern Nations, Nationalities, and Peoples' Region",southern-nations-nationalities-and-peoples-region,Areka,areka
Ethiopia,ET,"Southern Nations, Nationalities, and Peoples' Region",southern-nations-nationalities-and-peoples-region,Bako,bako
Ethiopia,ET,"Southern Nations, Nationalities, and Peoples' Region",southern-nations-nationalities-and-peoples-region,Bench Maji Zone,bench-maji-zone
Ethiopia,ET,"Southern Nations, Nationalities, and Peoples' Region",southern-nations-nationalities-and-peoples-region,Boditi,boditi
Ethiopia,ET,"Southern Nations, Nationalities, and Peoples' Region",southern-nations-nationalities-and-peoples-region,Bonga,bonga
Ethiopia,ET,"Southern Nations, Nationalities, and Peoples' Region",southern-nations-nationalities-and-peoples-region,Butajira,butajira
Ethiopia,ET,"Southern Nations, Nationalities, and Peoples' Region",southern-nations-nationalities-and-peoples-region,Dila,dila
