s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Finland,FI,Aland Islands,aland-islands,Aland Islands,aland-islands
Finland,FI,Central Finland,central-finland,Aanekoski,aanekoski
Finland,FI,Central Finland,central-finland,Hankasalmi,hankasalmi
Finland,FI,Central Finland,central-finland,Jamsa,jamsa
Finland,FI,Central Finland,central-finland,Jamsankoski,jamsankoski
Finland,FI,Central Finland,central-finland,Joutsa,joutsa
Finland,FI,Central Finland,central-finland,Jyvaskyla,jyvaskyla
Finland,FI,Central Finland,central-finland,Kannonkoski,kannonkoski
Finland,FI,Central Finland,central-finland,Karstula,karstula
Finland,FI,Central Finland,central-finland,Keuruu,keuruu
Finland,FI,Central Finland,central-finland,Kinnula,kinnula
Finland,FI,Central Finland,central-finland,Kivijarvi,kivijarvi
Finland,FI,Central Finland,central-finland,Konnevesi,konnevesi
Finland,FI,Central Finland,central-finland,Korpilahti,korpilahti
Finland,FI,Central Finland,central-finland,Kuhmoinen,kuhmoinen
Finland,FI,Central Finland,central-finland,Kyyjarvi,kyyjarvi
Finland,FI,Central Finland,central-finland,Laukaa,laukaa
Finland,FI,Central Finland,central-finland,Leivonmaki,leivonmaki
Finland,FI,Central Finland,central-finland,Luhanka,luhanka
Finland,FI,Central Finland,central-finland,Multia,multia
Finland,FI,Central Finland,central-finland,Muurame,muurame
Finland,FI,Central Finland,central-finland,Petajavesi,petajavesi
Finland,FI,Central Finland,central-finland,Pihtipudas,pihtipudas
Finland,FI,Central Finland,central-finland,Pylkonmaki,pylkonmaki
Finland,FI,Central Finland,central-finland,Saarijarvi,saarijarvi
Finland,FI,Central Finland,central-finland,Saynatsalo,saynatsalo
Finland,FI,Central Finland,central-finland,Sumiainen,sumiainen
Finland,FI,Central Finland,central-finland,Suolahti,suolahti
Finland,FI,Central Finland,central-finland,Toivakka,toivakka
Finland,FI,Central Finland,central-finland,Uurainen,uurainen
Finland,FI,Central Finland,central-finland,Viitasaari,viitasaari
Finland,FI,Central Ostrobothnia,central-ostrobothnia,Halsua,halsua
Finland,FI,Central Ostrobothnia,central-ostrobothnia,Kalvia,kalvia
Finland,FI,Central Ostrobothnia,central-ostrobothnia,Kannus,kannus
Finland,FI,Central Ostrobothnia,central-ostrobothnia,Kaustinen,kaustinen
Finland,FI,Central Ostrobothnia,central-ostrobothnia,Kokkola,kokkola
Finland,FI,Central Ostrobothnia,central-ostrobothnia,Lestijarvi,lestijarvi
Finland,FI,Central Ostrobothnia,central-ostrobothnia,Lohtaja,lohtaja
Finland,FI,Central Ostrobothnia,central-ostrobothnia,Perho,perho
Finland,FI,Central Ostrobothnia,central-ostrobothnia,Toholampi,toholampi
Finland,FI,Central Ostrobothnia,central-ostrobothnia,Ullava,ullava
Finland,FI,Central Ostrobothnia,central-ostrobothnia,Veteli,veteli
Finland,FI,Eastern Finland Province,eastern-finland-province,Eastern Finland Province,eastern-finland-province
Finland,FI,Finland Proper,finland-proper,Alastaro,alastaro
Finland,FI,Finland Proper,finland-proper,Askainen,askainen
Finland,FI,Finland Proper,finland-proper,Aura,aura
Finland,FI,Finland Proper,finland-proper,Dragsfjard,dragsfjard
Finland,FI,Finland Proper,finland-proper,Halikko,halikko
Finland,FI,Finland Proper,finland-proper,Houtskar,houtskar
Finland,FI,Finland Proper,finland-proper,Inio,inio
Finland,FI,Finland Proper,finland-proper,Kaarina,kaarina
Finland,FI,Finland Proper,finland-proper,Karinainen,karinainen
Finland,FI,Finland Proper,finland-proper,Kiikala,kiikala
Finland,FI,Finland Proper,finland-proper,Kimito,kimito
Finland,FI,Finland Proper,finland-proper,Kisko,kisko
Finland,FI,Finland Proper,finland-proper,Kustavi,kustavi
Finland,FI,Finland Proper,finland-proper,Kuusjoki,kuusjoki
Finland,FI,Finland Proper,finland-proper,Laitila,laitila
Finland,FI,Finland Proper,finland-proper,Lemu,lemu
Finland,FI,Finland Proper,finland-proper,Lieto,lieto
Finland,FI,Finland Proper,finland-proper,Marttila,marttila
Finland,FI,Finland Proper,finland-proper,Masku,masku
Finland,FI,Finland Proper,finland-proper,Mellila,mellila
Finland,FI,Finland Proper,finland-proper,Merimasku,merimasku
Finland,FI,Finland Proper,finland-proper,Mietoinen,mietoinen
Finland,FI,Finland Proper,finland-proper,Muurla,muurla
Finland,FI,Finland Proper,finland-proper,Mynamaki,mynamaki
Finland,FI,Finland Proper,finland-proper,Naantali,naantali
Finland,FI,Finland Proper,finland-proper,Nagu,nagu
Finland,FI,Finland Proper,finland-proper,Nousiainen,nousiainen
Finland,FI,Finland Proper,finland-proper,Oripaa,oripaa
Finland,FI,Finland Proper,finland-proper,Paimio,paimio
Finland,FI,Finland Proper,finland-proper,Pargas,pargas
Finland,FI,Finland Proper,finland-proper,Pernio,pernio
Finland,FI,Finland Proper,finland-proper,Pertteli,pertteli
Finland,FI,Finland Proper,finland-proper,Piikkio,piikkio
Finland,FI,Finland Proper,finland-proper,Poytya,poytya
Finland,FI,Finland Proper,finland-proper,Pyharanta,pyharanta
Finland,FI,Finland Proper,finland-proper,Raisio,raisio
Finland,FI,Finland Proper,finland-proper,Rusko,rusko
Finland,FI,Finland Proper,finland-proper,Rymattyla,rymattyla
Finland,FI,Finland Proper,finland-proper,Salo,salo
Finland,FI,Finland Proper,finland-proper,Sarkisalo,sarkisalo
Finland,FI,Finland Proper,finland-proper,Sauvo,sauvo
Finland,FI,Finland Proper,finland-proper,Somero,somero
Finland,FI,Finland Proper,finland-proper,Suomusjarvi,suomusjarvi
Finland,FI,Finland Proper,finland-proper,Taivassalo,taivassalo
Finland,FI,Finland Proper,finland-proper,Tarvasjoki,tarvasjoki
Finland,FI,Finland Proper,finland-proper,Turku,turku
Finland,FI,Finland Proper,finland-proper,Uusikaupunki,uusikaupunki
Finland,FI,Finland Proper,finland-proper,Vahto,vahto
Finland,FI,Finland Proper,finland-proper,Vastaboland,vastaboland
Finland,FI,Finland Proper,finland-proper,Vastanfjard,vastanfjard
Finland,FI,Finland Proper,finland-proper,Vehmaa,vehmaa
Finland,FI,Finland Proper,finland-proper,Velkua,velkua
Finland,FI,Finland Proper,finland-proper,Ylane,ylane
Finland,FI,Kainuu,kainuu,Hyrynsalmi,hyrynsalmi
Finland,FI,Kainuu,kainuu,Kajaani,kajaani
Finland,FI,Kainuu,kainuu,Kuhmo,kuhmo
Finland,FI,Kainuu,kainuu,Paltamo,paltamo
Finland,FI,Kainuu,kainuu,Puolanka,puolanka
Finland,FI,Kainuu,kainuu,Ristijarvi,ristijarvi
Finland,FI,Kainuu,kainuu,Sotkamo,sotkamo
Finland,FI,Kainuu,kainuu,Suomussalmi,suomussalmi
Finland,FI,Kainuu,kainuu,Vaala,vaala
Finland,FI,Kainuu,kainuu,Vuokatti,vuokatti
Finland,FI,Kainuu,kainuu,Vuolijoki,vuolijoki
Finland,FI,Kymenlaakso,kymenlaakso,Anjala,anjala
Finland,FI,Kymenlaakso,kymenlaakso,Elimaki,elimaki
Finland,FI,Kymenlaakso,kymenlaakso,Hamina,hamina
Finland,FI,Kymenlaakso,kymenlaakso,Iitti,iitti
Finland,FI,Kymenlaakso,kymenlaakso,Jaala,jaala
Finland,FI,Kymenlaakso,kymenlaakso,Karhula,karhula
Finland,FI,Kymenlaakso,kymenlaakso,Kotka,kotka
Finland,FI,Kymenlaakso,kymenlaakso,Kouvola,kouvola
Finland,FI,Kymenlaakso,kymenlaakso,Miehikkala,miehikkala
Finland,FI,Kymenlaakso,kymenlaakso,Pyhtaa,pyhtaa
