s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Ghana,GH,Ashanti Region,ashanti-region,Agogo,agogo
Ghana,GH,Ashanti Region,ashanti-region,Bekwai,bekwai
Ghana,GH,Ashanti Region,ashanti-region,Ejura,ejura
Ghana,GH,Ashanti Region,ashanti-region,Konongo,konongo
Ghana,GH,Ashanti Region,ashanti-region,Kumasi,kumasi
Ghana,GH,Ashanti Region,ashanti-region,Mampong,mampong
Ghana,GH,Ashanti Region,ashanti-region,Obuase,obuase
Ghana,GH,Ashanti Region,ashanti-region,Tafo,tafo
Ghana,GH,Brong-Ahafo Region,brong-ahafo-region,Bechem,bechem
Ghana,GH,Brong-Ahafo Region,brong-ahafo-region,Berekum,berekum
Ghana,GH,Brong-Ahafo Region,brong-ahafo-region,Duayaw-Nkwanta,duayaw-nkwanta
Ghana,GH,Brong-Ahafo Region,brong-ahafo-region,Japekrom,japekrom
Ghana,GH,Brong-Ahafo Region,brong-ahafo-region,Kintampo,kintampo
Ghana,GH,Brong-Ahafo Region,brong-ahafo-region,Sunyani,sunyani
Ghana,GH,Brong-Ahafo Region,brong-ahafo-region,Techiman,techiman
Ghana,GH,Brong-Ahafo Region,brong-ahafo-region,Wenchi,wenchi
Ghana,GH,Central Region,central-region,Apam,apam
Ghana,GH,Central Region,central-region,Cape Coast,cape-coast
Ghana,GH,Central Region,central-region,Dunkwa,dunkwa
Ghana,GH,Central Region,central-region,Elmina,elmina
Ghana,GH,Central Region,central-region,Foso,foso
Ghana,GH,Central Region,central-region,Kasoa,kasoa
Ghana,GH,Central Region,central-region,Mumford,mumford
Ghana,GH,Central Region,central-region,Saltpond,saltpond
Ghana,GH,Central Region,central-region,Swedru,swedru
Ghana,GH,Central Region,central-region,Winneba,winneba
Ghana,GH,Eastern Region,eastern-region,Aburi,aburi
Ghana,GH,Eastern Region,eastern-region,Akim Oda,akim-oda
Ghana,GH,Eastern Region,eastern-region,Akim Swedru,akim-swedru
Ghana,GH,Eastern Region,eastern-region,Akropong,akropong
Ghana,GH,Eastern Region,eastern-region,Akwatia,akwatia
Ghana,GH,Eastern Region,eastern-region,Asamankese,asamankese
Ghana,GH,Eastern Region,eastern-region,Begoro,begoro
Ghana,GH,Eastern Region,eastern-region,Kibi,kibi
Ghana,GH,Eastern Region,eastern-region,Koforidua,koforidua
Ghana,GH,Eastern Region,eastern-region,Mpraeso,mpraeso
Ghana,GH,Eastern Region,eastern-region,Nsawam,nsawam
Ghana,GH,Eastern Region,eastern-region,Suhum,suhum
Ghana,GH,Greater Accra Region,greater-accra-region,Accra,accra
Ghana,GH,Greater Accra Region,greater-accra-region,Atsiaman,atsiaman
Ghana,GH,Greater Accra Region,greater-accra-region,Dome,dome
Ghana,GH,Greater Accra Region,greater-accra-region,Gbawe,gbawe
Ghana,GH,Greater Accra Region,greater-accra-region,Medina Estates,medina-estates
Ghana,GH,Greater Accra Region,greater-accra-region,Nungua,nungua
Ghana,GH,Greater Accra Region,greater-accra-region,Tema,tema
Ghana,GH,Greater Accra Region,greater-accra-region,Teshi Old Town,teshi-old-town
Ghana,GH,Northern Region,northern-region,Kpandae,kpandae
Ghana,GH,Northern Region,northern-region,Salaga,salaga
Ghana,GH,Northern Region,northern-region,Savelugu,savelugu
Ghana,GH,Northern Region,northern-region,Tamale,tamale
Ghana,GH,Northern Region,northern-region,Yendi,yendi
Ghana,GH,Upper East Region,upper-east-region,Bawku,bawku
Ghana,GH,Upper East Region,upper-east-region,Bolgatanga,bolgatanga
Ghana,GH,Upper East Region,upper-east-region,Navrongo,navrongo
Ghana,GH,Upper West Region,upper-west-region,Wa,wa
Ghana,GH,Volta Region,volta-region,Aflao,aflao
Ghana,GH,Volta Region,volta-region,Anloga,anloga
Ghana,GH,Volta Region,volta-region,Ho,ho
Ghana,GH,Volta Region,volta-region,Hohoe,hohoe
Ghana,GH,Volta Region,volta-region,Keta,keta
Ghana,GH,Volta Region,volta-region,Kete Krachi,kete-krachi
Ghana,GH,Volta Region,volta-region,Kpandu,kpandu
Ghana,GH,Western Region,western-region,Aboso,aboso
Ghana,GH,Western Region,western-region,Axim,axim
Ghana,GH,Western Region,western-region,Bibiani,bibiani
Ghana,GH,Western Region,western-region,Prestea,prestea
Ghana,GH,Western Region,western-region,Sekondi-Takoradi,sekondi-takoradi
Ghana,GH,Western Region,western-region,Shama Junction,shama-junction
Ghana,GH,Western Region,western-region,Takoradi,takoradi
Ghana,GH,Western Region,western-region,Tarkwa,tarkwa
