s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Equatorial Guinea,GQ,Annobon Province,annobon-province,San Antonio de Pale,san-antonio-de-pale
Equatorial Guinea,GQ,Bioko Norte Province,bioko-norte-province,Malabo,malabo
Equatorial Guinea,GQ,Bioko Norte Province,bioko-norte-province,Rebola,rebola
Equatorial Guinea,GQ,Bioko Norte Province,bioko-norte-province,Santiago de Baney,santiago-de-baney
Equatorial Guinea,GQ,Bioko Sur Province,bioko-sur-province,Luba,luba
Equatorial Guinea,GQ,Centro Sur Province,centro-sur-province,Acurenam,acurenam
Equatorial Guinea,GQ,Centro Sur Province,centro-sur-province,Bicurga,bicurga
Equatorial Guinea,GQ,Centro Sur Province,centro-sur-province,Evinayong,evinayong
Equatorial Guinea,GQ,Insular Region,insular-region,Insular Region,insular-region
Equatorial Guinea,GQ,Kie-Ntem Province,kie-ntem-province,Ebebiyin,ebebiyin
Equatorial Guinea,GQ,Kie-Ntem Province,kie-ntem-province,Mikomeseng,mikomeseng
Equatorial Guinea,GQ,Kie-Ntem Province,kie-ntem-province,Ncue,ncue
Equatorial Guinea,GQ,Kie-Ntem Province,kie-ntem-province,Nsang,nsang
Equatorial Guinea,GQ,Litoral Province,litoral-province,Bata,bata
Equatorial Guinea,GQ,Litoral Province,litoral-province,Bitica,bitica
Equatorial Guinea,GQ,Litoral Province,litoral-province,Cogo,cogo
Equatorial Guinea,GQ,Litoral Province,litoral-province,Machinda,machinda
Equatorial Guinea,GQ,Litoral Province,litoral-province,Mbini,mbini
Equatorial Guinea,GQ,Litoral Province,litoral-province,Rio Campo,rio-campo
Equatorial Guinea,GQ,Rio Muni,rio-muni,Rio Muni,rio-muni
Equatorial Guinea,GQ,Wele-Nzas Province,wele-nzas-province,Aconibe,aconibe
Equatorial Guinea,GQ,Wele-Nzas Province,wele-nzas-province,Anisoc,anisoc
Equatorial Guinea,GQ,Wele-Nzas Province,wele-nzas-province,Ayene,ayene
Equatorial Guinea,GQ,Wele-Nzas Province,wele-nzas-province,Mengomeyen,mengomeyen
Equatorial Guinea,GQ,Wele-Nzas Province,wele-nzas-province,Mongomo,mongomo
Equatorial Guinea,GQ,Wele-Nzas Province,wele-nzas-province,Nsok,nsok
