s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Greece,GR,Achaea Regional Unit,achaea-regional-unit,Achaea Regional Unit,achaea-regional-unit
Greece,GR,Aetolia-Acarnania Regional Unit,aetolia-acarnania-regional-unit,Aetolia-Acarnania Regional Unit,aetolia-acarnania-regional-unit
Greece,GR,Arcadia Prefecture,arcadia-prefecture,Arcadia Prefecture,arcadia-prefecture
Greece,GR,Argolis Regional Unit,argolis-regional-unit,Argolis Regional Unit,argolis-regional-unit
Greece,GR,Attica Region,attica-region,Acharnes,acharnes
Greece,GR,Attica Region,attica-region,Aegina,aegina
Greece,GR,Attica Region,attica-region,Afidnes,afidnes
Greece,GR,Attica Region,attica-region,Aghios Panteleimon,aghios-panteleimon
Greece,GR,Attica Region,attica-region,Agia Marina,agia-marina
Greece,GR,Attica Region,attica-region,Agia Paraskevi,agia-paraskevi
Greece,GR,Attica Region,attica-region,Agia Varvara,agia-varvara
Greece,GR,Attica Region,attica-region,Agioi Anargyroi,agioi-anargyroi
Greece,GR,Attica Region,attica-region,Agios Dimitrios,agios-dimitrios
Greece,GR,Attica Region,attica-region,Agios Dimitrios Kropias,agios-dimitrios-kropias
Greece,GR,Attica Region,attica-region,Agios Ioannis Rentis,agios-ioannis-rentis
Greece,GR,Attica Region,attica-region,Agios Stefanos,agios-stefanos
Greece,GR,Attica Region,attica-region,Aianteio,aianteio
Greece,GR,Attica Region,attica-region,Aigaleo,aigaleo
Greece,GR,Attica Region,attica-region,Alimos,alimos
Greece,GR,Attica Region,attica-region,Ampelakia,ampelakia
Greece,GR,Attica Region,attica-region,Anavyssos,anavyssos
Greece,GR,Attica Region,attica-region,Ano Liosia,ano-liosia
Greece,GR,Attica Region,attica-region,Anoixi,anoixi
Greece,GR,Attica Region,attica-region,Anthousa,anthousa
Greece,GR,Attica Region,attica-region,Argithea,argithea
Greece,GR,Attica Region,attica-region,Argyroupoli,argyroupoli
Greece,GR,Attica Region,attica-region,Artemida,artemida
Greece,GR,Attica Region,attica-region,Aspropyrgos,aspropyrgos
Greece,GR,Attica Region,attica-region,Athens,athens
Greece,GR,Attica Region,attica-region,Avlonas,avlonas
Greece,GR,Attica Region,attica-region,Ayioi Apostoloi,ayioi-apostoloi
Greece,GR,Attica Region,attica-region,Chaidari,chaidari
Greece,GR,Attica Region,attica-region,Cholargos,cholargos
Greece,GR,Attica Region,attica-region,Dhafni,dhafni
Greece,GR,Attica Region,attica-region,Dhrafi,dhrafi
Greece,GR,Attica Region,attica-region,Dioni,dioni
Greece,GR,Attica Region,attica-region,Dionysos,dionysos
Greece,GR,Attica Region,attica-region,Drapetsona,drapetsona
Greece,GR,Attica Region,attica-region,Drosia,drosia
Greece,GR,Attica Region,attica-region,Ekali,ekali
Greece,GR,Attica Region,attica-region,Elefsina,elefsina
Greece,GR,Attica Region,attica-region,Elliniko,elliniko
Greece,GR,Attica Region,attica-region,Erythres,erythres
Greece,GR,Attica Region,attica-region,Filothei,filothei
Greece,GR,Attica Region,attica-region,Fyli,fyli
Greece,GR,Attica Region,attica-region,Galatas,galatas
Greece,GR,Attica Region,attica-region,Galatsi,galatsi
Greece,GR,Attica Region,attica-region,Gerakas,gerakas
Greece,GR,Attica Region,attica-region,Glyfada,glyfada
Greece,GR,Attica Region,attica-region,Grammatiko,grammatiko
Greece,GR,Attica Region,attica-region,Ilion,ilion
Greece,GR,Attica Region,attica-region,Ilioupoli,ilioupoli
Greece,GR,Attica Region,attica-region,Irakleio,irakleio
Greece,GR,Attica Region,attica-region,Kaisariani,kaisariani
Greece,GR,Attica Region,attica-region,Kalamos,kalamos
Greece,GR,Attica Region,attica-region,Kallithea,kallithea
Greece,GR,Attica Region,attica-region,Kalyvia Thorikou,kalyvia-thorikou
Greece,GR,Attica Region,attica-region,Kamateron,kamateron
Greece,GR,Attica Region,attica-region,Kapandriti,kapandriti
Greece,GR,Attica Region,attica-region,Karellas,karellas
Greece,GR,Attica Region,attica-region,Kato Soulion,kato-soulion
Greece,GR,Attica Region,attica-region,Keratea,keratea
Greece,GR,Attica Region,attica-region,Keratsini,keratsini
Greece,GR,Attica Region,attica-region,Khalandrion,khalandrion
Greece,GR,Attica Region,attica-region,Khalkoutsion,khalkoutsion
Greece,GR,Attica Region,attica-region,Kifisia,kifisia
Greece,GR,Attica Region,attica-region,Kineta,kineta
Greece,GR,Attica Region,attica-region,Kipseli,kipseli
Greece,GR,Attica Region,attica-region,Kitsi,kitsi
Greece,GR,Attica Region,attica-region,Koropi,koropi
Greece,GR,Attica Region,attica-region,Korydallos,korydallos
Greece,GR,Attica Region,attica-region,Kouvaras,kouvaras
Greece,GR,Attica Region,attica-region,Kryoneri,kryoneri
Greece,GR,Attica Region,attica-region,Kypseli,kypseli
Greece,GR,Attica Region,attica-region,Kythira,kythira
Greece,GR,Attica Region,attica-region,Lavrio,lavrio
Greece,GR,Attica Region,attica-region,Leondarion,leondarion
Greece,GR,Attica Region,attica-region,Limin Mesoyaias,limin-mesoyaias
Greece,GR,Attica Region,attica-region,Lykovrysi,lykovrysi
Greece,GR,Attica Region,attica-region,Magoula,magoula
Greece,GR,Attica Region,attica-region,Mandra,mandra
Greece,GR,Attica Region,attica-region,Marathonas,marathonas
Greece,GR,Attica Region,attica-region,Markopoulo,markopoulo
Greece,GR,Attica Region,attica-region,Markopoulo Oropou,markopoulo-oropou
Greece,GR,Attica Region,attica-region,Marousi,marousi
Greece,GR,Attica Region,attica-region,Megalochori,megalochori
Greece,GR,Attica Region,attica-region,Megara,megara
Greece,GR,Attica Region,attica-region,Melissia,melissia
Greece,GR,Attica Region,attica-region,Metamorfosi,metamorfosi
Greece,GR,Attica Region,attica-region,Moskhaton,moskhaton
Greece,GR,Attica Region,attica-region,Nea Chalkidona,nea-chalkidona
Greece,GR,Attica Region,attica-region,Nea Erythraia,nea-erythraia
Greece,GR,Attica Region,attica-region,Nea Filadelfeia,nea-filadelfeia
Greece,GR,Attica Region,attica-region,Nea Ionia,nea-ionia
Greece,GR,Attica Region,attica-region,Nea Makri,nea-makri
Greece,GR,Attica Region,attica-region,Nea Palatia,nea-palatia
Greece,GR,Attica Region,attica-region,Nea Penteli,nea-penteli
Greece,GR,Attica Region,attica-region,Nea Peramos,nea-peramos
Greece,GR,Attica Region,attica-region,Nea Smyrni,nea-smyrni
Greece,GR,Attica Region,attica-region,Neo Psychiko,neo-psychiko
Greece,GR,Attica Region,attica-region,Neos Voutzas,neos-voutzas
Greece,GR,Attica Region,attica-region,Nikaia,nikaia
Greece,GR,Attica Region,attica-region,Oropos,oropos
Greece,GR,Attica Region,attica-region,Paiania,paiania
Greece,GR,Attica Region,attica-region,Palaia Fokaia,palaia-fokaia
Greece,GR,Attica Region,attica-region,Palaio Faliro,palaio-faliro
Greece,GR,Attica Region,attica-region,Pallini,pallini
Greece,GR,Attica Region,attica-region,Papagou,papagou
Greece,GR,Attica Region,attica-region,Pefki,pefki
Greece,GR,Attica Region,attica-region,Penteli,penteli
Greece,GR,Attica Region,attica-region,Perama,perama
Greece,GR,Attica Region,attica-region,Peristeri,peristeri
Greece,GR,Attica Region,attica-region,Petroupolis,petroupolis
Greece,GR,Attica Region,attica-region,Pikermi,pikermi
Greece,GR,Attica Region,attica-region,Piraeus,piraeus
Greece,GR,Attica Region,attica-region,Polydendri,polydendri
Greece,GR,Attica Region,attica-region,Poros,poros
Greece,GR,Attica Region,attica-region,Psychiko,psychiko
Greece,GR,Attica Region,attica-region,Rafina,rafina
Greece,GR,Attica Region,attica-region,Rodopoli,rodopoli
Greece,GR,Attica Region,attica-region,Salamina,salamina
Greece,GR,Attica Region,attica-region,Saronida,saronida
Greece,GR,Attica Region,attica-region,Selinia,selinia
Greece,GR,Attica Region,attica-region,Skala Oropou,skala-oropou
Greece,GR,Attica Region,attica-region,Skarmagkas,skarmagkas
Greece,GR,Attica Region,attica-region,Spata,spata
Greece,GR,Attica Region,attica-region,Spetses,spetses
Greece,GR,Attica Region,attica-region,Stamata,stamata
Greece,GR,Attica Region,attica-region,Tavros,tavros
Greece,GR,Attica Region,attica-region,Thrakomakedones,thrakomakedones
Greece,GR,Attica Region,attica-region,Vari,vari
Greece,GR,Attica Region,attica-region,Varnavas,varnavas
Greece,GR,Attica Region,attica-region,Varybobi,varybobi
Greece,GR,Attica Region,attica-region,Vathy,vathy
Greece,GR,Attica Region,attica-region,Vilia,vilia
Greece,GR,Attica Region,attica-region,Vlychada,vlychada
Greece,GR,Attica Region,attica-region,Voula,voula
Greece,GR,Attica Region,attica-region,Vouliagmeni,vouliagmeni
Greece,GR,Attica Region,attica-region,Vrana,vrana
Greece,GR,Attica Region,attica-region,Vrilissia,vrilissia
Greece,GR,Attica Region,attica-region,Vyronas,vyronas
Greece,GR,Attica Region,attica-region,Ydra,ydra
Greece,GR,Attica Region,attica-region,Ymittos,ymittos
Greece,GR,Attica Region,attica-region,Zefyri,zefyri
Greece,GR,Attica Region,attica-region,Zografos,zografos
Greece,GR,Boeotia Regional Unit,boeotia-regional-unit,Boeotia Regional Unit,boeotia-regional-unit
Greece,GR,Central Greece Region,central-greece-region,Afration,afration
Greece,GR,Central Greece Region,central-greece-region,Agia Triada,agia-triada
Greece,GR,Central Greece Region,central-greece-region,Agios Georgios,agios-georgios
Greece,GR,Central Greece Region,central-greece-region,Aidipsos,aidipsos
Greece,GR,Central Greece Region,central-greece-region,Akraifnia,akraifnia
Greece,GR,Central Greece Region,central-greece-region,Aliartos,aliartos
Greece,GR,Central Greece Region,central-greece-region,Aliveri,aliveri
Greece,GR,Central Greece Region,central-greece-region,Amarynthos,amarynthos
Greece,GR,Central Greece Region,central-greece-region,Amfikleia,amfikleia
Greece,GR,Central Greece Region,central-greece-region,Amfissa,amfissa
Greece,GR,Central Greece Region,central-greece-region,Anthili,anthili
Greece,GR,Central Greece Region,central-greece-region,Antikyra,antikyra
Greece,GR,Central Greece Region,central-greece-region,Arachova,arachova
Greece,GR,Central Greece Region,central-greece-region,Arma,arma
Greece,GR,Central Greece Region,central-greece-region,Asopia,asopia
Greece,GR,Central Greece Region,central-greece-region,Atalanti,atalanti
Greece,GR,Central Greece Region,central-greece-region,Ayios Konstandinos,ayios-konstandinos
Greece,GR,Central Greece Region,central-greece-region,Ayios Nikolaos,ayios-nikolaos
Greece,GR,Central Greece Region,central-greece-region,Ayios Thomas,ayios-thomas
Greece,GR,Central Greece Region,central-greece-region,Chaironeia,chaironeia
Greece,GR,Central Greece Region,central-greece-region,Chalkida,chalkida
Greece,GR,Central Greece Region,central-greece-region,Delphi,delphi
Greece,GR,Central Greece Region,central-greece-region,Dhrosia,dhrosia
Greece,GR,Central Greece Region,central-greece-region,Dilesi,dilesi
Greece,GR,Central Greece Region,central-greece-region,Distomo,distomo
Greece,GR,Central Greece Region,central-greece-region,Domokos,domokos
Greece,GR,Central Greece Region,central-greece-region,Domvraina,domvraina
Greece,GR,Central Greece Region,central-greece-region,Elateia,elateia
Greece,GR,Central Greece Region,central-greece-region,Eretria,eretria
Greece,GR,Central Greece Region,central-greece-region,Faros,faros
Greece,GR,Central Greece Region,central-greece-region,Filla,filla
Greece,GR,Central Greece Region,central-greece-region,Galaxidhion,galaxidhion
Greece,GR,Central Greece Region,central-greece-region,Istiaia,istiaia
Greece,GR,Central Greece Region,central-greece-region,Itea,itea
Greece,GR,Central Greece Region,central-greece-region,Kainouryion,kainouryion
Greece,GR,Central Greece Region,central-greece-region,Kamena Vourla,kamena-vourla
Greece,GR,Central Greece Region,central-greece-region,Kaparellion,kaparellion
Greece,GR,Central Greece Region,central-greece-region,Karpenisi,karpenisi
Greece,GR,Central Greece Region,central-greece-region,Karystos,karystos
Greece,GR,Central Greece Region,central-greece-region,Kastella,kastella
Greece,GR,Central Greece Region,central-greece-region,Kato Tithorea,kato-tithorea
Greece,GR,Central Greece Region,central-greece-region,Kerasochori,kerasochori
Greece,GR,Central Greece Region,central-greece-region,Kirra,kirra
Greece,GR,Central Greece Region,central-greece-region,Kymi,kymi
Greece,GR,Central Greece Region,central-greece-region,Kyriaki,kyriaki
