s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Cahabon,cahabon
Guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Chahal Guatemala,chahal-guatemala
Guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Chisec,chisec
Guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Coban,coban
Guatemala,GT,Alta Verapaz Department,alta-verapaz-department,La Tinta,la-tinta
Guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Lanquin,lanquin
Guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Panzos,panzos
Guatemala,GT,Alta Verapaz Department,alta-verapaz-department,San Cristobal Verapaz,san-cristobal-verapaz
Guatemala,GT,Alta Verapaz Department,alta-verapaz-department,San Juan Chamelco,san-juan-chamelco
Guatemala,GT,Alta Verapaz Department,alta-verapaz-department,San Pedro Carcha,san-pedro-carcha
Guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Santa Cruz Verapaz,santa-cruz-verapaz
Guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Senahu,senahu
Guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Tactic,tactic
Guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Tamahu,tamahu
Guatemala,GT,Alta Verapaz Department,alta-verapaz-department,Tucuru,tucuru
Guatemala,GT,Baja Verapaz Department,baja-verapaz-department,Cubulco,cubulco
Guatemala,GT,Baja Verapaz Department,baja-verapaz-department,El Chol,el-chol
Guatemala,GT,Baja Verapaz Department,baja-verapaz-department,Granados,granados
Guatemala,GT,Baja Verapaz Department,baja-verapaz-department,Purulha,purulha
Guatemala,GT,Baja Verapaz Department,baja-verapaz-department,Rabinal,rabinal
Guatemala,GT,Baja Verapaz Department,baja-verapaz-department,Salama,salama
Guatemala,GT,Baja Verapaz Department,baja-verapaz-department,San Jeronimo,san-jeronimo
Guatemala,GT,Baja Verapaz Department,baja-verapaz-department,San Miguel Chicaj,san-miguel-chicaj
Guatemala,GT,Chimaltenango Department,chimaltenango-department,Acatenango,acatenango
Guatemala,GT,Chimaltenango Department,chimaltenango-department,Chimaltenango,chimaltenango
Guatemala,GT,Chimaltenango Department,chimaltenango-department,Comalapa,comalapa
Guatemala,GT,Chimaltenango Department,chimaltenango-department,El Tejar,el-tejar
Guatemala,GT,Chimaltenango Department,chimaltenango-department,Parramos,parramos
Guatemala,GT,Chimaltenango Department,chimaltenango-department,Patzicia,patzicia
Guatemala,GT,Chimaltenango Department,chimaltenango-department,Patzun,patzun
Guatemala,GT,Chimaltenango Department,chimaltenango-department,Pochuta,pochuta
Guatemala,GT,Chimaltenango Department,chimaltenango-department,San Andres Itzapa,san-andres-itzapa
Guatemala,GT,Chimaltenango Department,chimaltenango-department,San Jose Poaquil,san-jose-poaquil
Guatemala,GT,Chimaltenango Department,chimaltenango-department,San Martin Jilotepeque,san-martin-jilotepeque
Guatemala,GT,Chimaltenango Department,chimaltenango-department,Santa Apolonia,santa-apolonia
Guatemala,GT,Chimaltenango Department,chimaltenango-department,Santa Cruz Balanya,santa-cruz-balanya
Guatemala,GT,Chimaltenango Department,chimaltenango-department,Tecpan Guatemala,tecpan-guatemala
Guatemala,GT,Chimaltenango Department,chimaltenango-department,Yepocapa,yepocapa
Guatemala,GT,Chimaltenango Department,chimaltenango-department,Zaragoza,zaragoza
Guatemala,GT,Chiquimula Department,chiquimula-department,Camotan,camotan
Guatemala,GT,Chiquimula Department,chiquimula-department,Chiquimula,chiquimula
Guatemala,GT,Chiquimula Department,chiquimula-department,Concepcion Las Minas,concepcion-las-minas
Guatemala,GT,Chiquimula Department,chiquimula-department,Esquipulas,esquipulas
Guatemala,GT,Chiquimula Department,chiquimula-department,Ipala,ipala
Guatemala,GT,Chiquimula Department,chiquimula-department,Jocotan,jocotan
Guatemala,GT,Chiquimula Department,chiquimula-department,Olopa,olopa
Guatemala,GT,Chiquimula Department,chiquimula-department,Quezaltepeque,quezaltepeque
Guatemala,GT,Chiquimula Department,chiquimula-department,San Jacinto,san-jacinto
Guatemala,GT,Chiquimula Department,chiquimula-department,San Jose La Arada,san-jose-la-arada
Guatemala,GT,Chiquimula Department,chiquimula-department,San Juan Ermita,san-juan-ermita
Guatemala,GT,El Progreso Department,el-progreso-department,El Jicaro,el-jicaro
Guatemala,GT,El Progreso Department,el-progreso-department,Guastatoya,guastatoya
Guatemala,GT,El Progreso Department,el-progreso-department,Morazan,morazan
Guatemala,GT,El Progreso Department,el-progreso-department,San Agustin Acasaguastlan,san-agustin-acasaguastlan
Guatemala,GT,El Progreso Department,el-progreso-department,San Antonio La Paz,san-antonio-la-paz
Guatemala,GT,El Progreso Department,el-progreso-department,San Cristobal Acasaguastlan,san-cristobal-acasaguastlan
Guatemala,GT,El Progreso Department,el-progreso-department,Sanarate,sanarate
Guatemala,GT,El Progreso Department,el-progreso-department,Sansare,sansare
Guatemala,GT,Escuintla Department,escuintla-department,Escuintla,escuintla
Guatemala,GT,Escuintla Department,escuintla-department,Guanagazapa,guanagazapa
Guatemala,GT,Escuintla Department,escuintla-department,Iztapa,iztapa
Guatemala,GT,Escuintla Department,escuintla-department,La Democracia,la-democracia
Guatemala,GT,Escuintla Department,escuintla-department,La Gomera,la-gomera
Guatemala,GT,Escuintla Department,escuintla-department,Masagua,masagua
Guatemala,GT,Escuintla Department,escuintla-department,Nueva Concepcion,nueva-concepcion
Guatemala,GT,Escuintla Department,escuintla-department,Palin,palin
Guatemala,GT,Escuintla Department,escuintla-department,Puerto San Jose,puerto-san-jose
Guatemala,GT,Escuintla Department,escuintla-department,San Vicente Pacaya,san-vicente-pacaya
Guatemala,GT,Escuintla Department,escuintla-department,Santa Lucia Cotzumalguapa,santa-lucia-cotzumalguapa
Guatemala,GT,Escuintla Department,escuintla-department,Siquinala,siquinala
Guatemala,GT,Escuintla Department,escuintla-department,Tiquisate,tiquisate
Guatemala,GT,Guatemala Department,guatemala-department,Amatitlan,amatitlan
Guatemala,GT,Guatemala Department,guatemala-department,Chinautla,chinautla
Guatemala,GT,Guatemala Department,guatemala-department,Chuarrancho,chuarrancho
Guatemala,GT,Guatemala Department,guatemala-department,Fraijanes,fraijanes
Guatemala,GT,Guatemala Department,guatemala-department,Guatemala City,guatemala-city
Guatemala,GT,Guatemala Department,guatemala-department,Mixco,mixco
Guatemala,GT,Guatemala Department,guatemala-department,Palencia,palencia
Guatemala,GT,Guatemala Department,guatemala-department,Petapa,petapa
Guatemala,GT,Guatemala Department,guatemala-department,San Jose del Golfo,san-jose-del-golfo
Guatemala,GT,Guatemala Department,guatemala-department,San Jose Pinula,san-jose-pinula
Guatemala,GT,Guatemala Department,guatemala-department,San Juan Sacatepequez,san-juan-sacatepequez
Guatemala,GT,Guatemala Department,guatemala-department,San Pedro Ayampuc,san-pedro-ayampuc
Guatemala,GT,Guatemala Department,guatemala-department,San Pedro Sacatepequez,san-pedro-sacatepequez
Guatemala,GT,Guatemala Department,guatemala-department,San Raimundo,san-raimundo
Guatemala,GT,Guatemala Department,guatemala-department,Santa Catarina Pinula,santa-catarina-pinula
Guatemala,GT,Guatemala Department,guatemala-department,Villa Canales,villa-canales
Guatemala,GT,Guatemala Department,guatemala-department,Villa Nueva,villa-nueva
Guatemala,GT,Huehuetenango Department,huehuetenango-department,Aguacatan,aguacatan
Guatemala,GT,Huehuetenango Department,huehuetenango-department,Barillas,barillas
Guatemala,GT,Huehuetenango Department,huehuetenango-department,Chiantla,chiantla
Guatemala,GT,Huehuetenango Department,huehuetenango-department,Colotenango,colotenango
Guatemala,GT,Huehuetenango Department,huehuetenango-department,Concepcion Huista,concepcion-huista
Guatemala,GT,Huehuetenango Department,huehuetenango-department,Cuilco,cuilco
Guatemala,GT,Huehuetenango Department,huehuetenango-department,Huehuetenango,huehuetenango
Guatemala,GT,Huehuetenango Department,huehuetenango-department,Ixtahuacan,ixtahuacan
Guatemala,GT,Huehuetenango Department,huehuetenango-department,Jacaltenango,jacaltenango
Guatemala,GT,Huehuetenango Department,huehuetenango-department,La Libertad,la-libertad
Guatemala,GT,Huehuetenango Department,huehuetenango-department,Malacatancito,malacatancito
Guatemala,GT,Huehuetenango Department,huehuetenango-department,Nenton,nenton
Guatemala,GT,Huehuetenango Department,huehuetenango-department,San Antonio Huista,san-antonio-huista
Guatemala,GT,Huehuetenango Department,huehuetenango-department,San Gaspar Ixchil,san-gaspar-ixchil
Guatemala,GT,Huehuetenango Department,huehuetenango-department,San Juan Atitan,san-juan-atitan
Guatemala,GT,Huehuetenango Department,huehuetenango-department,San Juan Ixcoy,san-juan-ixcoy
Guatemala,GT,Huehuetenango Department,huehuetenango-department,San Mateo Ixtatan,san-mateo-ixtatan
Guatemala,GT,Huehuetenango Department,huehuetenango-department,San Miguel Acatan,san-miguel-acatan
Guatemala,GT,Huehuetenango Department,huehuetenango-department,San Pedro Necta,san-pedro-necta
Guatemala,GT,Huehuetenango Department,huehuetenango-department,San Rafael La Independencia,san-rafael-la-independencia
Guatemala,GT,Huehuetenango Department,huehuetenango-department,San Rafael Petzal,san-rafael-petzal
Guatemala,GT,Huehuetenango Department,huehuetenango-department,San Sebastian Coatan,san-sebastian-coatan
Guatemala,GT,Huehuetenango Department,huehuetenango-department,San Sebastian Huehuetenango,san-sebastian-huehuetenango
Guatemala,GT,Huehuetenango Department,huehuetenango-department,Santa Ana Huista,santa-ana-huista
Guatemala,GT,Huehuetenango Department,huehuetenango-department,Santa Barbara,santa-barbara
Guatemala,GT,Huehuetenango Department,huehuetenango-department,Santa Eulalia,santa-eulalia
Guatemala,GT,Huehuetenango Department,huehuetenango-department,Santiago Chimaltenango,santiago-chimaltenango
Guatemala,GT,Huehuetenango Department,huehuetenango-department,Soloma,soloma
Guatemala,GT,Huehuetenango Department,huehuetenango-department,Tectitan,tectitan
Guatemala,GT,Huehuetenango Department,huehuetenango-department,Todos Santos Cuchumatan,todos-santos-cuchumatan
Guatemala,GT,Izabal Department,izabal-department,El Estor,el-estor
Guatemala,GT,Izabal Department,izabal-department,Livingston,livingston
Guatemala,GT,Izabal Department,izabal-department,Los Amates,los-amates
Guatemala,GT,Izabal Department,izabal-department,Morales,morales
Guatemala,GT,Izabal Department,izabal-department,Municipio de Morales,municipio-de-morales
Guatemala,GT,Izabal Department,izabal-department,Municipio de Puerto Barrios,municipio-de-puerto-barrios
Guatemala,GT,Izabal Department,izabal-department,Puerto Barrios,puerto-barrios
Guatemala,GT,Jalapa Department,jalapa-department,Jalapa,jalapa
Guatemala,GT,Jalapa Department,jalapa-department,Mataquescuintla,mataquescuintla
Guatemala,GT,Jalapa Department,jalapa-department,Monjas,monjas
Guatemala,GT,Jalapa Department,jalapa-department,Municipio de Jalapa,municipio-de-jalapa
Guatemala,GT,Jalapa Department,jalapa-department,Municipio de Mataquescuintla,municipio-de-mataquescuintla
Guatemala,GT,Jalapa Department,jalapa-department,San Luis Jilotepeque,san-luis-jilotepeque
Guatemala,GT,Jalapa Department,jalapa-department,San Manuel Chaparron,san-manuel-chaparron
Guatemala,GT,Jalapa Department,jalapa-department,San Pedro Pinula,san-pedro-pinula
Guatemala,GT,Jutiapa Department,jutiapa-department,Agua Blanca,agua-blanca
Guatemala,GT,Jutiapa Department,jutiapa-department,Asuncion Mita,asuncion-mita
Guatemala,GT,Jutiapa Department,jutiapa-department,Atescatempa,atescatempa
Guatemala,GT,Jutiapa Department,jutiapa-department,Comapa,comapa
Guatemala,GT,Jutiapa Department,jutiapa-department,Conguaco,conguaco
Guatemala,GT,Jutiapa Department,jutiapa-department,El Adelanto,el-adelanto
Guatemala,GT,Jutiapa Department,jutiapa-department,El Progreso,el-progreso
Guatemala,GT,Jutiapa Department,jutiapa-department,Jalpatagua,jalpatagua
Guatemala,GT,Jutiapa Department,jutiapa-department,Jerez,jerez
Guatemala,GT,Jutiapa Department,jutiapa-department,Jutiapa,jutiapa
Guatemala,GT,Jutiapa Department,jutiapa-department,Moyuta,moyuta
Guatemala,GT,Jutiapa Department,jutiapa-department,Municipio de Asuncion Mita,municipio-de-asuncion-mita
Guatemala,GT,Jutiapa Department,jutiapa-department,Pasaco,pasaco
Guatemala,GT,Jutiapa Department,jutiapa-department,Quesada,quesada
Guatemala,GT,Jutiapa Department,jutiapa-department,San Jose Acatempa,san-jose-acatempa
Guatemala,GT,Jutiapa Department,jutiapa-department,Santa Catarina Mita,santa-catarina-mita
Guatemala,GT,Jutiapa Department,jutiapa-department,Yupiltepeque,yupiltepeque
Guatemala,GT,Jutiapa Department,jutiapa-department,Zapotitlan,zapotitlan
Guatemala,GT,Peten Department,peten-department,Dolores,dolores
Guatemala,GT,Peten Department,peten-department,Flores,flores
Guatemala,GT,Peten Department,peten-department,La Libertad,la-libertad
Guatemala,GT,Peten Department,peten-department,Melchor de Mencos,melchor-de-mencos
Guatemala,GT,Peten Department,peten-department,Municipio de Flores,municipio-de-flores
Guatemala,GT,Peten Department,peten-department,Municipio de Poptun,municipio-de-poptun
Guatemala,GT,Peten Department,peten-department,Municipio de San Andres,municipio-de-san-andres
Guatemala,GT,Peten Department,peten-department,Municipio de San Benito,municipio-de-san-benito
Guatemala,GT,Peten Department,peten-department,Municipio de San Francisco,municipio-de-san-francisco
Guatemala,GT,Peten Department,peten-department,Municipio de Santa Ana,municipio-de-santa-ana
Guatemala,GT,Peten Department,peten-department,Municipio de Sayaxche,municipio-de-sayaxche
Guatemala,GT,Peten Department,peten-department,Poptun,poptun
Guatemala,GT,Peten Department,peten-department,San Andres,san-andres
Guatemala,GT,Peten Department,peten-department,San Benito,san-benito
Guatemala,GT,Peten Department,peten-department,San Francisco,san-francisco
Guatemala,GT,Peten Department,peten-department,San Jose,san-jose
Guatemala,GT,Peten Department,peten-department,San Luis,san-luis
Guatemala,GT,Peten Department,peten-department,Santa Ana,santa-ana
Guatemala,GT,Peten Department,peten-department,Sayaxche,sayaxche
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,Almolonga,almolonga
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,Cabrican,cabrican
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,Cajola,cajola
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,Cantel,cantel
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,Coatepeque,coatepeque
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,Colomba,colomba
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,Concepcion Chiquirichapa,concepcion-chiquirichapa
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,El Palmar,el-palmar
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,Flores Costa Cuca,flores-costa-cuca
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,Genova,genova
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,Huitan,huitan
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,La Esperanza,la-esperanza
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,Municipio de Almolonga,municipio-de-almolonga
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,Municipio de Cabrican,municipio-de-cabrican
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,Municipio de Cantel,municipio-de-cantel
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,Municipio de Coatepeque,municipio-de-coatepeque
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,Municipio de Colomba,municipio-de-colomba
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,Municipio de Concepcion Chiquirichapa,municipio-de-concepcion-chiquirichapa
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,Municipio de Flores Costa Cuca,municipio-de-flores-costa-cuca
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,Municipio de San Juan Ostuncalco,municipio-de-san-juan-ostuncalco
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,Olintepeque,olintepeque
Guatemala,GT,Quetzaltenango Department,quetzaltenango-department,Ostuncalco,ostuncalco
