s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Honduras,HN,Atlantida Department,atlantida-department,Arizona,arizona
Honduras,HN,Atlantida Department,atlantida-department,Atenas de San Cristobal,atenas-de-san-cristobal
Honduras,HN,Atlantida Department,atlantida-department,Corozal,corozal
Honduras,HN,Atlantida Department,atlantida-department,El Pino,el-pino
Honduras,HN,Atlantida Department,atlantida-department,El Porvenir,el-porvenir
Honduras,HN,Atlantida Department,atlantida-department,El Triunfo de la Cruz,el-triunfo-de-la-cruz
Honduras,HN,Atlantida Department,atlantida-department,Esparta,esparta
Honduras,HN,Atlantida Department,atlantida-department,Jutiapa,jutiapa
Honduras,HN,Atlantida Department,atlantida-department,La Ceiba,la-ceiba
Honduras,HN,Atlantida Department,atlantida-department,La Masica,la-masica
Honduras,HN,Atlantida Department,atlantida-department,La Union,la-union
Honduras,HN,Atlantida Department,atlantida-department,Mezapa,mezapa
Honduras,HN,Atlantida Department,atlantida-department,Nueva Armenia,nueva-armenia
Honduras,HN,Atlantida Department,atlantida-department,Sambo Creek,sambo-creek
Honduras,HN,Atlantida Department,atlantida-department,San Antonio,san-antonio
Honduras,HN,Atlantida Department,atlantida-department,San Francisco,san-francisco
Honduras,HN,Atlantida Department,atlantida-department,San Juan Pueblo,san-juan-pueblo
Honduras,HN,Atlantida Department,atlantida-department,Santa Ana,santa-ana
Honduras,HN,Atlantida Department,atlantida-department,Tela,tela
Honduras,HN,Atlantida Department,atlantida-department,Tornabe,tornabe
Honduras,HN,Bay Islands Department,bay-islands-department,Coxen Hole,coxen-hole
Honduras,HN,Bay Islands Department,bay-islands-department,French Harbor,french-harbor
Honduras,HN,Bay Islands Department,bay-islands-department,Guanaja,guanaja
Honduras,HN,Bay Islands Department,bay-islands-department,Jose Santos Guardiola,jose-santos-guardiola
Honduras,HN,Bay Islands Department,bay-islands-department,Roatan,roatan
Honduras,HN,Bay Islands Department,bay-islands-department,Sandy Bay,sandy-bay
Honduras,HN,Bay Islands Department,bay-islands-department,Savannah Bight,savannah-bight
Honduras,HN,Bay Islands Department,bay-islands-department,Utila,utila
Honduras,HN,Choluteca Department,choluteca-department,Apacilagua,apacilagua
Honduras,HN,Choluteca Department,choluteca-department,Choluteca,choluteca
Honduras,HN,Choluteca Department,choluteca-department,Ciudad Choluteca,ciudad-choluteca
Honduras,HN,Choluteca Department,choluteca-department,Concepcion de Maria,concepcion-de-maria
Honduras,HN,Choluteca Department,choluteca-department,Corpus,corpus
Honduras,HN,Choluteca Department,choluteca-department,Duyure,duyure
Honduras,HN,Choluteca Department,choluteca-department,El Corpus,el-corpus
Honduras,HN,Choluteca Department,choluteca-department,El Obraje,el-obraje
Honduras,HN,Choluteca Department,choluteca-department,El Puente,el-puente
Honduras,HN,Choluteca Department,choluteca-department,El Triunfo,el-triunfo
Honduras,HN,Choluteca Department,choluteca-department,Los Llanitos,los-llanitos
Honduras,HN,Choluteca Department,choluteca-department,Marcovia,marcovia
Honduras,HN,Choluteca Department,choluteca-department,Monjaras,monjaras
Honduras,HN,Choluteca Department,choluteca-department,Morolica,morolica
Honduras,HN,Choluteca Department,choluteca-department,Namasigue,namasigue
Honduras,HN,Choluteca Department,choluteca-department,Orocuina,orocuina
Honduras,HN,Choluteca Department,choluteca-department,Pespire,pespire
Honduras,HN,Choluteca Department,choluteca-department,San Antonio de Flores,san-antonio-de-flores
Honduras,HN,Choluteca Department,choluteca-department,San Isidro,san-isidro
Honduras,HN,Choluteca Department,choluteca-department,San Jeronimo,san-jeronimo
Honduras,HN,Choluteca Department,choluteca-department,San Jose,san-jose
Honduras,HN,Choluteca Department,choluteca-department,San Jose de Las Conchas,san-jose-de-las-conchas
Honduras,HN,Choluteca Department,choluteca-department,San Marcos de Colon,san-marcos-de-colon
Honduras,HN,Choluteca Department,choluteca-department,Santa Ana de Yusguare,santa-ana-de-yusguare
Honduras,HN,Choluteca Department,choluteca-department,Santa Cruz,santa-cruz
