s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Jamaica,JM,Clarendon Parish,clarendon-parish,Aenon Town,aenon-town
Jamaica,JM,Clarendon Parish,clarendon-parish,Alley,alley
Jamaica,JM,Clarendon Parish,clarendon-parish,Alston,alston
Jamaica,JM,Clarendon Parish,clarendon-parish,Ashley,ashley
Jamaica,JM,Clarendon Parish,clarendon-parish,Banks,banks
Jamaica,JM,Clarendon Parish,clarendon-parish,Beckford Kraal,beckford-kraal
Jamaica,JM,Clarendon Parish,clarendon-parish,Brandon Hill,brandon-hill
Jamaica,JM,Clarendon Parish,clarendon-parish,Brixton Hill,brixton-hill
Jamaica,JM,Clarendon Parish,clarendon-parish,Bucknor,bucknor
Jamaica,JM,Clarendon Parish,clarendon-parish,Bucks Common,bucks-common
Jamaica,JM,Clarendon Parish,clarendon-parish,Bushy Park,bushy-park
Jamaica,JM,Clarendon Parish,clarendon-parish,Chapelton,chapelton
Jamaica,JM,Clarendon Parish,clarendon-parish,Chateau,chateau
Jamaica,JM,Clarendon Parish,clarendon-parish,Cockpit,cockpit
Jamaica,JM,Clarendon Parish,clarendon-parish,Coffee Piece,coffee-piece
Jamaica,JM,Clarendon Parish,clarendon-parish,Colonels Ridge,colonels-ridge
Jamaica,JM,Clarendon Parish,clarendon-parish,Coxswain,coxswain
Jamaica,JM,Clarendon Parish,clarendon-parish,Crofts Hill,crofts-hill
Jamaica,JM,Clarendon Parish,clarendon-parish,Crooked River,crooked-river
Jamaica,JM,Clarendon Parish,clarendon-parish,Cumberland,cumberland
Jamaica,JM,Clarendon Parish,clarendon-parish,Curatoe Hill,curatoe-hill
Jamaica,JM,Clarendon Parish,clarendon-parish,Dawkins,dawkins
Jamaica,JM,Clarendon Parish,clarendon-parish,Effortville,effortville
Jamaica,JM,Clarendon Parish,clarendon-parish,Four Paths,four-paths
Jamaica,JM,Clarendon Parish,clarendon-parish,Frankfield,frankfield
Jamaica,JM,Clarendon Parish,clarendon-parish,Freetown,freetown
Jamaica,JM,Clarendon Parish,clarendon-parish,Gimme-me-bit,gimme-me-bit
Jamaica,JM,Clarendon Parish,clarendon-parish,Glenmuir,glenmuir
Jamaica,JM,Clarendon Parish,clarendon-parish,Grantham,grantham
Jamaica,JM,Clarendon Parish,clarendon-parish,Gravel Hill,gravel-hill
Jamaica,JM,Clarendon Parish,clarendon-parish,Hayes,hayes
Jamaica,JM,Clarendon Parish,clarendon-parish,Hazard,hazard
Jamaica,JM,Clarendon Parish,clarendon-parish,Inverness,inverness
Jamaica,JM,Clarendon Parish,clarendon-parish,James Hill,james-hill
Jamaica,JM,Clarendon Parish,clarendon-parish,Johns Hall,johns-hall
Jamaica,JM,Clarendon Parish,clarendon-parish,Kellits,kellits
Jamaica,JM,Clarendon Parish,clarendon-parish,Limit,limit
Jamaica,JM,Clarendon Parish,clarendon-parish,Lionel Town,lionel-town
Jamaica,JM,Clarendon Parish,clarendon-parish,Longville Park,longville-park
Jamaica,JM,Clarendon Parish,clarendon-parish,Longwood,longwood
Jamaica,JM,Clarendon Parish,clarendon-parish,May Pen,may-pen
Jamaica,JM,Clarendon Parish,clarendon-parish,May Pen Proper,may-pen-proper
Jamaica,JM,Clarendon Parish,clarendon-parish,Milk River,milk-river
Jamaica,JM,Clarendon Parish,clarendon-parish,Mineral Heights,mineral-heights
Jamaica,JM,Clarendon Parish,clarendon-parish,Mitchell Town,mitchell-town
Jamaica,JM,Clarendon Parish,clarendon-parish,Moores,moores
Jamaica,JM,Clarendon Parish,clarendon-parish,Morgans Forest,morgans-forest
Jamaica,JM,Clarendon Parish,clarendon-parish,Morgans Pass,morgans-pass
Jamaica,JM,Clarendon Parish,clarendon-parish,Mount Airy,mount-airy
Jamaica,JM,Clarendon Parish,clarendon-parish,New Denbigh,new-denbigh
Jamaica,JM,Clarendon Parish,clarendon-parish,New Longsville,new-longsville
Jamaica,JM,Clarendon Parish,clarendon-parish,Old Denbigh,old-denbigh
Jamaica,JM,Clarendon Parish,clarendon-parish,Orange Hill,orange-hill
Jamaica,JM,Clarendon Parish,clarendon-parish,Osbourne Store,osbourne-store
Jamaica,JM,Clarendon Parish,clarendon-parish,Paisley,paisley
Jamaica,JM,Clarendon Parish,clarendon-parish,Palmers Cross,palmers-cross
Jamaica,JM,Clarendon Parish,clarendon-parish,Part of Banana Ground,part-of-banana-ground
Jamaica,JM,Clarendon Parish,clarendon-parish,Part of Douglas Castle,part-of-douglas-castle
Jamaica,JM,Clarendon Parish,clarendon-parish,Part of Kellits,part-of-kellits
Jamaica,JM,Clarendon Parish,clarendon-parish,Peckham,peckham
Jamaica,JM,Clarendon Parish,clarendon-parish,Pennants,pennants
Jamaica,JM,Clarendon Parish,clarendon-parish,Pleasant Valley,pleasant-valley
Jamaica,JM,Clarendon Parish,clarendon-parish,Portland Cottage,portland-cottage
Jamaica,JM,Clarendon Parish,clarendon-parish,Porus,porus
Jamaica,JM,Clarendon Parish,clarendon-parish,Race Course,race-course
Jamaica,JM,Clarendon Parish,clarendon-parish,Richmond Park,richmond-park
Jamaica,JM,Clarendon Parish,clarendon-parish,Ritchies,ritchies
Jamaica,JM,Clarendon Parish,clarendon-parish,Rock,rock
Jamaica,JM,Clarendon Parish,clarendon-parish,Rock River,rock-river
Jamaica,JM,Clarendon Parish,clarendon-parish,Rocky Point,rocky-point
Jamaica,JM,Clarendon Parish,clarendon-parish,Salt River,salt-river
Jamaica,JM,Clarendon Parish,clarendon-parish,Sandy Bay,sandy-bay
Jamaica,JM,Clarendon Parish,clarendon-parish,Sanguinetti,sanguinetti
Jamaica,JM,Clarendon Parish,clarendon-parish,Sedgepond,sedgepond
Jamaica,JM,Clarendon Parish,clarendon-parish,Silent Hill,silent-hill
Jamaica,JM,Clarendon Parish,clarendon-parish,Smithville,smithville
Jamaica,JM,Clarendon Parish,clarendon-parish,Spaldings,spaldings
Jamaica,JM,Clarendon Parish,clarendon-parish,Summerfield,summerfield
Jamaica,JM,Clarendon Parish,clarendon-parish,Thompson Town,thompson-town
Jamaica,JM,Clarendon Parish,clarendon-parish,Tollgate,tollgate
Jamaica,JM,Clarendon Parish,clarendon-parish,Treadlight,treadlight
Jamaica,JM,Clarendon Parish,clarendon-parish,Trout Hall,trout-hall
Jamaica,JM,Clarendon Parish,clarendon-parish,Turners,turners
Jamaica,JM,Clarendon Parish,clarendon-parish,Water Lane,water-lane
Jamaica,JM,Clarendon Parish,clarendon-parish,Woodhall,woodhall
Jamaica,JM,Clarendon Parish,clarendon-parish,York Town,york-town
Jamaica,JM,Hanover Parish,hanover-parish,Askenish,askenish
Jamaica,JM,Hanover Parish,hanover-parish,Cacoon,cacoon
Jamaica,JM,Hanover Parish,hanover-parish,Cacoon Castle,cacoon-castle
Jamaica,JM,Hanover Parish,hanover-parish,Cascade,cascade
Jamaica,JM,Hanover Parish,hanover-parish,Cash Hill,cash-hill
Jamaica,JM,Hanover Parish,hanover-parish,Cauldwell,cauldwell
Jamaica,JM,Hanover Parish,hanover-parish,Chambers Pen,chambers-pen
Jamaica,JM,Hanover Parish,hanover-parish,Chester Castle,chester-castle
Jamaica,JM,Hanover Parish,hanover-parish,Copse,copse
Jamaica,JM,Hanover Parish,hanover-parish,Cousins Cove,cousins-cove
Jamaica,JM,Hanover Parish,hanover-parish,Dias,dias
Jamaica,JM,Hanover Parish,hanover-parish,Great Valley,great-valley
Jamaica,JM,Hanover Parish,hanover-parish,Green Island,green-island
Jamaica,JM,Hanover Parish,hanover-parish,Haddington,haddington
Jamaica,JM,Hanover Parish,hanover-parish,Hopewell,hopewell
Jamaica,JM,Hanover Parish,hanover-parish,Jericho,jericho
Jamaica,JM,Hanover Parish,hanover-parish,Kendal,kendal
Jamaica,JM,Hanover Parish,hanover-parish,Kingsvale,kingsvale
Jamaica,JM,Hanover Parish,hanover-parish,Lances Bay,lances-bay
Jamaica,JM,Hanover Parish,hanover-parish,Logwood,logwood
Jamaica,JM,Hanover Parish,hanover-parish,Lucea,lucea
Jamaica,JM,Hanover Parish,hanover-parish,Lucea East,lucea-east
Jamaica,JM,Hanover Parish,hanover-parish,Lucea West,lucea-west
Jamaica,JM,Hanover Parish,hanover-parish,March Town,march-town
Jamaica,JM,Hanover Parish,hanover-parish,Maryland,maryland
Jamaica,JM,Hanover Parish,hanover-parish,Mount Peto,mount-peto
Jamaica,JM,Hanover Parish,hanover-parish,Orange Bay,orange-bay
Jamaica,JM,Hanover Parish,hanover-parish,Pell River,pell-river
Jamaica,JM,Hanover Parish,hanover-parish,Pondside,pondside
Jamaica,JM,Hanover Parish,hanover-parish,Ramble,ramble
Jamaica,JM,Hanover Parish,hanover-parish,Rock Spring,rock-spring
Jamaica,JM,Hanover Parish,hanover-parish,Sandy Bay,sandy-bay
Jamaica,JM,Hanover Parish,hanover-parish,Santoy,santoy
Jamaica,JM,Hanover Parish,hanover-parish,Success,success
Jamaica,JM,Hanover Parish,hanover-parish,Woodlands,woodlands
Jamaica,JM,Hanover Parish,hanover-parish,Woodsville,woodsville
Jamaica,JM,Kingston Parish,kingston-parish,Allman Town,allman-town
Jamaica,JM,Kingston Parish,kingston-parish,Bournemouth Gardens,bournemouth-gardens
Jamaica,JM,Kingston Parish,kingston-parish,Campbell Town,campbell-town
Jamaica,JM,Kingston Parish,kingston-parish,Central Down Town,central-down-town
Jamaica,JM,Kingston Parish,kingston-parish,D'Aguilar Town/ Rennock Lodge,daguilar-town-rennock-lodge
Jamaica,JM,Kingston Parish,kingston-parish,Denham Town,denham-town
Jamaica,JM,Kingston Parish,kingston-parish,East Down Town,east-down-town
Jamaica,JM,Kingston Parish,kingston-parish,Fletchers Land,fletchers-land
Jamaica,JM,Kingston Parish,kingston-parish,Franklyn Town,franklyn-town
Jamaica,JM,Kingston Parish,kingston-parish,Hannah Town/ Craig Town,hannah-town-craig-town
Jamaica,JM,Kingston Parish,kingston-parish,Johnson Town,johnson-town
Jamaica,JM,Kingston Parish,kingston-parish,Kingston,kingston
Jamaica,JM,Kingston Parish,kingston-parish,Kingston Gardens,kingston-gardens
Jamaica,JM,Kingston Parish,kingston-parish,Manley Meadows,manley-meadows
Jamaica,JM,Kingston Parish,kingston-parish,Newport East,newport-east
Jamaica,JM,Kingston Parish,kingston-parish,Newton Square,newton-square
Jamaica,JM,Kingston Parish,kingston-parish,Norman Gardens,norman-gardens
Jamaica,JM,Kingston Parish,kingston-parish,Passmore Town,passmore-town
Jamaica,JM,Kingston Parish,kingston-parish,Port Royal,port-royal
Jamaica,JM,Kingston Parish,kingston-parish,Rae Town,rae-town
Jamaica,JM,Kingston Parish,kingston-parish,Rollington Town,rollington-town
