s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Kiribati,KI,Gilbert Islands,gilbert-islands,Abaiang,abaiang
Kiribati,KI,Gilbert Islands,gilbert-islands,Abemama,abemama
Kiribati,KI,Gilbert Islands,gilbert-islands,Ambo Village,ambo-village
Kiribati,KI,Gilbert Islands,gilbert-islands,Aranuka,aranuka
Kiribati,KI,Gilbert Islands,gilbert-islands,Arorae,arorae
Kiribati,KI,Gilbert Islands,gilbert-islands,Bairiki Village,bairiki-village
Kiribati,KI,Gilbert Islands,gilbert-islands,Banaba,banaba
Kiribati,KI,Gilbert Islands,gilbert-islands,Banraeaba Village,banraeaba-village
Kiribati,KI,Gilbert Islands,gilbert-islands,Beru,beru
Kiribati,KI,Gilbert Islands,gilbert-islands,Betio Village,betio-village
Kiribati,KI,Gilbert Islands,gilbert-islands,Bikenibeu Village,bikenibeu-village
Kiribati,KI,Gilbert Islands,gilbert-islands,Bonriki Village,bonriki-village
Kiribati,KI,Gilbert Islands,gilbert-islands,Buota Village,buota-village
Kiribati,KI,Gilbert Islands,gilbert-islands,Butaritari,butaritari
Kiribati,KI,Gilbert Islands,gilbert-islands,Eita Village,eita-village
Kiribati,KI,Gilbert Islands,gilbert-islands,Kuria,kuria
Kiribati,KI,Gilbert Islands,gilbert-islands,Maiana,maiana
Kiribati,KI,Gilbert Islands,gilbert-islands,Makin,makin
Kiribati,KI,Gilbert Islands,gilbert-islands,Makin Village,makin-village
Kiribati,KI,Gilbert Islands,gilbert-islands,Marakei,marakei
Kiribati,KI,Gilbert Islands,gilbert-islands,Nawerewere Village,nawerewere-village
Kiribati,KI,Gilbert Islands,gilbert-islands,Nikunau,nikunau
Kiribati,KI,Gilbert Islands,gilbert-islands,Nonouti,nonouti
Kiribati,KI,Gilbert Islands,gilbert-islands,Onotoa,onotoa
Kiribati,KI,Gilbert Islands,gilbert-islands,Rawannawi Village,rawannawi-village
Kiribati,KI,Gilbert Islands,gilbert-islands,Tabiteuea,tabiteuea
Kiribati,KI,Gilbert Islands,gilbert-islands,Tamana,tamana
Kiribati,KI,Gilbert Islands,gilbert-islands,Tarawa,tarawa
Kiribati,KI,Gilbert Islands,gilbert-islands,Teaoraereke Village,teaoraereke-village
Kiribati,KI,Gilbert Islands,gilbert-islands,Temaiku Village,temaiku-village
Kiribati,KI,Line Islands,line-islands,Banana Village,banana-village
Kiribati,KI,Line Islands,line-islands,Kiritimati,kiritimati
Kiribati,KI,Line Islands,line-islands,London Village,london-village
Kiribati,KI,Line Islands,line-islands,Napari Village,napari-village
Kiribati,KI,Line Islands,line-islands,Tabuaeran,tabuaeran
Kiribati,KI,Line Islands,line-islands,Tabwakea Village,tabwakea-village
Kiribati,KI,Line Islands,line-islands,Teraina,teraina
Kiribati,KI,Phoenix Islands,phoenix-islands,Kanton,kanton
