s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Comoros,KM,Anjouan,anjouan,Adda-Doueni,adda-doueni
Comoros,KM,Anjouan,anjouan,Antsahe,antsahe
Comoros,KM,Anjouan,anjouan,Assimpao,assimpao
Comoros,KM,Anjouan,anjouan,Bambao,bambao
Comoros,KM,Anjouan,anjouan,Bandajou,bandajou
Comoros,KM,Anjouan,anjouan,Barakani,barakani
Comoros,KM,Anjouan,anjouan,Bimbini,bimbini
Comoros,KM,Anjouan,anjouan,Boungoueni,boungoueni
Comoros,KM,Anjouan,anjouan,Chandra,chandra
Comoros,KM,Anjouan,anjouan,Chironkamba,chironkamba
Comoros,KM,Anjouan,anjouan,Chitrouni,chitrouni
Comoros,KM,Anjouan,anjouan,Daji,daji
Comoros,KM,Anjouan,anjouan,Domoni,domoni
Comoros,KM,Anjouan,anjouan,Dziani,dziani
Comoros,KM,Anjouan,anjouan,Hajoho,hajoho
Comoros,KM,Anjouan,anjouan,Harembo,harembo
Comoros,KM,Anjouan,anjouan,Kangani,kangani
Comoros,KM,Anjouan,anjouan,Kavani,kavani
Comoros,KM,Anjouan,anjouan,Koki,koki
Comoros,KM,Anjouan,anjouan,Koni-Djodjo,koni-djodjo
Comoros,KM,Anjouan,anjouan,Koni-Ngani,koni-ngani
Comoros,KM,Anjouan,anjouan,Kyo,kyo
Comoros,KM,Anjouan,anjouan,Limbi,limbi
Comoros,KM,Anjouan,anjouan,Lingoni,lingoni
Comoros,KM,Anjouan,anjouan,Magnassini-Nindri,magnassini-nindri
Comoros,KM,Anjouan,anjouan,Marahare,marahare
Comoros,KM,Anjouan,anjouan,Mirontsi,mirontsi
Comoros,KM,Anjouan,anjouan,Mjamaoue,mjamaoue
Comoros,KM,Anjouan,anjouan,Mjimandra,mjimandra
Comoros,KM,Anjouan,anjouan,Moutsamoudou,moutsamoudou
Comoros,KM,Anjouan,anjouan,Moya,moya
Comoros,KM,Anjouan,anjouan,Mramani,mramani
Comoros,KM,Anjouan,anjouan,Mremani,mremani
Comoros,KM,Anjouan,anjouan,Ongoni,ongoni
Comoros,KM,Anjouan,anjouan,Ouani,ouani
Comoros,KM,Anjouan,anjouan,Ouzini,ouzini
Comoros,KM,Anjouan,anjouan,Paje,paje
Comoros,KM,Anjouan,anjouan,Patsi,patsi
Comoros,KM,Anjouan,anjouan,Sima,sima
Comoros,KM,Anjouan,anjouan,Tsimbeo,tsimbeo
Comoros,KM,Anjouan,anjouan,Vouani,vouani
Comoros,KM,Grande Comore,grande-comore,Bahani,bahani
Comoros,KM,Grande Comore,grande-comore,Bambadjani,bambadjani
Comoros,KM,Grande Comore,grande-comore,Bouni,bouni
Comoros,KM,Grande Comore,grande-comore,Chezani,chezani
Comoros,KM,Grande Comore,grande-comore,Chindini,chindini
Comoros,KM,Grande Comore,grande-comore,Chouani,chouani
Comoros,KM,Grande Comore,grande-comore,Dembeni,dembeni
Comoros,KM,Grande Comore,grande-comore,Douniani,douniani
Comoros,KM,Grande Comore,grande-comore,Dzahadjou,dzahadjou
Comoros,KM,Grande Comore,grande-comore,Foumbouni,foumbouni
Comoros,KM,Grande Comore,grande-comore,Hantsindzi,hantsindzi
Comoros,KM,Grande Comore,grande-comore,Heroumbili,heroumbili
Comoros,KM,Grande Comore,grande-comore,Itsandra,itsandra
Comoros,KM,Grande Comore,grande-comore,Itsandzeni,itsandzeni
Comoros,KM,Grande Comore,grande-comore,Ivouani,ivouani
Comoros,KM,Grande Comore,grande-comore,Koua,koua
Comoros,KM,Grande Comore,grande-comore,Madjeoueni,madjeoueni
Comoros,KM,Grande Comore,grande-comore,Mandza,mandza
Comoros,KM,Grande Comore,grande-comore,Mavingouni,mavingouni
Comoros,KM,Grande Comore,grande-comore,Mbeni,mbeni
Comoros,KM,Grande Comore,grande-comore,Mitsamiouli,mitsamiouli
Comoros,KM,Grande Comore,grande-comore,Mitsoudje,mitsoudje
Comoros,KM,Grande Comore,grande-comore,Mnoungou,mnoungou
Comoros,KM,Grande Comore,grande-comore,Mohoro,mohoro
Comoros,KM,Grande Comore,grande-comore,Moroni,moroni
Comoros,KM,Grande Comore,grande-comore,Mtsamdou,mtsamdou
Comoros,KM,Grande Comore,grande-comore,Mvouni,mvouni
Comoros,KM,Grande Comore,grande-comore,Nioumamilima,nioumamilima
Comoros,KM,Grande Comore,grande-comore,Ntsaoueni,ntsaoueni
Comoros,KM,Grande Comore,grande-comore,Ntsoudjini,ntsoudjini
Comoros,KM,Grande Comore,grande-comore,Ouellah,ouellah
Comoros,KM,Grande Comore,grande-comore,Ouhozi,ouhozi
Comoros,KM,Grande Comore,grande-comore,Ouroveni,ouroveni
Comoros,KM,Grande Comore,grande-comore,Oussivo,oussivo
Comoros,KM,Grande Comore,grande-comore,Salimani,salimani
Comoros,KM,Grande Comore,grande-comore,Selea,selea
Comoros,KM,Grande Comore,grande-comore,Singani,singani
Comoros,KM,Grande Comore,grande-comore,Tsidje,tsidje
Comoros,KM,Grande Comore,grande-comore,Vanadjou,vanadjou
Comoros,KM,Grande Comore,grande-comore,Vanambouani,vanambouani
Comoros,KM,Moheli,moheli,Djoyezi,djoyezi
Comoros,KM,Moheli,moheli,Fomboni,fomboni
Comoros,KM,Moheli,moheli,Hoani,hoani
Comoros,KM,Moheli,moheli,Mtakoudja,mtakoudja
Comoros,KM,Moheli,moheli,Nioumachoua,nioumachoua
Comoros,KM,Moheli,moheli,Ouanani,ouanani
Comoros,KM,Moheli,moheli,Ziroudani,ziroudani
