s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Saint Kitts And Nevis,KN,Christ Church Nichola Town Parish,christ-church-nichola-town-parish,Nicola Town,nicola-town
Saint Kitts And Nevis,KN,Nevis,nevis,Nevis,nevis
Saint Kitts And Nevis,KN,Saint Anne Sandy Point Parish,saint-anne-sandy-point-parish,Sandy Point Town,sandy-point-town
Saint Kitts And Nevis,KN,Saint George Gingerland Parish,saint-george-gingerland-parish,Market Shop,market-shop
Saint Kitts And Nevis,KN,Saint James Windward Parish,saint-james-windward-parish,Newcastle,newcastle
Saint Kitts And Nevis,KN,Saint John Capisterre Parish,saint-john-capisterre-parish,Dieppe Bay Town,dieppe-bay-town
Saint Kitts And Nevis,KN,Saint John Figtree Parish,saint-john-figtree-parish,Fig Tree,fig-tree
Saint Kitts And Nevis,KN,Saint Kitts,saint-kitts,Saint Kitts,saint-kitts
Saint Kitts And Nevis,KN,Saint Mary Cayon Parish,saint-mary-cayon-parish,Cayon,cayon
Saint Kitts And Nevis,KN,Saint Paul Capisterre Parish,saint-paul-capisterre-parish,Saint Pauls,saint-pauls
Saint Kitts And Nevis,KN,Saint Paul Charlestown Parish,saint-paul-charlestown-parish,Charlestown,charlestown
Saint Kitts And Nevis,KN,Saint Peter Basseterre Parish,saint-peter-basseterre-parish,Monkey Hill,monkey-hill
Saint Kitts And Nevis,KN,Saint Thomas Lowland Parish,saint-thomas-lowland-parish,Cotton Ground,cotton-ground
Saint Kitts And Nevis,KN,Saint Thomas Middle Island Parish,saint-thomas-middle-island-parish,Middle Island,middle-island
Saint Kitts And Nevis,KN,Trinity Palmetto Point Parish,trinity-palmetto-point-parish,Trinity,trinity
