s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Kazakhstan,KZ,Akmola Region,akmola-region,Akkol,akkol
Kazakhstan,KZ,Akmola Region,akmola-region,Akkol,akkol
Kazakhstan,KZ,Akmola Region,akmola-region,Aksu,aksu
Kazakhstan,KZ,Akmola Region,akmola-region,Astrakhan,astrakhan
Kazakhstan,KZ,Akmola Region,akmola-region,Atbasar,atbasar
Kazakhstan,KZ,Akmola Region,akmola-region,Balkashino,balkashino
Kazakhstan,KZ,Akmola Region,akmola-region,Bestobe,bestobe
Kazakhstan,KZ,Akmola Region,akmola-region,Derzhavinsk,derzhavinsk
Kazakhstan,KZ,Akmola Region,akmola-region,Egindikol,egindikol
Kazakhstan,KZ,Akmola Region,akmola-region,Esil,esil
Kazakhstan,KZ,Akmola Region,akmola-region,Kokshetau,kokshetau
Kazakhstan,KZ,Akmola Region,akmola-region,Krasnogorskiy,krasnogorskiy
Kazakhstan,KZ,Akmola Region,akmola-region,Makinsk,makinsk
Kazakhstan,KZ,Akmola Region,akmola-region,Shantobe,shantobe
Kazakhstan,KZ,Akmola Region,akmola-region,Shchuchinsk,shchuchinsk
Kazakhstan,KZ,Akmola Region,akmola-region,Shortandy,shortandy
Kazakhstan,KZ,Akmola Region,akmola-region,Stepnogorsk,stepnogorsk
Kazakhstan,KZ,Akmola Region,akmola-region,Stepnyak,stepnyak
Kazakhstan,KZ,Akmola Region,akmola-region,Yermentau,yermentau
Kazakhstan,KZ,Akmola Region,akmola-region,Zavodskoy,zavodskoy
Kazakhstan,KZ,Akmola Region,akmola-region,Zhaqsy,zhaqsy
Kazakhstan,KZ,Akmola Region,akmola-region,Zholymbet,zholymbet
Kazakhstan,KZ,Aktobe Region,aktobe-region,Aktobe,aktobe
Kazakhstan,KZ,Aktobe Region,aktobe-region,Batamshinskiy,batamshinskiy
Kazakhstan,KZ,Aktobe Region,aktobe-region,Bayganin,bayganin
Kazakhstan,KZ,Aktobe Region,aktobe-region,Embi,embi
Kazakhstan,KZ,Aktobe Region,aktobe-region,Kandyagash,kandyagash
Kazakhstan,KZ,Aktobe Region,aktobe-region,Khromtau,khromtau
Kazakhstan,KZ,Aktobe Region,aktobe-region,Martuk,martuk
Kazakhstan,KZ,Aktobe Region,aktobe-region,Shalqar,shalqar
Kazakhstan,KZ,Aktobe Region,aktobe-region,Shubarkuduk,shubarkuduk
Kazakhstan,KZ,Aktobe Region,aktobe-region,Shubarshi,shubarshi
Kazakhstan,KZ,Aktobe Region,aktobe-region,Temir,temir
Kazakhstan,KZ,Aktobe Region,aktobe-region,Yrghyz,yrghyz
Kazakhstan,KZ,Almaty,almaty,Almaty,almaty
Kazakhstan,KZ,Almaty Region,almaty-region,Bakanas,bakanas
Kazakhstan,KZ,Almaty Region,almaty-region,Balpyk Bi,balpyk-bi
Kazakhstan,KZ,Almaty Region,almaty-region,Burunday,burunday
