s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Liberia,LR,Bomi County,bomi-county,Tubmanburg,tubmanburg
Liberia,LR,Bong County,bong-county,Gbarnga,gbarnga
Liberia,LR,Gbarpolu County,gbarpolu-county,Bopolu,bopolu
Liberia,LR,Grand Bassa County,grand-bassa-county,Buchanan,buchanan
Liberia,LR,Grand Cape Mount County,grand-cape-mount-county,Robertsport,robertsport
Liberia,LR,Grand Gedeh County,grand-gedeh-county,Zwedru,zwedru
Liberia,LR,Grand Kru County,grand-kru-county,Barclayville,barclayville
Liberia,LR,Lofa County,lofa-county,Voinjama,voinjama
Liberia,LR,Margibi County,margibi-county,Kakata,kakata
Liberia,LR,Maryland County,maryland-county,Harper,harper
Liberia,LR,Montserrado County,montserrado-county,Bensonville,bensonville
Liberia,LR,Montserrado County,montserrado-county,Monrovia,monrovia
Liberia,LR,Nimba,nimba,Ganta,ganta
Liberia,LR,Nimba,nimba,New Yekepa,new-yekepa
Liberia,LR,Nimba,nimba,Sanniquellie,sanniquellie
Liberia,LR,River Cess County,river-cess-county,Cestos City,cestos-city
Liberia,LR,River Gee County,river-gee-county,Fish Town,fish-town
Liberia,LR,Sinoe County,sinoe-county,Greenville,greenville
