s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Libya,LY,Al Wahat District,al-wahat-district,Ajdabiya,ajdabiya
Libya,LY,Al Wahat District,al-wahat-district,Al Burayqah,al-burayqah
Libya,LY,Al Wahat District,al-wahat-district,Awjilah,awjilah
Libya,LY,Al Wahat District,al-wahat-district,Az Zuwaytinah,az-zuwaytinah
Libya,LY,Al Wahat District,al-wahat-district,Gialo,gialo
Libya,LY,Al Wahat District,al-wahat-district,Maradah,maradah
Libya,LY,Benghazi,benghazi,Benghazi,benghazi
Libya,LY,Benghazi,benghazi,Qaryat Suluq,qaryat-suluq
Libya,LY,Derna District,derna-district,Al Qubbah,al-qubbah
Libya,LY,Derna District,derna-district,Darnah,darnah
Libya,LY,Ghat District,ghat-district,Ghat,ghat
Libya,LY,Jabal al Akhdar,jabal-al-akhdar,Al Bayda,al-bayda
Libya,LY,Jabal al Gharbi District,jabal-al-gharbi-district,Gharyan,gharyan
Libya,LY,Jabal al Gharbi District,jabal-al-gharbi-district,Giado,giado
Libya,LY,Jabal al Gharbi District,jabal-al-gharbi-district,Mizdah,mizdah
Libya,LY,Jabal al Gharbi District,jabal-al-gharbi-district,Yafran,yafran
Libya,LY,Jabal al Gharbi District,jabal-al-gharbi-district,Zintan,zintan
Libya,LY,Jafara,jafara,Al Aziziyah,al-aziziyah
Libya,LY,Jufra,jufra,Hun,hun
Libya,LY,Jufra,jufra,Waddan,waddan
Libya,LY,Kufra District,kufra-district,Al Jawf,al-jawf
Libya,LY,Kufra District,kufra-district,At Taj,at-taj
Libya,LY,Marj District,marj-district,Al Abyar,al-abyar
Libya,LY,Marj District,marj-district,Al Marj,al-marj
Libya,LY,Marj District,marj-district,Tukrah,tukrah
Libya,LY,Misrata District,misrata-district,Bani Walid,bani-walid
Libya,LY,Misrata District,misrata-district,Misratah,misratah
Libya,LY,Misrata District,misrata-district,Zliten,zliten
Libya,LY,Murqub,murqub,Al Khums,al-khums
Libya,LY,Murqub,murqub,Masallatah,masallatah
Libya,LY,Murqub,murqub,Tarhuna,tarhuna
Libya,LY,Murzuq District,murzuq-district,Al Qatrun,al-qatrun
Libya,LY,Murzuq District,murzuq-district,Murzuq,murzuq
Libya,LY,Nalut District,nalut-district,Ghadamis,ghadamis
Libya,LY,Nalut District,nalut-district,Nalut,nalut
Libya,LY,Nuqat al Khams,nuqat-al-khams,Al Ajaylat,al-ajaylat
Libya,LY,Nuqat al Khams,nuqat-al-khams,Zaltan,zaltan
Libya,LY,Nuqat al Khams,nuqat-al-khams,Zuwarah,zuwarah
Libya,LY,Sabha District,sabha-district,Al Jadid,al-jadid
Libya,LY,Sabha District,sabha-district,Sabha,sabha
Libya,LY,Sirte District,sirte-district,Qasr Abu Hadi,qasr-abu-hadi
Libya,LY,Sirte District,sirte-district,Sirte,sirte
Libya,LY,Tripoli District,tripoli-district,Tagiura,tagiura
Libya,LY,Tripoli District,tripoli-district,Tripoli,tripoli
Libya,LY,Wadi al Hayaa District,wadi-al-hayaa-district,Ubari,ubari
Libya,LY,Wadi al Shatii District,wadi-al-shatii-district,Brak,brak
Libya,LY,Wadi al Shatii District,wadi-al-shatii-district,Idri,idri
Libya,LY,Zawiya District,zawiya-district,Az Zawiyah,az-zawiyah
Libya,LY,Zawiya District,zawiya-district,Sabratah,sabratah
Libya,LY,Zawiya District,zawiya-district,Surman,surman
Libya,LY,Zawiya District,zawiya-district,Zawiya,zawiya
