s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Morocco,MA,Al Haouz Province,al-haouz-province,Al Haouz Province,al-haouz-province
Morocco,MA,Al Hoceima Province,al-hoceima-province,Al Hoceima Province,al-hoceima-province
Morocco,MA,Aousserd Province,aousserd-province,Aousserd Province,aousserd-province
Morocco,MA,Assa-Zag Province,assa-zag-province,Agadir,agadir
Morocco,MA,Assa-Zag Province,assa-zag-province,Agadir Melloul,agadir-melloul
Morocco,MA,Assa-Zag Province,assa-zag-province,Agadir-Ida-ou-Tnan,agadir-ida-ou-tnan
Morocco,MA,Assa-Zag Province,assa-zag-province,Aoulouz,aoulouz
Morocco,MA,Assa-Zag Province,assa-zag-province,Aourir,aourir
Morocco,MA,Assa-Zag Province,assa-zag-province,Arazane,arazane
Morocco,MA,Assa-Zag Province,assa-zag-province,Argana,argana
Morocco,MA,Assa-Zag Province,assa-zag-province,Bigoudine,bigoudine
Morocco,MA,Assa-Zag Province,assa-zag-province,Chtouka-Ait-Baha,chtouka-ait-baha
Morocco,MA,Assa-Zag Province,assa-zag-province,Inezgane,inezgane
Morocco,MA,Assa-Zag Province,assa-zag-province,Inezgane-Ait Melloul,inezgane-ait-melloul
Morocco,MA,Assa-Zag Province,assa-zag-province,Ouijjane,ouijjane
Morocco,MA,Assa-Zag Province,assa-zag-province,Oulad Teima,oulad-teima
Morocco,MA,Assa-Zag Province,assa-zag-province,Reggada,reggada
Morocco,MA,Assa-Zag Province,assa-zag-province,Sidi Ifni,sidi-ifni
Morocco,MA,Assa-Zag Province,assa-zag-province,Tadrart,tadrart
Morocco,MA,Assa-Zag Province,assa-zag-province,Tafraout,tafraout
Morocco,MA,Assa-Zag Province,assa-zag-province,Taghazout,taghazout
Morocco,MA,Assa-Zag Province,assa-zag-province,Taliouine,taliouine
Morocco,MA,Assa-Zag Province,assa-zag-province,Tamri,tamri
Morocco,MA,Assa-Zag Province,assa-zag-province,Tanalt,tanalt
Morocco,MA,Assa-Zag Province,assa-zag-province,Taroudannt,taroudannt
Morocco,MA,Assa-Zag Province,assa-zag-province,Taroudant,taroudant
Morocco,MA,Assa-Zag Province,assa-zag-province,Tarsouat,tarsouat
Morocco,MA,Assa-Zag Province,assa-zag-province,Tata,tata
Morocco,MA,Assa-Zag Province,assa-zag-province,Tiznit,tiznit
Morocco,MA,Azilal Province,azilal-province,Azilal Province,azilal-province
Morocco,MA,Ben Slimane Province,ben-slimane-province,Ben Slimane Province,ben-slimane-province
Morocco,MA,Beni Mellal-Khenifra,beni-mellal-khenifra,Beni Mellal-Khenifra,beni-mellal-khenifra
Morocco,MA,Beni-Mellal Province,beni-mellal-province,Beni-Mellal Province,beni-mellal-province
Morocco,MA,Berkane Province,berkane-province,Berkane Province,berkane-province
Morocco,MA,Boujdour Province,boujdour-province,Boujdour Province,boujdour-province
Morocco,MA,Boulemane Province,boulemane-province,Boulemane Province,boulemane-province
Morocco,MA,Casablanca-Settat,casablanca-settat,Azemmour,azemmour
Morocco,MA,Casablanca-Settat,casablanca-settat,Benslimane,benslimane
Morocco,MA,Casablanca-Settat,casablanca-settat,Berrechid,berrechid
Morocco,MA,Casablanca-Settat,casablanca-settat,Berrechid Province,berrechid-province
Morocco,MA,Casablanca-Settat,casablanca-settat,Boulaouane,boulaouane
Morocco,MA,Casablanca-Settat,casablanca-settat,Bouskoura,bouskoura
Morocco,MA,Casablanca-Settat,casablanca-settat,Bouznika,bouznika
Morocco,MA,Casablanca-Settat,casablanca-settat,Casablanca,casablanca
Morocco,MA,Casablanca-Settat,casablanca-settat,El Jadid,el-jadid
Morocco,MA,Casablanca-Settat,casablanca-settat,El-Jadida,el-jadida
Morocco,MA,Casablanca-Settat,casablanca-settat,Mediouna,mediouna
