s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Mongolia,MN,Arkhangai Province,arkhangai-province,Tsetserleg,tsetserleg
Mongolia,MN,Bayan-Olgii Province,bayan-olgii-province,Altay,altay
Mongolia,MN,Bayan-Olgii Province,bayan-olgii-province,Olgii,olgii
Mongolia,MN,Bayan-Olgii Province,bayan-olgii-province,Tsengel,tsengel
Mongolia,MN,Bayankhongor Province,bayankhongor-province,Bayanhongor,bayanhongor
Mongolia,MN,Bulgan Province,bulgan-province,Bulgan,bulgan
Mongolia,MN,Darkhan-Uul Province,darkhan-uul-province,Darhan,darhan
Mongolia,MN,Dornod Province,dornod-province,Choibalsan,choibalsan
Mongolia,MN,Dornod Province,dornod-province,Ereencav,ereencav
Mongolia,MN,Dornogovi Province,dornogovi-province,Dornogovi Province,dornogovi-province
Mongolia,MN,Dundgovi Province,dundgovi-province,Mandalgovi,mandalgovi
Mongolia,MN,Govi-Altai Province,govi-altai-province,Altai,altai
Mongolia,MN,Govisumber Province,govisumber-province,Choyr,choyr
Mongolia,MN,Khentii Province,khentii-province,Undurkhaan,undurkhaan
Mongolia,MN,Khovd Province,khovd-province,Khovd,khovd
Mongolia,MN,Khovd Province,khovd-province,Most,most
Mongolia,MN,Khovd Province,khovd-province,Uyonch,uyonch
Mongolia,MN,Khovsgol Province,khovsgol-province,Hanh,hanh
Mongolia,MN,Khovsgol Province,khovsgol-province,Murun-kuren,murun-kuren
Mongolia,MN,Khovsgol Province,khovsgol-province,Tsengel,tsengel
Mongolia,MN,Khovsgol Province,khovsgol-province,Turt,turt
Mongolia,MN,Omnogovi Province,omnogovi-province,Dalandzadgad,dalandzadgad
Mongolia,MN,Omnogovi Province,omnogovi-province,Hanhongor,hanhongor
Mongolia,MN,Omnogovi Province,omnogovi-province,Nomgon Sum,nomgon-sum
Mongolia,MN,Orkhon Province,orkhon-province,Erdenet,erdenet
Mongolia,MN,Ovorkhangai Province,ovorkhangai-province,Arvayheer,arvayheer
Mongolia,MN,Ovorkhangai Province,ovorkhangai-province,Harhorin,harhorin
Mongolia,MN,Ovorkhangai Province,ovorkhangai-province,Hovd,hovd
Mongolia,MN,Ovorkhangai Province,ovorkhangai-province,Kharkhorin,kharkhorin
Mongolia,MN,Ovorkhangai Province,ovorkhangai-province,Nariynteel,nariynteel
Mongolia,MN,Selenge Province,selenge-province,Dzuunharaa,dzuunharaa
Mongolia,MN,Selenge Province,selenge-province,Suhbaatar,suhbaatar
Mongolia,MN,Sukhbaatar Province,sukhbaatar-province,Baruun-Urt,baruun-urt
Mongolia,MN,Tov Province,tov-province,Dzuunmod,dzuunmod
Mongolia,MN,Tov Province,tov-province,Mongonmorit,mongonmorit
Mongolia,MN,Tov Province,tov-province,Ulaanhudag,ulaanhudag
Mongolia,MN,Tov Province,tov-province,Zuunmod,zuunmod
Mongolia,MN,Uvs Province,uvs-province,Ulaangom,ulaangom
Mongolia,MN,Zavkhan Province,zavkhan-province,Uliastay,uliastay
