s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Maldives,MV,Addu Atoll,addu-atoll,Hithadhoo,hithadhoo
Maldives,MV,Addu Atoll,addu-atoll,Meedhoo,meedhoo
Maldives,MV,Alif Alif Atoll,alif-alif-atoll,Alif Alif Atoll,alif-alif-atoll
Maldives,MV,Alif Dhaal Atoll,alif-dhaal-atoll,Alif Dhaal Atoll,alif-dhaal-atoll
Maldives,MV,Central Province,central-province,Central Province,central-province
Maldives,MV,Dhaalu Atoll,dhaalu-atoll,Kudahuvadhoo,kudahuvadhoo
Maldives,MV,Faafu Atoll,faafu-atoll,Faafu Atoll,faafu-atoll
Maldives,MV,Gaafu Alif Atoll,gaafu-alif-atoll,Viligili,viligili
Maldives,MV,Gaafu Dhaalu Atoll,gaafu-dhaalu-atoll,Thinadhoo,thinadhoo
Maldives,MV,Gnaviyani Atoll,gnaviyani-atoll,Fuvahmulah,fuvahmulah
Maldives,MV,Haa Alif Atoll,haa-alif-atoll,Dhidhdhoo,dhidhdhoo
Maldives,MV,Haa Dhaalu Atoll,haa-dhaalu-atoll,Kulhudhuffushi,kulhudhuffushi
Maldives,MV,Kaafu Atoll,kaafu-atoll,Guraidhoo,guraidhoo
Maldives,MV,Kaafu Atoll,kaafu-atoll,Hulhumale,hulhumale
Maldives,MV,Kaafu Atoll,kaafu-atoll,Maafushi,maafushi
Maldives,MV,Kaafu Atoll,kaafu-atoll,Male,male
Maldives,MV,Laamu Atoll,laamu-atoll,Fonadhoo,fonadhoo
Maldives,MV,Lhaviyani Atoll,lhaviyani-atoll,Naifaru,naifaru
Maldives,MV,Male,male,Male,male
Maldives,MV,Meemu Atoll,meemu-atoll,Muli,muli
Maldives,MV,Noonu Atoll,noonu-atoll,Manadhoo,manadhoo
Maldives,MV,North Central Province,north-central-province,North Central Province,north-central-province
Maldives,MV,North Province,north-province,North Province,north-province
Maldives,MV,Raa Atoll,raa-atoll,Ugoofaaru,ugoofaaru
Maldives,MV,Shaviyani Atoll,shaviyani-atoll,Funadhoo,funadhoo
Maldives,MV,South Central Province,south-central-province,Mahibadhoo,mahibadhoo
Maldives,MV,South Province,south-province,South Province,south-province
Maldives,MV,Thaa Atoll,thaa-atoll,Veymandoo,veymandoo
Maldives,MV,Upper South Province,upper-south-province,Upper South Province,upper-south-province
Maldives,MV,Vaavu Atoll,vaavu-atoll,Felidhoo,felidhoo
