s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Mozambique,MZ,Cabo Delgado Province,cabo-delgado-province,Chiure,chiure
Mozambique,MZ,Cabo Delgado Province,cabo-delgado-province,Mocimboa,mocimboa
Mozambique,MZ,Cabo Delgado Province,cabo-delgado-province,Montepuez,montepuez
Mozambique,MZ,Cabo Delgado Province,cabo-delgado-province,Pemba,pemba
Mozambique,MZ,Gaza Province,gaza-province,Chibuto,chibuto
Mozambique,MZ,Gaza Province,gaza-province,Chokwe,chokwe
Mozambique,MZ,Gaza Province,gaza-province,Macia,macia
Mozambique,MZ,Gaza Province,gaza-province,Xai-Xai,xai-xai
Mozambique,MZ,Inhambane Province,inhambane-province,Inhambane,inhambane
Mozambique,MZ,Inhambane Province,inhambane-province,Maxixe,maxixe
Mozambique,MZ,Manica Province,manica-province,Chimoio,chimoio
Mozambique,MZ,Maputo,maputo,KaTembe,katembe
Mozambique,MZ,Maputo,maputo,Maputo,maputo
Mozambique,MZ,Maputo Province,maputo-province,Boane District,boane-district
Mozambique,MZ,Maputo Province,maputo-province,Concelho de Matola,concelho-de-matola
Mozambique,MZ,Maputo Province,maputo-province,Magude District,magude-district
Mozambique,MZ,Maputo Province,maputo-province,Manhica,manhica
Mozambique,MZ,Maputo Province,maputo-province,Marracuene District,marracuene-district
Mozambique,MZ,Maputo Province,maputo-province,Matola,matola
Mozambique,MZ,Maputo Province,maputo-province,Matutiune District,matutiune-district
Mozambique,MZ,Maputo Province,maputo-province,Moamba District,moamba-district
Mozambique,MZ,Maputo Province,maputo-province,Namaacha District,namaacha-district
Mozambique,MZ,Maputo Province,maputo-province,Ressano Garcia,ressano-garcia
Mozambique,MZ,Nampula Province,nampula-province,Antonio Enes,antonio-enes
Mozambique,MZ,Nampula Province,nampula-province,Ilha de Mocambique,ilha-de-mocambique
Mozambique,MZ,Nampula Province,nampula-province,Mutuali,mutuali
Mozambique,MZ,Nampula Province,nampula-province,Nacala,nacala
Mozambique,MZ,Nampula Province,nampula-province,Nampula,nampula
Mozambique,MZ,Niassa Province,niassa-province,Cuamba,cuamba
Mozambique,MZ,Niassa Province,niassa-province,Lichinga,lichinga
Mozambique,MZ,Niassa Province,niassa-province,Mandimba,mandimba
Mozambique,MZ,Sofala Province,sofala-province,Beira,beira
Mozambique,MZ,Sofala Province,sofala-province,Dondo,dondo
Mozambique,MZ,Sofala Province,sofala-province,Nhamatanda District,nhamatanda-district
Mozambique,MZ,Tete Province,tete-province,Tete,tete
Mozambique,MZ,Zambezia Province,zambezia-province,Alto Molocue,alto-molocue
Mozambique,MZ,Zambezia Province,zambezia-province,Chinde,chinde
Mozambique,MZ,Zambezia Province,zambezia-province,Quelimane,quelimane
