s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Netherlands The,NL,Bonaire,bonaire,Bonaire,bonaire
Netherlands The,NL,Drenthe,drenthe,Aalden,aalden
Netherlands The,NL,Drenthe,drenthe,Angelslo,angelslo
Netherlands The,NL,Drenthe,drenthe,Annen,annen
Netherlands The,NL,Drenthe,drenthe,Assen,assen
Netherlands The,NL,Drenthe,drenthe,Ballast,ballast
Netherlands The,NL,Drenthe,drenthe,Barger-Oosterveld,barger-oosterveld
Netherlands The,NL,Drenthe,drenthe,Bargeres,bargeres
Netherlands The,NL,Drenthe,drenthe,Beilen,beilen
Netherlands The,NL,Drenthe,drenthe,Borger,borger
Netherlands The,NL,Drenthe,drenthe,Coevorden,coevorden
Netherlands The,NL,Drenthe,drenthe,Dalen,dalen
Netherlands The,NL,Drenthe,drenthe,De Loo,de-loo
Netherlands The,NL,Drenthe,drenthe,De Wijk,de-wijk
Netherlands The,NL,Drenthe,drenthe,Diever,diever
Netherlands The,NL,Drenthe,drenthe,Dwingeloo,dwingeloo
Netherlands The,NL,Drenthe,drenthe,Eelde,eelde
Netherlands The,NL,Drenthe,drenthe,Eext,eext
Netherlands The,NL,Drenthe,drenthe,Emmen,emmen
Netherlands The,NL,Drenthe,drenthe,Emmer-Compascuum,emmer-compascuum
Netherlands The,NL,Drenthe,drenthe,Emmer-Erfscheidenveen,emmer-erfscheidenveen
Netherlands The,NL,Drenthe,drenthe,Emmerhout,emmerhout
Netherlands The,NL,Drenthe,drenthe,Emmermeer,emmermeer
Netherlands The,NL,Drenthe,drenthe,Emmerschans,emmerschans
Netherlands The,NL,Drenthe,drenthe,Exloo,exloo
Netherlands The,NL,Drenthe,drenthe,Gasselte,gasselte
Netherlands The,NL,Drenthe,drenthe,Gasselternijveen,gasselternijveen
Netherlands The,NL,Drenthe,drenthe,Gemeente Aa en Hunze,gemeente-aa-en-hunze
Netherlands The,NL,Drenthe,drenthe,Gemeente Assen,gemeente-assen
Netherlands The,NL,Drenthe,drenthe,Gemeente Borger-Odoorn,gemeente-borger-odoorn
Netherlands The,NL,Drenthe,drenthe,Gemeente Coevorden,gemeente-coevorden
Netherlands The,NL,Drenthe,drenthe,Gemeente De Wolden,gemeente-de-wolden
Netherlands The,NL,Drenthe,drenthe,Gemeente Emmen,gemeente-emmen
Netherlands The,NL,Drenthe,drenthe,Gemeente Hoogeveen,gemeente-hoogeveen
Netherlands The,NL,Drenthe,drenthe,Gemeente Meppel,gemeente-meppel
Netherlands The,NL,Drenthe,drenthe,Gemeente Midden-Drenthe,gemeente-midden-drenthe
Netherlands The,NL,Drenthe,drenthe,Gemeente Noordenveld,gemeente-noordenveld
Netherlands The,NL,Drenthe,drenthe,Gemeente Tynaarlo,gemeente-tynaarlo
Netherlands The,NL,Drenthe,drenthe,Gemeente Westerveld,gemeente-westerveld
Netherlands The,NL,Drenthe,drenthe,Gieten,gieten
Netherlands The,NL,Drenthe,drenthe,Havelte,havelte
Netherlands The,NL,Drenthe,drenthe,Hoogeveen,hoogeveen
Netherlands The,NL,Drenthe,drenthe,Klazienaveen,klazienaveen
Netherlands The,NL,Drenthe,drenthe,Koekange,koekange
Netherlands The,NL,Drenthe,drenthe,Krakeel,krakeel
Netherlands The,NL,Drenthe,drenthe,Marsdijk,marsdijk
Netherlands The,NL,Drenthe,drenthe,Meppel,meppel
Netherlands The,NL,Drenthe,drenthe,Nieuw-Buinen,nieuw-buinen
Netherlands The,NL,Drenthe,drenthe,Nieuw-Dordrecht,nieuw-dordrecht
Netherlands The,NL,Drenthe,drenthe,Nieuw-Roden,nieuw-roden
Netherlands The,NL,Drenthe,drenthe,Noordbarge,noordbarge
Netherlands The,NL,Drenthe,drenthe,Norg,norg
Netherlands The,NL,Drenthe,drenthe,Odoorn,odoorn
Netherlands The,NL,Drenthe,drenthe,Oosterhesselen,oosterhesselen
Netherlands The,NL,Drenthe,drenthe,Paterswolde,paterswolde
Netherlands The,NL,Drenthe,drenthe,Peelo,peelo
Netherlands The,NL,Drenthe,drenthe,Peize,peize
Netherlands The,NL,Drenthe,drenthe,Roden,roden
Netherlands The,NL,Drenthe,drenthe,Rolde,rolde
Netherlands The,NL,Drenthe,drenthe,Ruinen,ruinen
Netherlands The,NL,Drenthe,drenthe,Ruinerwold,ruinerwold
Netherlands The,NL,Drenthe,drenthe,Schoonebeek,schoonebeek
Netherlands The,NL,Drenthe,drenthe,Schoonoord,schoonoord
Netherlands The,NL,Drenthe,drenthe,Sleen,sleen
Netherlands The,NL,Drenthe,drenthe,Tweede Exloermond,tweede-exloermond
Netherlands The,NL,Drenthe,drenthe,Tynaarlo,tynaarlo
Netherlands The,NL,Drenthe,drenthe,Uffelte,uffelte
Netherlands The,NL,Drenthe,drenthe,Valthe,valthe
Netherlands The,NL,Drenthe,drenthe,Valthermond,valthermond
Netherlands The,NL,Drenthe,drenthe,Veenoord,veenoord
Netherlands The,NL,Drenthe,drenthe,Vledder,vledder
Netherlands The,NL,Drenthe,drenthe,Vries,vries
Netherlands The,NL,Drenthe,drenthe,Weiteveen,weiteveen
Netherlands The,NL,Drenthe,drenthe,Westerbork,westerbork
Netherlands The,NL,Drenthe,drenthe,Westlaren,westlaren
Netherlands The,NL,Drenthe,drenthe,Wolfsbos,wolfsbos
Netherlands The,NL,Drenthe,drenthe,Zuidlaren,zuidlaren
Netherlands The,NL,Flevoland,flevoland,Almere Stad,almere-stad
Netherlands The,NL,Flevoland,flevoland,Biddinghuizen,biddinghuizen
Netherlands The,NL,Flevoland,flevoland,Dronten,dronten
Netherlands The,NL,Flevoland,flevoland,Emmeloord,emmeloord
Netherlands The,NL,Flevoland,flevoland,Ens,ens
Netherlands The,NL,Flevoland,flevoland,Gemeente Almere,gemeente-almere
Netherlands The,NL,Flevoland,flevoland,Gemeente Dronten,gemeente-dronten
Netherlands The,NL,Flevoland,flevoland,Gemeente Lelystad,gemeente-lelystad
Netherlands The,NL,Flevoland,flevoland,Gemeente Noordoostpolder,gemeente-noordoostpolder
Netherlands The,NL,Flevoland,flevoland,Gemeente Urk,gemeente-urk
Netherlands The,NL,Flevoland,flevoland,Gemeente Zeewolde,gemeente-zeewolde
Netherlands The,NL,Flevoland,flevoland,Lelystad,lelystad
Netherlands The,NL,Flevoland,flevoland,Urk,urk
Netherlands The,NL,Flevoland,flevoland,Zeewolde,zeewolde
Netherlands The,NL,Friesland,friesland,Akkrum,akkrum
Netherlands The,NL,Friesland,friesland,Aldeboarn,aldeboarn
Netherlands The,NL,Friesland,friesland,Aldlan-Oost,aldlan-oost
Netherlands The,NL,Friesland,friesland,Appelscha,appelscha
Netherlands The,NL,Friesland,friesland,Augustinusga,augustinusga
Netherlands The,NL,Friesland,friesland,Bakhuizen,bakhuizen
Netherlands The,NL,Friesland,friesland,Bakkeveen,bakkeveen
Netherlands The,NL,Friesland,friesland,Balk,balk
Netherlands The,NL,Friesland,friesland,Beetsterzwaag,beetsterzwaag
Netherlands The,NL,Friesland,friesland,Berltsum,berltsum
Netherlands The,NL,Friesland,friesland,Bilgaard,bilgaard
Netherlands The,NL,Friesland,friesland,Bolsward,bolsward
Netherlands The,NL,Friesland,friesland,Boornbergum,boornbergum
Netherlands The,NL,Friesland,friesland,Broeksterwald,broeksterwald
Netherlands The,NL,Friesland,friesland,Buitenpost,buitenpost
Netherlands The,NL,Friesland,friesland,Burdaard,burdaard
Netherlands The,NL,Friesland,friesland,Burgum,burgum
Netherlands The,NL,Friesland,friesland,Camminghaburen,camminghaburen
Netherlands The,NL,Friesland,friesland,Damwald,damwald
Netherlands The,NL,Friesland,friesland,De Domp,de-domp
Netherlands The,NL,Friesland,friesland,De Drait,de-drait
Netherlands The,NL,Friesland,friesland,De Fryske Marren,de-fryske-marren
Netherlands The,NL,Friesland,friesland,De Greiden,de-greiden
Netherlands The,NL,Friesland,friesland,De Knipe,de-knipe
Netherlands The,NL,Friesland,friesland,De Westereen,de-westereen
Netherlands The,NL,Friesland,friesland,Dokkum,dokkum
Netherlands The,NL,Friesland,friesland,Donkerbroek,donkerbroek
Netherlands The,NL,Friesland,friesland,Drachten,drachten
Netherlands The,NL,Friesland,friesland,Drachtstercompagnie,drachtstercompagnie
Netherlands The,NL,Friesland,friesland,Drogeham,drogeham
Netherlands The,NL,Friesland,friesland,Dronryp,dronryp
Netherlands The,NL,Friesland,friesland,Eastermar,eastermar
Netherlands The,NL,Friesland,friesland,Echtenerbrug,echtenerbrug
Netherlands The,NL,Friesland,friesland,Feanwalden,feanwalden
Netherlands The,NL,Friesland,friesland,Ferwert,ferwert
Netherlands The,NL,Friesland,friesland,Franeker,franeker
Netherlands The,NL,Friesland,friesland,Garyp,garyp
Netherlands The,NL,Friesland,friesland,Gemeente Achtkarspelen,gemeente-achtkarspelen
Netherlands The,NL,Friesland,friesland,Gemeente Ameland,gemeente-ameland
Netherlands The,NL,Friesland,friesland,Gemeente Dantumadiel,gemeente-dantumadiel
Netherlands The,NL,Friesland,friesland,Gemeente Harlingen,gemeente-harlingen
Netherlands The,NL,Friesland,friesland,Gemeente Heerenveen,gemeente-heerenveen
Netherlands The,NL,Friesland,friesland,Gemeente Leeuwarden,gemeente-leeuwarden
Netherlands The,NL,Friesland,friesland,Gemeente Ooststellingwerf,gemeente-ooststellingwerf
Netherlands The,NL,Friesland,friesland,Gemeente Opsterland,gemeente-opsterland
Netherlands The,NL,Friesland,friesland,Gemeente Schiermonnikoog,gemeente-schiermonnikoog
Netherlands The,NL,Friesland,friesland,Gemeente Smallingerland,gemeente-smallingerland
Netherlands The,NL,Friesland,friesland,Gemeente Terschelling,gemeente-terschelling
Netherlands The,NL,Friesland,friesland,Gemeente Tytsjerksteradiel,gemeente-tytsjerksteradiel
Netherlands The,NL,Friesland,friesland,Gemeente Vlieland,gemeente-vlieland
Netherlands The,NL,Friesland,friesland,Gemeente Weststellingwerf,gemeente-weststellingwerf
Netherlands The,NL,Friesland,friesland,Gorredijk,gorredijk
Netherlands The,NL,Friesland,friesland,Goutum,goutum
Netherlands The,NL,Friesland,friesland,Grou,grou
Netherlands The,NL,Friesland,friesland,Gytsjerk,gytsjerk
Netherlands The,NL,Friesland,friesland,Hallum,hallum
Netherlands The,NL,Friesland,friesland,Harkema,harkema
