s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Oman,OM,Ad Dakhiliyah Governorate,ad-dakhiliyah-governorate,Adam,adam
Oman,OM,Ad Dakhiliyah Governorate,ad-dakhiliyah-governorate,Bahla,bahla
Oman,OM,Ad Dakhiliyah Governorate,ad-dakhiliyah-governorate,Bidbid,bidbid
Oman,OM,Ad Dakhiliyah Governorate,ad-dakhiliyah-governorate,Izki,izki
Oman,OM,Ad Dakhiliyah Governorate,ad-dakhiliyah-governorate,Nizwa,nizwa
Oman,OM,Ad Dakhiliyah Governorate,ad-dakhiliyah-governorate,Sufalat Samail,sufalat-samail
Oman,OM,Ad Dhahirah Governorate,ad-dhahirah-governorate,Ibri,ibri
Oman,OM,Ad Dhahirah Governorate,ad-dhahirah-governorate,Yanqul,yanqul
Oman,OM,Al Batinah North Governorate,al-batinah-north-governorate,Al Khaburah,al-khaburah
Oman,OM,Al Batinah North Governorate,al-batinah-north-governorate,As Suwayq,as-suwayq
Oman,OM,Al Batinah North Governorate,al-batinah-north-governorate,Liwa,liwa
Oman,OM,Al Batinah North Governorate,al-batinah-north-governorate,Saham,saham
Oman,OM,Al Batinah North Governorate,al-batinah-north-governorate,Shinas,shinas
Oman,OM,Al Batinah North Governorate,al-batinah-north-governorate,Sohar,sohar
Oman,OM,Al Batinah Region,al-batinah-region,Barka,barka
Oman,OM,Al Batinah Region,al-batinah-region,Bayt al Awabi,bayt-al-awabi
Oman,OM,Al Batinah Region,al-batinah-region,Oman Smart Future City,oman-smart-future-city
Oman,OM,Al Batinah Region,al-batinah-region,Rustaq,rustaq
Oman,OM,Al Batinah South Governorate,al-batinah-south-governorate,Al Batinah South Governorate,al-batinah-south-governorate
Oman,OM,Al Buraimi Governorate,al-buraimi-governorate,Al Buraymi,al-buraymi
Oman,OM,Al Wusta Governorate,al-wusta-governorate,Hayma,hayma
Oman,OM,Ash Sharqiyah North Governorate,ash-sharqiyah-north-governorate,Ash Sharqiyah North Governorate,ash-sharqiyah-north-governorate
Oman,OM,Ash Sharqiyah Region,ash-sharqiyah-region,Sur,sur
Oman,OM,Ash Sharqiyah South Governorate,ash-sharqiyah-south-governorate,Ash Sharqiyah South Governorate,ash-sharqiyah-south-governorate
Oman,OM,Dhofar Governorate,dhofar-governorate,Salalah,salalah
Oman,OM,Musandam Governorate,musandam-governorate,Dib Dibba,dib-dibba
Oman,OM,Musandam Governorate,musandam-governorate,Khasab,khasab
Oman,OM,Musandam Governorate,musandam-governorate,Madha al Jadidah,madha-al-jadidah
Oman,OM,Muscat Governorate,muscat-governorate,Bawshar,bawshar
Oman,OM,Muscat Governorate,muscat-governorate,Muscat,muscat
Oman,OM,Muscat Governorate,muscat-governorate,Seeb,seeb
