s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Peru,PE,Amazonas,amazonas,Bagua Grande,bagua-grande
Peru,PE,Amazonas,amazonas,Cajaruro,cajaruro
Peru,PE,Amazonas,amazonas,Chachapoyas,chachapoyas
Peru,PE,Amazonas,amazonas,Condorcanqui,condorcanqui
Peru,PE,Amazonas,amazonas,La Peca,la-peca
Peru,PE,Amazonas,amazonas,Provincia de Bagua,provincia-de-bagua
Peru,PE,Amazonas,amazonas,Provincia de Bongara,provincia-de-bongara
Peru,PE,Amazonas,amazonas,Provincia de Chachapoyas,provincia-de-chachapoyas
Peru,PE,Amazonas,amazonas,Provincia de Luya,provincia-de-luya
Peru,PE,Amazonas,amazonas,Provincia de Rodriguez de Mendoza,provincia-de-rodriguez-de-mendoza
Peru,PE,Amazonas,amazonas,Utcubamba,utcubamba
Peru,PE,Ancash,ancash,Asuncion,asuncion
Peru,PE,Ancash,ancash,Caras,caras
Peru,PE,Ancash,ancash,Carhuaz,carhuaz
Peru,PE,Ancash,ancash,Carlos Fermin Fitzcarrald,carlos-fermin-fitzcarrald
Peru,PE,Ancash,ancash,Chimbote,chimbote
Peru,PE,Ancash,ancash,Coishco,coishco
Peru,PE,Ancash,ancash,Huaraz,huaraz
Peru,PE,Ancash,ancash,Huarmey,huarmey
Peru,PE,Ancash,ancash,Pomabamba,pomabamba
Peru,PE,Ancash,ancash,Provincia de Aija,provincia-de-aija
Peru,PE,Ancash,ancash,Provincia de Antonio Raymondi,provincia-de-antonio-raymondi
Peru,PE,Ancash,ancash,Provincia de Bolognesi,provincia-de-bolognesi
Peru,PE,Ancash,ancash,Provincia de Carhuaz,provincia-de-carhuaz
Peru,PE,Ancash,ancash,Provincia de Casma,provincia-de-casma
Peru,PE,Ancash,ancash,Provincia de Corongo,provincia-de-corongo
Peru,PE,Ancash,ancash,Provincia de Huaraz,provincia-de-huaraz
Peru,PE,Ancash,ancash,Provincia de Huari,provincia-de-huari
Peru,PE,Ancash,ancash,Provincia de Huarmey,provincia-de-huarmey
Peru,PE,Ancash,ancash,Provincia de Huaylas,provincia-de-huaylas
Peru,PE,Ancash,ancash,Provincia de Mariscal Luzuriaga,provincia-de-mariscal-luzuriaga
Peru,PE,Ancash,ancash,Provincia de Pallasca,provincia-de-pallasca
Peru,PE,Ancash,ancash,Provincia de Pomabamba,provincia-de-pomabamba
Peru,PE,Ancash,ancash,Provincia de Recuay,provincia-de-recuay
Peru,PE,Ancash,ancash,Provincia de Santa,provincia-de-santa
Peru,PE,Ancash,ancash,Provincia de Sihuas,provincia-de-sihuas
Peru,PE,Ancash,ancash,Provincia de Yungay,provincia-de-yungay
Peru,PE,Ancash,ancash,Puerto Santa,puerto-santa
Peru,PE,Ancash,ancash,Yauya,yauya
Peru,PE,Ancash,ancash,Yungay,yungay
Peru,PE,Apurimac,apurimac,Abancay,abancay
Peru,PE,Apurimac,apurimac,Andahuaylas,andahuaylas
Peru,PE,Apurimac,apurimac,Provincia de Abancay,provincia-de-abancay
Peru,PE,Apurimac,apurimac,Provincia de Andahuaylas,provincia-de-andahuaylas
Peru,PE,Apurimac,apurimac,Provincia de Antabamba,provincia-de-antabamba
Peru,PE,Apurimac,apurimac,Provincia de Aymaraes,provincia-de-aymaraes
Peru,PE,Apurimac,apurimac,Provincia de Cotabambas,provincia-de-cotabambas
Peru,PE,Apurimac,apurimac,Provincia de Grau,provincia-de-grau
Peru,PE,Apurimac,apurimac,San Jeronimo,san-jeronimo
Peru,PE,Apurimac,apurimac,Talavera,talavera
Peru,PE,Arequipa,arequipa,Acari,acari
Peru,PE,Arequipa,arequipa,Arequipa,arequipa
Peru,PE,Arequipa,arequipa,Camana,camana
Peru,PE,Arequipa,arequipa,Ccolo,ccolo
Peru,PE,Arequipa,arequipa,Chivay,chivay
Peru,PE,Arequipa,arequipa,Cocachacra,cocachacra
Peru,PE,Arequipa,arequipa,Cotahuasi,cotahuasi
Peru,PE,Arequipa,arequipa,Huarancante,huarancante
Peru,PE,Arequipa,arequipa,Huarichancara,huarichancara
Peru,PE,Arequipa,arequipa,Jatun Orcochiri,jatun-orcochiri
Peru,PE,Arequipa,arequipa,Jayune,jayune
Peru,PE,Arequipa,arequipa,Llongasora,llongasora
Peru,PE,Arequipa,arequipa,Lluta,lluta
Peru,PE,Arequipa,arequipa,Mollendo,mollendo
Peru,PE,Arequipa,arequipa,Orcopampa,orcopampa
Peru,PE,Arequipa,arequipa,Provincia de Arequipa,provincia-de-arequipa
Peru,PE,Arequipa,arequipa,Provincia de Camana,provincia-de-camana
Peru,PE,Arequipa,arequipa,Provincia de Caraveli,provincia-de-caraveli
Peru,PE,Arequipa,arequipa,Provincia de Castilla,provincia-de-castilla
Peru,PE,Arequipa,arequipa,Provincia de Caylloma,provincia-de-caylloma
Peru,PE,Arequipa,arequipa,Provincia de Condesuyos,provincia-de-condesuyos
Peru,PE,Arequipa,arequipa,Provincia de Islay,provincia-de-islay
Peru,PE,Arequipa,arequipa,Provincia de La Union,provincia-de-la-union
Peru,PE,Arequipa,arequipa,Pucara,pucara
Peru,PE,Arequipa,arequipa,Punta de Bombon,punta-de-bombon
Peru,PE,Arequipa,arequipa,Vizcachane,vizcachane
Peru,PE,Arequipa,arequipa,Yura,yura
Peru,PE,Ayacucho,ayacucho,Ayacucho,ayacucho
Peru,PE,Ayacucho,ayacucho,Ayna,ayna
Peru,PE,Ayacucho,ayacucho,Coracora,coracora
Peru,PE,Ayacucho,ayacucho,Huanta,huanta
Peru,PE,Ayacucho,ayacucho,Paucar Del Sara Sara,paucar-del-sara-sara
Peru,PE,Ayacucho,ayacucho,Provincia de Cangallo,provincia-de-cangallo
Peru,PE,Ayacucho,ayacucho,Provincia de Huamanga,provincia-de-huamanga
Peru,PE,Ayacucho,ayacucho,Provincia de Huanca Sancos,provincia-de-huanca-sancos
Peru,PE,Ayacucho,ayacucho,Provincia de Huanta,provincia-de-huanta
Peru,PE,Ayacucho,ayacucho,Provincia de La Mar,provincia-de-la-mar
Peru,PE,Ayacucho,ayacucho,Provincia de Lucanas,provincia-de-lucanas
Peru,PE,Ayacucho,ayacucho,Provincia de Parinacochas,provincia-de-parinacochas
Peru,PE,Ayacucho,ayacucho,Provincia de Sucre,provincia-de-sucre
Peru,PE,Ayacucho,ayacucho,Provincia de Victor Fajardo,provincia-de-victor-fajardo
Peru,PE,Ayacucho,ayacucho,Provincia de Vilcas Huaman,provincia-de-vilcas-huaman
Peru,PE,Ayacucho,ayacucho,Puquio,puquio
Peru,PE,Ayacucho,ayacucho,San Miguel,san-miguel
Peru,PE,Ayacucho,ayacucho,Tambo,tambo
Peru,PE,Cajamarca,cajamarca,Bambamarca,bambamarca
Peru,PE,Cajamarca,cajamarca,Bellavista,bellavista
Peru,PE,Cajamarca,cajamarca,Cajabamba,cajabamba
Peru,PE,Cajamarca,cajamarca,Cajamarca,cajamarca
Peru,PE,Cajamarca,cajamarca,Celendin,celendin
Peru,PE,Cajamarca,cajamarca,Chota,chota
Peru,PE,Cajamarca,cajamarca,Jaen,jaen
Peru,PE,Cajamarca,cajamarca,Provincia de Cajabamba,provincia-de-cajabamba
Peru,PE,Cajamarca,cajamarca,Provincia de Cajamarca,provincia-de-cajamarca
Peru,PE,Cajamarca,cajamarca,Provincia de Celendin,provincia-de-celendin
Peru,PE,Cajamarca,cajamarca,Provincia de Chota,provincia-de-chota
Peru,PE,Cajamarca,cajamarca,Provincia de Contumaza,provincia-de-contumaza
Peru,PE,Cajamarca,cajamarca,Provincia de Cutervo,provincia-de-cutervo
Peru,PE,Cajamarca,cajamarca,Provincia de Hualgayoc,provincia-de-hualgayoc
Peru,PE,Cajamarca,cajamarca,Provincia de Jaen,provincia-de-jaen
Peru,PE,Cajamarca,cajamarca,Provincia de San Ignacio,provincia-de-san-ignacio
Peru,PE,Cajamarca,cajamarca,Provincia de San Miguel,provincia-de-san-miguel
Peru,PE,Cajamarca,cajamarca,Provincia de Santa Cruz,provincia-de-santa-cruz
Peru,PE,Cajamarca,cajamarca,San Ignacio,san-ignacio
Peru,PE,Callao,callao,Callao,callao
Peru,PE,Cusco,cusco,Anta,anta
Peru,PE,Cusco,cusco,Cahuanuyo,cahuanuyo
Peru,PE,Cusco,cusco,Calca,calca
Peru,PE,Cusco,cusco,Callanca,callanca
Peru,PE,Cusco,cusco,Ccaquiracunca,ccaquiracunca
Peru,PE,Cusco,cusco,Ccuntuma,ccuntuma
Peru,PE,Cusco,cusco,Checacupe,checacupe
Peru,PE,Cusco,cusco,Checca,checca
Peru,PE,Cusco,cusco,Chignayhua,chignayhua
Peru,PE,Cusco,cusco,Chinchero,chinchero
Peru,PE,Cusco,cusco,Combapata,combapata
Peru,PE,Cusco,cusco,Conchopata,conchopata
Peru,PE,Cusco,cusco,Cullcuyre,cullcuyre
Peru,PE,Cusco,cusco,Cusco,cusco
Peru,PE,Cusco,cusco,Huayna Alcalde,huayna-alcalde
Peru,PE,Cusco,cusco,Jayobamba,jayobamba
Peru,PE,Cusco,cusco,Langui,langui
Peru,PE,Cusco,cusco,Layo,layo
Peru,PE,Cusco,cusco,Lima Pampa,lima-pampa
Peru,PE,Cusco,cusco,Marangani,marangani
Peru,PE,Cusco,cusco,Maras,maras
Peru,PE,Cusco,cusco,Mosoc Cancha,mosoc-cancha
Peru,PE,Cusco,cusco,Mosoc Llacta,mosoc-llacta
Peru,PE,Cusco,cusco,Ollantaytambo,ollantaytambo
Peru,PE,Cusco,cusco,Oropesa,oropesa
Peru,PE,Cusco,cusco,Pampamarca,pampamarca
Peru,PE,Cusco,cusco,Pangoa,pangoa
Peru,PE,Cusco,cusco,Paucartambo,paucartambo
Peru,PE,Cusco,cusco,Pisac,pisac
Peru,PE,Cusco,cusco,Provincia de Acomayo,provincia-de-acomayo
Peru,PE,Cusco,cusco,Provincia de Anta,provincia-de-anta
Peru,PE,Cusco,cusco,Provincia de Calca,provincia-de-calca
Peru,PE,Cusco,cusco,Provincia de Canas,provincia-de-canas
Peru,PE,Cusco,cusco,Provincia de Canchis,provincia-de-canchis
Peru,PE,Cusco,cusco,Provincia de Chumbivilcas,provincia-de-chumbivilcas
Peru,PE,Cusco,cusco,Provincia de Cusco,provincia-de-cusco
Peru,PE,Cusco,cusco,Provincia de Espinar,provincia-de-espinar
Peru,PE,Cusco,cusco,Provincia de La Convencion,provincia-de-la-convencion
Peru,PE,Cusco,cusco,Provincia de Paruro,provincia-de-paruro
Peru,PE,Cusco,cusco,Provincia de Paucartambo,provincia-de-paucartambo
Peru,PE,Cusco,cusco,Provincia de Quispicanchis,provincia-de-quispicanchis
Peru,PE,Cusco,cusco,Provincia de Urubamba,provincia-de-urubamba
Peru,PE,Cusco,cusco,Qquea,qquea
Peru,PE,Cusco,cusco,Queromarca,queromarca
Peru,PE,Cusco,cusco,San Pablo,san-pablo
Peru,PE,Cusco,cusco,Santa Ana,santa-ana
