s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Philippines,PH,Abra,abra,Abra,abra
Philippines,PH,Agusan del Norte,agusan-del-norte,Agusan del Norte,agusan-del-norte
Philippines,PH,Agusan del Sur,agusan-del-sur,Agusan del Sur,agusan-del-sur
Philippines,PH,Aklan,aklan,Aklan,aklan
Philippines,PH,Albay,albay,Aanislag,aanislag
Philippines,PH,Albay,albay,Abucay,abucay
Philippines,PH,Albay,albay,Abuyog,abuyog
Philippines,PH,Albay,albay,Agos,agos
Philippines,PH,Albay,albay,Aguada,aguada
Philippines,PH,Albay,albay,Agupit,agupit
Philippines,PH,Albay,albay,Alayao,alayao
Philippines,PH,Albay,albay,Antipolo,antipolo
Philippines,PH,Albay,albay,Anuling,anuling
Philippines,PH,Albay,albay,Apad,apad
Philippines,PH,Albay,albay,Apud,apud
Philippines,PH,Albay,albay,Armenia,armenia
Philippines,PH,Albay,albay,Aroroy,aroroy
Philippines,PH,Albay,albay,Ayugan,ayugan
Philippines,PH,Albay,albay,Baao,baao
Philippines,PH,Albay,albay,Bacacay,bacacay
Philippines,PH,Albay,albay,Bacolod,bacolod
Philippines,PH,Albay,albay,Bacon,bacon
Philippines,PH,Albay,albay,Badian,badian
Philippines,PH,Albay,albay,Bagacay,bagacay
Philippines,PH,Albay,albay,Bagahanlad,bagahanlad
Philippines,PH,Albay,albay,Bagamanoc,bagamanoc
Philippines,PH,Albay,albay,Bagumbayan,bagumbayan
Philippines,PH,Albay,albay,Bahay,bahay
Philippines,PH,Albay,albay,Balading,balading
Philippines,PH,Albay,albay,Balaogan,balaogan
Philippines,PH,Albay,albay,Balatan,balatan
Philippines,PH,Albay,albay,Baleno,baleno
Philippines,PH,Albay,albay,Balete,balete
Philippines,PH,Albay,albay,Baligang,baligang
Philippines,PH,Albay,albay,Balinad,balinad
Philippines,PH,Albay,albay,Baliuag Nuevo,baliuag-nuevo
Philippines,PH,Albay,albay,Balogo,balogo
Philippines,PH,Albay,albay,Balucawi,balucawi
Philippines,PH,Albay,albay,Balud,balud
Philippines,PH,Albay,albay,Banag,banag
Philippines,PH,Albay,albay,Bangad,bangad
Philippines,PH,Albay,albay,Bangkirohan,bangkirohan
Philippines,PH,Albay,albay,Banocboc,banocboc
Philippines,PH,Albay,albay,Bao,bao
Philippines,PH,Albay,albay,Baras,baras
Philippines,PH,Albay,albay,Barayong,barayong
Philippines,PH,Albay,albay,Barcelona,barcelona
Philippines,PH,Albay,albay,Bariw,bariw
Philippines,PH,Albay,albay,Barra,barra
Philippines,PH,Albay,albay,Bascaron,bascaron
Philippines,PH,Albay,albay,Basiad,basiad
Philippines,PH,Albay,albay,Basicao Coastal,basicao-coastal
Philippines,PH,Albay,albay,Basud,basud
Philippines,PH,Albay,albay,Batana,batana
Philippines,PH,Albay,albay,Bato,bato
Philippines,PH,Albay,albay,Batobalane,batobalane
Philippines,PH,Albay,albay,Batuan,batuan
Philippines,PH,Albay,albay,Baybay,baybay
Philippines,PH,Albay,albay,Beberon,beberon
Philippines,PH,Albay,albay,Bigaa,bigaa
Philippines,PH,Albay,albay,Binanwanaan,binanwanaan
Philippines,PH,Albay,albay,Binitayan,binitayan
Philippines,PH,Albay,albay,Binodegahan,binodegahan
Philippines,PH,Albay,albay,Bolo,bolo
Philippines,PH,Albay,albay,Bombon,bombon
Philippines,PH,Albay,albay,Bonga,bonga
Philippines,PH,Albay,albay,Boton,boton
Philippines,PH,Albay,albay,Buang,buang
Philippines,PH,Albay,albay,Buenavista,buenavista
Philippines,PH,Albay,albay,Buga,buga
Philippines,PH,Albay,albay,Buhatan,buhatan
Philippines,PH,Albay,albay,Buhi,buhi
Philippines,PH,Albay,albay,Bula,bula
Philippines,PH,Albay,albay,Bulan,bulan
Philippines,PH,Albay,albay,Bulo,bulo
Philippines,PH,Albay,albay,Buluang,buluang
Philippines,PH,Albay,albay,Bulusan,bulusan
Philippines,PH,Albay,albay,Burabod,burabod
Philippines,PH,Albay,albay,Buracan,buracan
Philippines,PH,Albay,albay,Busing,busing
Philippines,PH,Albay,albay,Butag,butag
Philippines,PH,Albay,albay,Buyo,buyo
Philippines,PH,Albay,albay,Cabcab,cabcab
Philippines,PH,Albay,albay,Cabiguan,cabiguan
Philippines,PH,Albay,albay,Cabitan,cabitan
Philippines,PH,Albay,albay,Cabognon,cabognon
Philippines,PH,Albay,albay,Cabugao,cabugao
Philippines,PH,Albay,albay,Cabusao,cabusao
Philippines,PH,Albay,albay,Caditaan,caditaan
Philippines,PH,Albay,albay,Cadlan,cadlan
Philippines,PH,Albay,albay,Cagmanaba,cagmanaba
Philippines,PH,Albay,albay,Calabaca,calabaca
Philippines,PH,Albay,albay,Calabanga,calabanga
Philippines,PH,Albay,albay,Calachuchi,calachuchi
Philippines,PH,Albay,albay,Calasgasan,calasgasan
Philippines,PH,Albay,albay,Calatagan,calatagan
Philippines,PH,Albay,albay,Calolbon,calolbon
Philippines,PH,Albay,albay,Camalig,camalig
Philippines,PH,Albay,albay,Camaligan,camaligan
Philippines,PH,Albay,albay,Canaman,canaman
Philippines,PH,Albay,albay,Canomoy,canomoy
Philippines,PH,Albay,albay,Capalonga,capalonga
Philippines,PH,Albay,albay,Capucnasan,capucnasan
