s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Babiak,babiak
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Baranow,baranow
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Baranowo,baranowo
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Biaosliwie,biaosliwie
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Blizanow,blizanow
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Bojanowo,bojanowo
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Bojanowo Stare,bojanowo-stare
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Borek Wielkopolski,borek-wielkopolski
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Bralin,bralin
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Brdow,brdow
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Brenno,brenno
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Brodnica,brodnica
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Broniszewice,broniszewice
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Brudzew,brudzew
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Budzyn,budzyn
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Buk,buk
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Chocz,chocz
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Chodow,chodow
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Chodziez,chodziez
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Chrzypsko Wielkie,chrzypsko-wielkie
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Czajkow,czajkow
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Czapury,czapury
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Czarnkow,czarnkow
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Czempin,czempin
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Czermin,czermin
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Czerniejewo,czerniejewo
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Czerwonak,czerwonak
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Dabie,dabie
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Damasawek,damasawek
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Daszewice,daszewice
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Dobra,dobra
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Dobrzyca,dobrzyca
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Dolsk,dolsk
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Dominowo,dominowo
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Dopiewo,dopiewo
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Doruchow,doruchow
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Drawsko,drawsko
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Duszniki,duszniki
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Gizaki,gizaki
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Gniezno,gniezno
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Golina,golina
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Goancz,goancz
Poland,PL,Greater Poland Voivodeship,greater-poland-voivodeship,Gouchow,gouchow
