s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Portugal,PT,Aveiro District,aveiro-district,Aguada de Cima,aguada-de-cima
Portugal,PT,Aveiro District,aveiro-district,Agueda,agueda
Portugal,PT,Aveiro District,aveiro-district,Albergaria-a-Velha,albergaria-a-velha
Portugal,PT,Aveiro District,aveiro-district,Anadia,anadia
Portugal,PT,Aveiro District,aveiro-district,Aradas,aradas
Portugal,PT,Aveiro District,aveiro-district,Arcos,arcos
Portugal,PT,Aveiro District,aveiro-district,Argoncilhe,argoncilhe
Portugal,PT,Aveiro District,aveiro-district,Arouca,arouca
Portugal,PT,Aveiro District,aveiro-district,Arrifana,arrifana
Portugal,PT,Aveiro District,aveiro-district,Avanca,avanca
Portugal,PT,Aveiro District,aveiro-district,Aveiro,aveiro
Portugal,PT,Aveiro District,aveiro-district,Beduido,beduido
Portugal,PT,Aveiro District,aveiro-district,Branca,branca
Portugal,PT,Aveiro District,aveiro-district,Castelo de Paiva,castelo-de-paiva
Portugal,PT,Aveiro District,aveiro-district,Cortegaca,cortegaca
Portugal,PT,Aveiro District,aveiro-district,Cucujaes,cucujaes
Portugal,PT,Aveiro District,aveiro-district,Eixo,eixo
Portugal,PT,Aveiro District,aveiro-district,Esgueira,esgueira
Portugal,PT,Aveiro District,aveiro-district,Esmoriz,esmoriz
Portugal,PT,Aveiro District,aveiro-district,Espargo,espargo
Portugal,PT,Aveiro District,aveiro-district,Espinho,espinho
Portugal,PT,Aveiro District,aveiro-district,Estarreja,estarreja
Portugal,PT,Aveiro District,aveiro-district,Feira,feira
Portugal,PT,Aveiro District,aveiro-district,Fiaes,fiaes
Portugal,PT,Aveiro District,aveiro-district,Gafanha da Encarnacao,gafanha-da-encarnacao
Portugal,PT,Aveiro District,aveiro-district,Gafanha da Nazare,gafanha-da-nazare
Portugal,PT,Aveiro District,aveiro-district,Ilhavo,ilhavo
Portugal,PT,Aveiro District,aveiro-district,Lamas,lamas
Portugal,PT,Aveiro District,aveiro-district,Lobao,lobao
Portugal,PT,Aveiro District,aveiro-district,Lourosa,lourosa
Portugal,PT,Aveiro District,aveiro-district,Luso,luso
Portugal,PT,Aveiro District,aveiro-district,Macieira de Cambra,macieira-de-cambra
Portugal,PT,Aveiro District,aveiro-district,Mealhada,mealhada
Portugal,PT,Aveiro District,aveiro-district,Milheiros de Poiares,milheiros-de-poiares
Portugal,PT,Aveiro District,aveiro-district,Mosteiro,mosteiro
Portugal,PT,Aveiro District,aveiro-district,Murtosa,murtosa
Portugal,PT,Aveiro District,aveiro-district,Nogueira da Regedoura,nogueira-da-regedoura
Portugal,PT,Aveiro District,aveiro-district,Oia,oia
Portugal,PT,Aveiro District,aveiro-district,Oliveira de Azemeis,oliveira-de-azemeis
Portugal,PT,Aveiro District,aveiro-district,Oliveira de Azemeis,oliveira-de-azemeis
