s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Russia,RU,Altai Krai,altai-krai,Aleysk,aleysk
Russia,RU,Altai Krai,altai-krai,Aleyskiy Rayon,aleyskiy-rayon
Russia,RU,Altai Krai,altai-krai,Altayskoye,altayskoye
Russia,RU,Altai Krai,altai-krai,Antonyevka,antonyevka
Russia,RU,Altai Krai,altai-krai,Aya,aya
Russia,RU,Altai Krai,altai-krai,Barnaul,barnaul
Russia,RU,Altai Krai,altai-krai,Barnaul Urban Okrug,barnaul-urban-okrug
Russia,RU,Altai Krai,altai-krai,Bastan,bastan
Russia,RU,Altai Krai,altai-krai,Bayevo,bayevo
Russia,RU,Altai Krai,altai-krai,Bayunovskiye Klyuchi,bayunovskiye-klyuchi
Russia,RU,Altai Krai,altai-krai,Belokurikha,belokurikha
Russia,RU,Altai Krai,altai-krai,Beloyarsk,beloyarsk
Russia,RU,Altai Krai,altai-krai,Berezovka,berezovka
Russia,RU,Altai Krai,altai-krai,Biysk,biysk
Russia,RU,Altai Krai,altai-krai,Blagoveshchenka,blagoveshchenka
Russia,RU,Altai Krai,altai-krai,Bobrovka,bobrovka
Russia,RU,Altai Krai,altai-krai,Borovikha,borovikha
Russia,RU,Altai Krai,altai-krai,Burla,burla
Russia,RU,Altai Krai,altai-krai,Bystryanka,bystryanka
Russia,RU,Altai Krai,altai-krai,Bystryy Istok,bystryy-istok
Russia,RU,Altai Krai,altai-krai,Charyshskoye,charyshskoye
Russia,RU,Altai Krai,altai-krai,Cheremnoye,cheremnoye
Russia,RU,Altai Krai,altai-krai,Galbshtadt,galbshtadt
Russia,RU,Altai Krai,altai-krai,Gonba,gonba
Russia,RU,Altai Krai,altai-krai,Gornyak,gornyak
Russia,RU,Altai Krai,altai-krai,Grishkovka,grishkovka
Russia,RU,Altai Krai,altai-krai,Inya,inya
Russia,RU,Altai Krai,altai-krai,Kalmanka,kalmanka
Russia,RU,Altai Krai,altai-krai,Kalmanskiy Rayon,kalmanskiy-rayon
Russia,RU,Altai Krai,altai-krai,Kamen-na-Obi,kamen-na-obi
Russia,RU,Altai Krai,altai-krai,Khabarskiy Rayon,khabarskiy-rayon
Russia,RU,Altai Krai,altai-krai,Khabary,khabary
Russia,RU,Altai Krai,altai-krai,Klyuchi,klyuchi
