s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Banska Bystrica,banska-bystrica
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Banska Stiavnica,banska-stiavnica
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Brezno,brezno
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Cierny Balog,cierny-balog
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Detva,detva
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Dudince,dudince
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Filakovo,filakovo
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Hrinova,hrinova
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,"Hrochot,Slovakia",hrochotslovakia
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Kovacova,kovacova
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Kremnica,kremnica
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Krupina,krupina
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Lucenec,lucenec
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Nova Bana,nova-bana
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Banska Bystrica,okres-banska-bystrica
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Banska Stiavnica,okres-banska-stiavnica
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Brezno,okres-brezno
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Detva,okres-detva
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Krupina,okres-krupina
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Lucenec,okres-lucenec
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Poltar,okres-poltar
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Revuca,okres-revuca
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Velky Krtis,okres-velky-krtis
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Zarnovica,okres-zarnovica
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Ziar nad Hronom,okres-ziar-nad-hronom
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Okres Zvolen,okres-zvolen
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Poltar,poltar
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Revuca,revuca
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Rimavska Sobota,rimavska-sobota
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Svaty Anton,svaty-anton
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Tisovec,tisovec
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Velky Krtis,velky-krtis
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Zarnovica,zarnovica
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Ziar nad Hronom,ziar-nad-hronom
Slovakia,SK,Banska Bystrica Region,banska-bystrica-region,Zvolen,zvolen
Slovakia,SK,Bratislava Region,bratislava-region,Bratislava,bratislava
Slovakia,SK,Bratislava Region,bratislava-region,Bratislava - Vajnory,bratislava-vajnory
Slovakia,SK,Bratislava Region,bratislava-region,Dunajska Luzna,dunajska-luzna
Slovakia,SK,Bratislava Region,bratislava-region,Ivanka pri Dunaji,ivanka-pri-dunaji
Slovakia,SK,Bratislava Region,bratislava-region,Malacky,malacky
Slovakia,SK,Bratislava Region,bratislava-region,Marianka,marianka
Slovakia,SK,Bratislava Region,bratislava-region,Modra,modra
Slovakia,SK,Bratislava Region,bratislava-region,Okres Bratislava I,okres-bratislava-i
Slovakia,SK,Bratislava Region,bratislava-region,Okres Bratislava II,okres-bratislava-ii
Slovakia,SK,Bratislava Region,bratislava-region,Okres Bratislava III,okres-bratislava-iii
Slovakia,SK,Bratislava Region,bratislava-region,Okres Bratislava IV,okres-bratislava-iv
Slovakia,SK,Bratislava Region,bratislava-region,Okres Bratislava V,okres-bratislava-v
Slovakia,SK,Bratislava Region,bratislava-region,Okres Malacky,okres-malacky
Slovakia,SK,Bratislava Region,bratislava-region,Okres Pezinok,okres-pezinok
Slovakia,SK,Bratislava Region,bratislava-region,Okres Senec,okres-senec
Slovakia,SK,Bratislava Region,bratislava-region,Pezinok,pezinok
Slovakia,SK,Bratislava Region,bratislava-region,Senec,senec
Slovakia,SK,Bratislava Region,bratislava-region,Stupava,stupava
