s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Suriname,SR,Brokopondo District,brokopondo-district,Brokopondo,brokopondo
Suriname,SR,Brokopondo District,brokopondo-district,Brownsweg,brownsweg
Suriname,SR,Commewijne District,commewijne-district,Marienburg,marienburg
Suriname,SR,Commewijne District,commewijne-district,Nieuw Amsterdam,nieuw-amsterdam
Suriname,SR,Coronie District,coronie-district,Totness,totness
Suriname,SR,Marowijne District,marowijne-district,Albina,albina
Suriname,SR,Marowijne District,marowijne-district,Moengo,moengo
Suriname,SR,Nickerie District,nickerie-district,Nieuw Nickerie,nieuw-nickerie
Suriname,SR,Nickerie District,nickerie-district,Wageningen,wageningen
Suriname,SR,Para District,para-district,Onverwacht,onverwacht
Suriname,SR,Paramaribo District,paramaribo-district,Paramaribo,paramaribo
Suriname,SR,Saramacca District,saramacca-district,Groningen,groningen
Suriname,SR,Sipaliwini District,sipaliwini-district,Sipaliwini District,sipaliwini-district
Suriname,SR,Wanica District,wanica-district,Lelydorp,lelydorp
