s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Syria,SY,Al-Hasakah Governorate,al-hasakah-governorate,Ad Darbasiyah,ad-darbasiyah
Syria,SY,Al-Hasakah Governorate,al-hasakah-governorate,Al Hasakah,al-hasakah
Syria,SY,Al-Hasakah Governorate,al-hasakah-governorate,Al Malikiyah,al-malikiyah
Syria,SY,Al-Hasakah Governorate,al-hasakah-governorate,Al Qamishli,al-qamishli
Syria,SY,Al-Hasakah Governorate,al-hasakah-governorate,Al-Malikiyah District,al-malikiyah-district
Syria,SY,Al-Hasakah Governorate,al-hasakah-governorate,Amude,amude
Syria,SY,Al-Raqqah Governorate,al-raqqah-governorate,Al-Thawrah District,al-thawrah-district
Syria,SY,Al-Raqqah Governorate,al-raqqah-governorate,Ar Raqqah,ar-raqqah
Syria,SY,Al-Raqqah Governorate,al-raqqah-governorate,Ar-Raqqah District,ar-raqqah-district
Syria,SY,Al-Raqqah Governorate,al-raqqah-governorate,Ath Thawrah,ath-thawrah
Syria,SY,Al-Raqqah Governorate,al-raqqah-governorate,Tall Abyad,tall-abyad
Syria,SY,Al-Raqqah Governorate,al-raqqah-governorate,Tell Abyad District,tell-abyad-district
Syria,SY,Aleppo Governorate,aleppo-governorate,Afrin,afrin
Syria,SY,Aleppo Governorate,aleppo-governorate,Ayn al Arab,ayn-al-arab
Syria,SY,Aleppo Governorate,aleppo-governorate,Afrin District,afrin-district
Syria,SY,Aleppo Governorate,aleppo-governorate,Al Atarib,al-atarib
Syria,SY,Aleppo Governorate,aleppo-governorate,Al Bab,al-bab
Syria,SY,Aleppo Governorate,aleppo-governorate,Al-Bab District,al-bab-district
Syria,SY,Aleppo Governorate,aleppo-governorate,Aleppo,aleppo
Syria,SY,Aleppo Governorate,aleppo-governorate,As Safirah,as-safirah
Syria,SY,Aleppo Governorate,aleppo-governorate,Azaz District,azaz-district
Syria,SY,Aleppo Governorate,aleppo-governorate,Dayr Hafir,dayr-hafir
Syria,SY,Aleppo Governorate,aleppo-governorate,Izaz,izaz
Syria,SY,Aleppo Governorate,aleppo-governorate,Jarabulus,jarabulus
Syria,SY,Aleppo Governorate,aleppo-governorate,Kafr Saghir,kafr-saghir
Syria,SY,Aleppo Governorate,aleppo-governorate,Khanasir,khanasir
Syria,SY,Aleppo Governorate,aleppo-governorate,Manbij,manbij
Syria,SY,Aleppo Governorate,aleppo-governorate,Manbij District,manbij-district
Syria,SY,Aleppo Governorate,aleppo-governorate,Mount Simeon District,mount-simeon-district
Syria,SY,Aleppo Governorate,aleppo-governorate,Nubl,nubl
Syria,SY,Aleppo Governorate,aleppo-governorate,Suran,suran
Syria,SY,Aleppo Governorate,aleppo-governorate,Tadif,tadif
Syria,SY,Aleppo Governorate,aleppo-governorate,Tall Rifat,tall-rifat
Syria,SY,As-Suwayda Governorate,as-suwayda-governorate,As-Suwayda,as-suwayda
Syria,SY,As-Suwayda Governorate,as-suwayda-governorate,As-Suwayda District,as-suwayda-district
Syria,SY,As-Suwayda Governorate,as-suwayda-governorate,Salakhid,salakhid
Syria,SY,As-Suwayda Governorate,as-suwayda-governorate,Salkhad,salkhad
Syria,SY,As-Suwayda Governorate,as-suwayda-governorate,Salkhad District,salkhad-district
Syria,SY,As-Suwayda Governorate,as-suwayda-governorate,Shahba,shahba
Syria,SY,As-Suwayda Governorate,as-suwayda-governorate,Shahba District,shahba-district
Syria,SY,Damascus Governorate,damascus-governorate,Damascus,damascus
Syria,SY,Daraa Governorate,daraa-governorate,Al Harak,al-harak
Syria,SY,Daraa Governorate,daraa-governorate,Al Muzayrib,al-muzayrib
Syria,SY,Daraa Governorate,daraa-governorate,Al-Sanamayn District,al-sanamayn-district
Syria,SY,Daraa Governorate,daraa-governorate,As Sanamayn,as-sanamayn
Syria,SY,Daraa Governorate,daraa-governorate,Ash Shaykh Miskin,ash-shaykh-miskin
Syria,SY,Daraa Governorate,daraa-governorate,Busra ash Sham,busra-ash-sham
Syria,SY,Daraa Governorate,daraa-governorate,Dara,dara
Syria,SY,Daraa Governorate,daraa-governorate,Ghabaghib,ghabaghib
Syria,SY,Daraa Governorate,daraa-governorate,Inkhil,inkhil
Syria,SY,Daraa Governorate,daraa-governorate,Izra District,izra-district
Syria,SY,Daraa Governorate,daraa-governorate,Izra,izra
Syria,SY,Daraa Governorate,daraa-governorate,Jasim,jasim
Syria,SY,Daraa Governorate,daraa-governorate,Nawa,nawa
Syria,SY,Daraa Governorate,daraa-governorate,Tafas,tafas
Syria,SY,Daraa Governorate,daraa-governorate,Tasil,tasil
Syria,SY,Deir ez-Zor Governorate,deir-ez-zor-governorate,Al Mayadin,al-mayadin
Syria,SY,Deir ez-Zor Governorate,deir-ez-zor-governorate,Albu Kamal,albu-kamal
Syria,SY,Deir ez-Zor Governorate,deir-ez-zor-governorate,Deir ez-Zor,deir-ez-zor
Syria,SY,Deir ez-Zor Governorate,deir-ez-zor-governorate,Hajin,hajin
Syria,SY,Deir ez-Zor Governorate,deir-ez-zor-governorate,Subaykhan,subaykhan
Syria,SY,Hama Governorate,hama-governorate,Al-Salamiyah District,al-salamiyah-district
Syria,SY,Hama Governorate,hama-governorate,As Salamiyah,as-salamiyah
Syria,SY,Hama Governorate,hama-governorate,As Suqaylibiyah,as-suqaylibiyah
Syria,SY,Hama Governorate,hama-governorate,Halfaya,halfaya
Syria,SY,Hama Governorate,hama-governorate,Hama District,hama-district
Syria,SY,Hama Governorate,hama-governorate,Hamah,hamah
Syria,SY,Hama Governorate,hama-governorate,Kafr Zayta,kafr-zayta
Syria,SY,Hama Governorate,hama-governorate,Masyaf,masyaf
Syria,SY,Hama Governorate,hama-governorate,Masyaf District,masyaf-district
Syria,SY,Hama Governorate,hama-governorate,Murak,murak
Syria,SY,Hama Governorate,hama-governorate,Souran,souran
Syria,SY,Hama Governorate,hama-governorate,Tall Salhab,tall-salhab
Syria,SY,Hama Governorate,hama-governorate,Tayyibat al Imam,tayyibat-al-imam
Syria,SY,Hama Governorate,hama-governorate,Tremseh,tremseh
