s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Swaziland,SZ,Hhohho District,hhohho-district,Bulembu,bulembu
Swaziland,SZ,Hhohho District,hhohho-district,Hhukwini,hhukwini
Swaziland,SZ,Hhohho District,hhohho-district,Lobamba,lobamba
Swaziland,SZ,Hhohho District,hhohho-district,Mbabane,mbabane
Swaziland,SZ,Hhohho District,hhohho-district,Nkhaba,nkhaba
Swaziland,SZ,Hhohho District,hhohho-district,Piggs Peak,piggs-peak
Swaziland,SZ,Lubombo District,lubombo-district,Big Bend,big-bend
Swaziland,SZ,Lubombo District,lubombo-district,Dvokodvweni Inkhundla,dvokodvweni-inkhundla
Swaziland,SZ,Lubombo District,lubombo-district,Lomashasha,lomashasha
Swaziland,SZ,Lubombo District,lubombo-district,Mhlume,mhlume
Swaziland,SZ,Lubombo District,lubombo-district,Nsoko,nsoko
Swaziland,SZ,Lubombo District,lubombo-district,Siteki,siteki
Swaziland,SZ,Lubombo District,lubombo-district,Tshaneni,tshaneni
Swaziland,SZ,Lubombo District,lubombo-district,Vuvulane,vuvulane
Swaziland,SZ,Manzini District,manzini-district,Bhunya,bhunya
Swaziland,SZ,Manzini District,manzini-district,Ekukhanyeni,ekukhanyeni
Swaziland,SZ,Manzini District,manzini-district,Kwaluseni,kwaluseni
Swaziland,SZ,Manzini District,manzini-district,Malkerns,malkerns
Swaziland,SZ,Manzini District,manzini-district,Manzini,manzini
Swaziland,SZ,Manzini District,manzini-district,Manzini South,manzini-south
Swaziland,SZ,Manzini District,manzini-district,Mhlambanyatsi,mhlambanyatsi
Swaziland,SZ,Manzini District,manzini-district,Ngwempisi,ngwempisi
Swaziland,SZ,Manzini District,manzini-district,Ntondozi,ntondozi
Swaziland,SZ,Manzini District,manzini-district,Sidvokodvo,sidvokodvo
Swaziland,SZ,Shiselweni District,shiselweni-district,Hlatikulu,hlatikulu
Swaziland,SZ,Shiselweni District,shiselweni-district,Hluti,hluti
Swaziland,SZ,Shiselweni District,shiselweni-district,Kubuta,kubuta
Swaziland,SZ,Shiselweni District,shiselweni-district,Lavumisa,lavumisa
Swaziland,SZ,Shiselweni District,shiselweni-district,Matsanjeni,matsanjeni
Swaziland,SZ,Shiselweni District,shiselweni-district,Ngudzeni,ngudzeni
Swaziland,SZ,Shiselweni District,shiselweni-district,Nhlangano,nhlangano
Swaziland,SZ,Shiselweni District,shiselweni-district,Nkwene,nkwene
Swaziland,SZ,Shiselweni District,shiselweni-district,Sigwe Inkhundla,sigwe-inkhundla
Swaziland,SZ,Shiselweni District,shiselweni-district,Zombodze Ikhundla,zombodze-ikhundla
