s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Togo,TG,Centrale Region,centrale-region,Sokode,sokode
Togo,TG,Centrale Region,centrale-region,Sotouboua,sotouboua
Togo,TG,Centrale Region,centrale-region,Tchamba,tchamba
Togo,TG,Kara Region,kara-region,Bafilo,bafilo
Togo,TG,Kara Region,kara-region,Bassar,bassar
Togo,TG,Kara Region,kara-region,Kande,kande
Togo,TG,Kara Region,kara-region,Kara,kara
Togo,TG,Kara Region,kara-region,Niamtougou,niamtougou
Togo,TG,Kara Region,kara-region,Pagouda,pagouda
Togo,TG,Kara Region,kara-region,Prefecture de Bassar,prefecture-de-bassar
Togo,TG,Maritime,maritime,Aneho,aneho
Togo,TG,Maritime,maritime,Lome,lome
Togo,TG,Maritime,maritime,Tabligbo,tabligbo
Togo,TG,Maritime,maritime,Tsevie,tsevie
Togo,TG,Maritime,maritime,Vogan,vogan
Togo,TG,Plateaux Region,plateaux-region,Amlame,amlame
Togo,TG,Plateaux Region,plateaux-region,Atakpame,atakpame
Togo,TG,Plateaux Region,plateaux-region,Badou,badou
Togo,TG,Plateaux Region,plateaux-region,Kpalime,kpalime
Togo,TG,Plateaux Region,plateaux-region,Notse,notse
Togo,TG,Savanes Region,savanes-region,Dapaong,dapaong
Togo,TG,Savanes Region,savanes-region,Sansanne-Mango,sansanne-mango
