s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Tanzania,TZ,Arusha Region,arusha-region,Arusha,arusha
Tanzania,TZ,Arusha Region,arusha-region,Kingori,kingori
Tanzania,TZ,Arusha Region,arusha-region,Kiratu,kiratu
Tanzania,TZ,Arusha Region,arusha-region,Longido,longido
Tanzania,TZ,Arusha Region,arusha-region,Mbuguni,mbuguni
Tanzania,TZ,Arusha Region,arusha-region,Merelani,merelani
Tanzania,TZ,Arusha Region,arusha-region,Meru,meru
Tanzania,TZ,Arusha Region,arusha-region,Monduli,monduli
Tanzania,TZ,Arusha Region,arusha-region,Mto wa Mbu,mto-wa-mbu
Tanzania,TZ,Arusha Region,arusha-region,Namanga,namanga
Tanzania,TZ,Arusha Region,arusha-region,Ngorongoro,ngorongoro
Tanzania,TZ,Arusha Region,arusha-region,Nkoaranga,nkoaranga
Tanzania,TZ,Arusha Region,arusha-region,Poli,poli
Tanzania,TZ,Arusha Region,arusha-region,Usa River,usa-river
Tanzania,TZ,Dar es Salaam Region,dar-es-salaam-region,Dar es Salaam,dar-es-salaam
Tanzania,TZ,Dar es Salaam Region,dar-es-salaam-region,Magomeni,magomeni
Tanzania,TZ,Dodoma Region,dodoma-region,Dodoma,dodoma
Tanzania,TZ,Dodoma Region,dodoma-region,Kibakwe,kibakwe
Tanzania,TZ,Dodoma Region,dodoma-region,Kisasa,kisasa
Tanzania,TZ,Dodoma Region,dodoma-region,Kondoa,kondoa
Tanzania,TZ,Dodoma Region,dodoma-region,Kongwa,kongwa
Tanzania,TZ,Dodoma Region,dodoma-region,Mpwapwa,mpwapwa
Tanzania,TZ,Dodoma Region,dodoma-region,Msanga,msanga
Tanzania,TZ,Geita Region,geita-region,Buseresere,buseresere
Tanzania,TZ,Geita Region,geita-region,Chato,chato
Tanzania,TZ,Geita Region,geita-region,Geita,geita
Tanzania,TZ,Geita Region,geita-region,Kasamwa,kasamwa
Tanzania,TZ,Geita Region,geita-region,Katoro,katoro
Tanzania,TZ,Geita Region,geita-region,Masumbwe,masumbwe
Tanzania,TZ,Geita Region,geita-region,Ushirombo,ushirombo
Tanzania,TZ,Geita Region,geita-region,Uyovu,uyovu
Tanzania,TZ,Iringa Region,iringa-region,Ilula,ilula
Tanzania,TZ,Iringa Region,iringa-region,Iringa,iringa
Tanzania,TZ,Iringa Region,iringa-region,Izazi,izazi
Tanzania,TZ,Iringa Region,iringa-region,Mafinga,mafinga
Tanzania,TZ,Iringa Region,iringa-region,Makungu,makungu
Tanzania,TZ,Iringa Region,iringa-region,Malangali,malangali
Tanzania,TZ,Kagera Region,kagera-region,Biharamulo,biharamulo
Tanzania,TZ,Kagera Region,kagera-region,Bugarama,bugarama
Tanzania,TZ,Kagera Region,kagera-region,Bugene,bugene
Tanzania,TZ,Kagera Region,kagera-region,Bukoba,bukoba
Tanzania,TZ,Kagera Region,kagera-region,Kabanga,kabanga
Tanzania,TZ,Kagera Region,kagera-region,Kamachumu,kamachumu
Tanzania,TZ,Kagera Region,kagera-region,Katerero,katerero
Tanzania,TZ,Kagera Region,kagera-region,Katoro,katoro
Tanzania,TZ,Kagera Region,kagera-region,Kyaka,kyaka
Tanzania,TZ,Kagera Region,kagera-region,Ngara,ngara
Tanzania,TZ,Kagera Region,kagera-region,Nshamba,nshamba
Tanzania,TZ,Kagera Region,kagera-region,Nsunga,nsunga
Tanzania,TZ,Kagera Region,kagera-region,Nyakahanga,nyakahanga
Tanzania,TZ,Kagera Region,kagera-region,Rulenge,rulenge
Tanzania,TZ,Katavi Region,katavi-region,Inyonga,inyonga
Tanzania,TZ,Katavi Region,katavi-region,Karema,karema
Tanzania,TZ,Katavi Region,katavi-region,Mpanda,mpanda
Tanzania,TZ,Katavi Region,katavi-region,Usevia,usevia
Tanzania,TZ,Kigoma Region,kigoma-region,Kakonko,kakonko
Tanzania,TZ,Kigoma Region,kigoma-region,Kasulu,kasulu
Tanzania,TZ,Kigoma Region,kigoma-region,Kibondo,kibondo
Tanzania,TZ,Kigoma Region,kigoma-region,Kigoma,kigoma
Tanzania,TZ,Kigoma Region,kigoma-region,Mabamba,mabamba
Tanzania,TZ,Kigoma Region,kigoma-region,Mwandiga,mwandiga
Tanzania,TZ,Kigoma Region,kigoma-region,Nguruka,nguruka
Tanzania,TZ,Kigoma Region,kigoma-region,Uvinza,uvinza
Tanzania,TZ,Kilimanjaro Region,kilimanjaro-region,Hedaru,hedaru
Tanzania,TZ,Kilimanjaro Region,kilimanjaro-region,Kihurio,kihurio
Tanzania,TZ,Kilimanjaro Region,kilimanjaro-region,Kisiwani,kisiwani
Tanzania,TZ,Kilimanjaro Region,kilimanjaro-region,Kwakoa,kwakoa
Tanzania,TZ,Kilimanjaro Region,kilimanjaro-region,Lembeni,lembeni
Tanzania,TZ,Kilimanjaro Region,kilimanjaro-region,Makanya,makanya
Tanzania,TZ,Kilimanjaro Region,kilimanjaro-region,Moshi,moshi
Tanzania,TZ,Kilimanjaro Region,kilimanjaro-region,Mwembe,mwembe
Tanzania,TZ,Kilimanjaro Region,kilimanjaro-region,Ndungu,ndungu
Tanzania,TZ,Kilimanjaro Region,kilimanjaro-region,Same,same
Tanzania,TZ,Lindi Region,lindi-region,Lindi,lindi
Tanzania,TZ,Lindi Region,lindi-region,Mbekenyera,mbekenyera
Tanzania,TZ,Lindi Region,lindi-region,Mingoyo,mingoyo
Tanzania,TZ,Lindi Region,lindi-region,Mtama,mtama
Tanzania,TZ,Lindi Region,lindi-region,Nachingwea,nachingwea
Tanzania,TZ,Lindi Region,lindi-region,Nyangao,nyangao
Tanzania,TZ,Lindi Region,lindi-region,Ruangwa,ruangwa
Tanzania,TZ,Manyara Region,manyara-region,Babati,babati
Tanzania,TZ,Manyara Region,manyara-region,Bashanet,bashanet
Tanzania,TZ,Manyara Region,manyara-region,Basotu,basotu
Tanzania,TZ,Manyara Region,manyara-region,Dareda,dareda
Tanzania,TZ,Manyara Region,manyara-region,Dongobesh,dongobesh
Tanzania,TZ,Manyara Region,manyara-region,Endasak,endasak
Tanzania,TZ,Manyara Region,manyara-region,Galappo,galappo
Tanzania,TZ,Manyara Region,manyara-region,Katesh,katesh
Tanzania,TZ,Manyara Region,manyara-region,Kibaya,kibaya
Tanzania,TZ,Manyara Region,manyara-region,Kirya,kirya
Tanzania,TZ,Manyara Region,manyara-region,Magugu,magugu
Tanzania,TZ,Manyara Region,manyara-region,Mbulu,mbulu
Tanzania,TZ,Manyara Region,manyara-region,Naberera,naberera
Tanzania,TZ,Manyara Region,manyara-region,Nangwa,nangwa
Tanzania,TZ,Mara Region,mara-region,Bukonyo,bukonyo
Tanzania,TZ,Mara Region,mara-region,Butiama,butiama
Tanzania,TZ,Mara Region,mara-region,Issenye,issenye
Tanzania,TZ,Mara Region,mara-region,Kibara,kibara
Tanzania,TZ,Mara Region,mara-region,Mugango,mugango
Tanzania,TZ,Mara Region,mara-region,Mugumu,mugumu
Tanzania,TZ,Mara Region,mara-region,Muriti,muriti
Tanzania,TZ,Mara Region,mara-region,Musoma,musoma
Tanzania,TZ,Mara Region,mara-region,Nakatunguru,nakatunguru
Tanzania,TZ,Mara Region,mara-region,Nansio,nansio
Tanzania,TZ,Mara Region,mara-region,Nyamuswa,nyamuswa
Tanzania,TZ,Mara Region,mara-region,Sirari,sirari
Tanzania,TZ,Morogoro Region,morogoro-region,Geiro,geiro
Tanzania,TZ,Morogoro Region,morogoro-region,Ifakara,ifakara
Tanzania,TZ,Morogoro Region,morogoro-region,Kidatu,kidatu
Tanzania,TZ,Morogoro Region,morogoro-region,Kidodi,kidodi
Tanzania,TZ,Morogoro Region,morogoro-region,Kilosa,kilosa
Tanzania,TZ,Morogoro Region,morogoro-region,Kimamba,kimamba
Tanzania,TZ,Morogoro Region,morogoro-region,Kisanga,kisanga
Tanzania,TZ,Morogoro Region,morogoro-region,Lupiro,lupiro
Tanzania,TZ,Morogoro Region,morogoro-region,Magole,magole
Tanzania,TZ,Morogoro Region,morogoro-region,Mahenge,mahenge
Tanzania,TZ,Morogoro Region,morogoro-region,Malinyi,malinyi
Tanzania,TZ,Morogoro Region,morogoro-region,Mikumi,mikumi
Tanzania,TZ,Morogoro Region,morogoro-region,Mlimba,mlimba
Tanzania,TZ,Morogoro Region,morogoro-region,Morogoro,morogoro
Tanzania,TZ,Morogoro Region,morogoro-region,Msowero,msowero
Tanzania,TZ,Morogoro Region,morogoro-region,Mtimbira,mtimbira
Tanzania,TZ,Morogoro Region,morogoro-region,Mvomero District,mvomero-district
Tanzania,TZ,Morogoro Region,morogoro-region,Ngerengere,ngerengere
Tanzania,TZ,Mtwara Region,mtwara-region,Chiungutwa,chiungutwa
Tanzania,TZ,Mtwara Region,mtwara-region,Kitama,kitama
Tanzania,TZ,Mtwara Region,mtwara-region,Kitangari,kitangari
Tanzania,TZ,Mtwara Region,mtwara-region,Luchingu,luchingu
Tanzania,TZ,Mtwara Region,mtwara-region,Lukuledi,lukuledi
Tanzania,TZ,Mtwara Region,mtwara-region,Lulindi,lulindi
Tanzania,TZ,Mtwara Region,mtwara-region,Madimba,madimba
Tanzania,TZ,Mtwara Region,mtwara-region,Mahuta,mahuta
Tanzania,TZ,Mtwara Region,mtwara-region,Masasi,masasi
Tanzania,TZ,Mtwara Region,mtwara-region,Masuguru,masuguru
Tanzania,TZ,Mtwara Region,mtwara-region,Mtwara,mtwara
Tanzania,TZ,Mtwara Region,mtwara-region,Namalenga,namalenga
Tanzania,TZ,Mtwara Region,mtwara-region,Namikupa,namikupa
Tanzania,TZ,Mtwara Region,mtwara-region,Nanganga,nanganga
Tanzania,TZ,Mtwara Region,mtwara-region,Nangomba,nangomba
Tanzania,TZ,Mtwara Region,mtwara-region,Nanhyanga,nanhyanga
Tanzania,TZ,Mtwara Region,mtwara-region,Nanyamba,nanyamba
Tanzania,TZ,Mtwara Region,mtwara-region,Newala Kisimani,newala-kisimani
Tanzania,TZ,Mtwara Region,mtwara-region,Tandahimba,tandahimba
Tanzania,TZ,Mwanza Region,mwanza-region,Ilemela District,ilemela-district
Tanzania,TZ,Mwanza Region,mwanza-region,Kihangara,kihangara
Tanzania,TZ,Mwanza Region,mwanza-region,Malya,malya
Tanzania,TZ,Mwanza Region,mwanza-region,Misasi,misasi
Tanzania,TZ,Mwanza Region,mwanza-region,Misungwi,misungwi
Tanzania,TZ,Mwanza Region,mwanza-region,Mwanza,mwanza
Tanzania,TZ,Mwanza Region,mwanza-region,Ngudu,ngudu
Tanzania,TZ,Mwanza Region,mwanza-region,Nyanguge,nyanguge
Tanzania,TZ,Mwanza Region,mwanza-region,Usagara,usagara
Tanzania,TZ,Njombe Region,njombe-region,Ilembula,ilembula
Tanzania,TZ,Njombe Region,njombe-region,Makumbako,makumbako
Tanzania,TZ,Njombe Region,njombe-region,Manda,manda
Tanzania,TZ,Njombe Region,njombe-region,Matamba,matamba
Tanzania,TZ,Njombe Region,njombe-region,Mlangali,mlangali
Tanzania,TZ,Njombe Region,njombe-region,Mtwango,mtwango
Tanzania,TZ,Njombe Region,njombe-region,Njombe,njombe
Tanzania,TZ,North Pemba Region,north-pemba-region,Konde,konde
Tanzania,TZ,North Pemba Region,north-pemba-region,Micheweni,micheweni
Tanzania,TZ,North Pemba Region,north-pemba-region,Wete,wete
Tanzania,TZ,Pwani Region,pwani-region,Bagamoyo,bagamoyo
Tanzania,TZ,Pwani Region,pwani-region,Bungu,bungu
Tanzania,TZ,Pwani Region,pwani-region,Chalinze,chalinze
Tanzania,TZ,Pwani Region,pwani-region,Ikwiriri,ikwiriri
Tanzania,TZ,Pwani Region,pwani-region,Kibaha,kibaha
Tanzania,TZ,Pwani Region,pwani-region,Kibiti,kibiti
Tanzania,TZ,Pwani Region,pwani-region,Kilindoni,kilindoni
Tanzania,TZ,Pwani Region,pwani-region,Kisarawe,kisarawe
Tanzania,TZ,Pwani Region,pwani-region,Lugoba,lugoba
Tanzania,TZ,Pwani Region,pwani-region,Maneromango,maneromango
Tanzania,TZ,Pwani Region,pwani-region,Mbumi,mbumi
Tanzania,TZ,Pwani Region,pwani-region,Mkuranga,mkuranga
Tanzania,TZ,Pwani Region,pwani-region,Mlandizi,mlandizi
Tanzania,TZ,Pwani Region,pwani-region,Mvomero,mvomero
Tanzania,TZ,Pwani Region,pwani-region,Utete,utete
Tanzania,TZ,Pwani Region,pwani-region,Vikindu,vikindu
Tanzania,TZ,Rukwa Region,rukwa-region,Chala,chala
Tanzania,TZ,Rukwa Region,rukwa-region,Kirando,kirando
Tanzania,TZ,Rukwa Region,rukwa-region,Laela,laela
Tanzania,TZ,Rukwa Region,rukwa-region,Matai,matai
Tanzania,TZ,Rukwa Region,rukwa-region,Namanyere,namanyere
Tanzania,TZ,Rukwa Region,rukwa-region,Nkove,nkove
Tanzania,TZ,Rukwa Region,rukwa-region,Sumbawanga,sumbawanga
Tanzania,TZ,Ruvuma Region,ruvuma-region,Kigonsera,kigonsera
Tanzania,TZ,Ruvuma Region,ruvuma-region,Liuli,liuli
Tanzania,TZ,Ruvuma Region,ruvuma-region,Mahanje,mahanje
Tanzania,TZ,Ruvuma Region,ruvuma-region,Maposeni,maposeni
Tanzania,TZ,Ruvuma Region,ruvuma-region,Matiri,matiri
Tanzania,TZ,Ruvuma Region,ruvuma-region,Mbamba Bay,mbamba-bay
Tanzania,TZ,Ruvuma Region,ruvuma-region,Mbinga,mbinga
Tanzania,TZ,Ruvuma Region,ruvuma-region,Songea,songea
Tanzania,TZ,Ruvuma Region,ruvuma-region,Tingi,tingi
Tanzania,TZ,Shinyanga Region,shinyanga-region,Isaka,isaka
Tanzania,TZ,Shinyanga Region,shinyanga-region,Kahama,kahama
Tanzania,TZ,Shinyanga Region,shinyanga-region,Kishapu,kishapu
Tanzania,TZ,Shinyanga Region,shinyanga-region,Mhango,mhango
Tanzania,TZ,Shinyanga Region,shinyanga-region,Mwadui,mwadui
Tanzania,TZ,Shinyanga Region,shinyanga-region,Old Shinyanga,old-shinyanga
Tanzania,TZ,Shinyanga Region,shinyanga-region,Shinyanga,shinyanga
Tanzania,TZ,Shinyanga Region,shinyanga-region,Songwa,songwa
Tanzania,TZ,Shinyanga Region,shinyanga-region,Tinde,tinde
Tanzania,TZ,Simiyu Region,simiyu-region,Bariadi,bariadi
Tanzania,TZ,Simiyu Region,simiyu-region,Kisesa,kisesa
Tanzania,TZ,Simiyu Region,simiyu-region,Lalago,lalago
Tanzania,TZ,Simiyu Region,simiyu-region,Malampaka,malampaka
Tanzania,TZ,Simiyu Region,simiyu-region,Maswa,maswa
Tanzania,TZ,Simiyu Region,simiyu-region,Matonga,matonga
Tanzania,TZ,Simiyu Region,simiyu-region,Nyakabindi,nyakabindi
Tanzania,TZ,Simiyu Region,simiyu-region,Nyalikungu,nyalikungu
Tanzania,TZ,Simiyu Region,simiyu-region,Somanda,somanda
Tanzania,TZ,Singida Region,singida-region,Igugunu,igugunu
Tanzania,TZ,Singida Region,singida-region,Ikungi,ikungi
Tanzania,TZ,Singida Region,singida-region,Ilongero,ilongero
Tanzania,TZ,Singida Region,singida-region,Itigi,itigi
Tanzania,TZ,Singida Region,singida-region,Kilimatinde,kilimatinde
Tanzania,TZ,Singida Region,singida-region,Kintinku,kintinku
Tanzania,TZ,Singida Region,singida-region,Kiomboi,kiomboi
Tanzania,TZ,Singida Region,singida-region,Mgandu,mgandu
Tanzania,TZ,Singida Region,singida-region,Mtinko,mtinko
Tanzania,TZ,Singida Region,singida-region,Mungaa,mungaa
Tanzania,TZ,Singida Region,singida-region,Ndago,ndago
Tanzania,TZ,Singida Region,singida-region,Puma,puma
Tanzania,TZ,Singida Region,singida-region,Sepuka,sepuka
Tanzania,TZ,Singida Region,singida-region,Shelui,shelui
Tanzania,TZ,Singida Region,singida-region,Singida,singida
Tanzania,TZ,South Pemba Region,south-pemba-region,Chake Chake,chake-chake
Tanzania,TZ,South Pemba Region,south-pemba-region,Mtambile,mtambile
Tanzania,TZ,South Pemba Region,south-pemba-region,Uwelini,uwelini
Tanzania,TZ,Tabora Region,tabora-region,Bukene,bukene
Tanzania,TZ,Tabora Region,tabora-region,Igurubi,igurubi
Tanzania,TZ,Tabora Region,tabora-region,Kaliua,kaliua
Tanzania,TZ,Tabora Region,tabora-region,Mabama,mabama
Tanzania,TZ,Tabora Region,tabora-region,Sikonge,sikonge
Tanzania,TZ,Tabora Region,tabora-region,Tabora,tabora
Tanzania,TZ,Tabora Region,tabora-region,Tumbi,tumbi
Tanzania,TZ,Tabora Region,tabora-region,Usoke,usoke
Tanzania,TZ,Tanga Region,tanga-region,Chanika,chanika
Tanzania,TZ,Tanga Region,tanga-region,Lushoto,lushoto
Tanzania,TZ,Tanga Region,tanga-region,Magomeni,magomeni
Tanzania,TZ,Tanga Region,tanga-region,Majengo,majengo
Tanzania,TZ,Tanga Region,tanga-region,Makuyuni,makuyuni
Tanzania,TZ,Tanga Region,tanga-region,Maramba,maramba
Tanzania,TZ,Tanga Region,tanga-region,Matui,matui
Tanzania,TZ,Tanga Region,tanga-region,Mazinde,mazinde
Tanzania,TZ,Tanga Region,tanga-region,Mlalo,mlalo
Tanzania,TZ,Tanga Region,tanga-region,Muheza,muheza
Tanzania,TZ,Tanga Region,tanga-region,Mwanga,mwanga
Tanzania,TZ,Tanga Region,tanga-region,Pangani,pangani
Tanzania,TZ,Tanga Region,tanga-region,Soni,soni
Tanzania,TZ,Tanga Region,tanga-region,Tanga,tanga
Tanzania,TZ,Zanzibar Central/South Region,zanzibar-centralsouth-region,Koani,koani
Tanzania,TZ,Zanzibar Central/South Region,zanzibar-centralsouth-region,Koani Ndogo,koani-ndogo
Tanzania,TZ,Zanzibar Central/South Region,zanzibar-centralsouth-region,Mahonda,mahonda
Tanzania,TZ,Zanzibar Central/South Region,zanzibar-centralsouth-region,Nganane,nganane
Tanzania,TZ,Zanzibar Central/South Region,zanzibar-centralsouth-region,Sokoni,sokoni
Tanzania,TZ,Zanzibar North Region,zanzibar-north-region,Gamba,gamba
Tanzania,TZ,Zanzibar North Region,zanzibar-north-region,Kijini,kijini
Tanzania,TZ,Zanzibar North Region,zanzibar-north-region,Kiwengwa,kiwengwa
Tanzania,TZ,Zanzibar North Region,zanzibar-north-region,Mkokotoni,mkokotoni
Tanzania,TZ,Zanzibar North Region,zanzibar-north-region,Nungwi,nungwi
Tanzania,TZ,Zanzibar Urban/West Region,zanzibar-urbanwest-region,Zanzibar,zanzibar
