s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Uruguay,UY,Artigas Department,artigas-department,Artigas,artigas
Uruguay,UY,Artigas Department,artigas-department,Baltasar Brum,baltasar-brum
Uruguay,UY,Artigas Department,artigas-department,Bella Union,bella-union
Uruguay,UY,Artigas Department,artigas-department,Las Piedras,las-piedras
Uruguay,UY,Artigas Department,artigas-department,Tomas Gomensoro,tomas-gomensoro
Uruguay,UY,Canelones Department,canelones-department,Aguas Corrientes,aguas-corrientes
Uruguay,UY,Canelones Department,canelones-department,Atlantida,atlantida
Uruguay,UY,Canelones Department,canelones-department,Barra de Carrasco,barra-de-carrasco
Uruguay,UY,Canelones Department,canelones-department,Barros Blancos,barros-blancos
Uruguay,UY,Canelones Department,canelones-department,Canelones,canelones
Uruguay,UY,Canelones Department,canelones-department,Colonia Nicolich,colonia-nicolich
Uruguay,UY,Canelones Department,canelones-department,Empalme Olmos,empalme-olmos
Uruguay,UY,Canelones Department,canelones-department,Joaquin Suarez,joaquin-suarez
Uruguay,UY,Canelones Department,canelones-department,Juanico,juanico
Uruguay,UY,Canelones Department,canelones-department,La Floresta,la-floresta
Uruguay,UY,Canelones Department,canelones-department,La Paz,la-paz
Uruguay,UY,Canelones Department,canelones-department,Las Piedras,las-piedras
Uruguay,UY,Canelones Department,canelones-department,Las Toscas,las-toscas
Uruguay,UY,Canelones Department,canelones-department,Los Cerrillos,los-cerrillos
Uruguay,UY,Canelones Department,canelones-department,Migues,migues
Uruguay,UY,Canelones Department,canelones-department,Montes,montes
Uruguay,UY,Canelones Department,canelones-department,Pando,pando
Uruguay,UY,Canelones Department,canelones-department,Paso de Carrasco,paso-de-carrasco
Uruguay,UY,Canelones Department,canelones-department,Progreso,progreso
Uruguay,UY,Canelones Department,canelones-department,San Antonio,san-antonio
Uruguay,UY,Canelones Department,canelones-department,San Bautista,san-bautista
Uruguay,UY,Canelones Department,canelones-department,San Jacinto,san-jacinto
Uruguay,UY,Canelones Department,canelones-department,San Ramon,san-ramon
Uruguay,UY,Canelones Department,canelones-department,Santa Lucia,santa-lucia
Uruguay,UY,Canelones Department,canelones-department,Santa Rosa,santa-rosa
Uruguay,UY,Canelones Department,canelones-department,Sauce,sauce
Uruguay,UY,Canelones Department,canelones-department,Soca,soca
Uruguay,UY,Canelones Department,canelones-department,Tala,tala
