s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Uzbekistan,UZ,Andijan Region,andijan-region,Andijon,andijon
Uzbekistan,UZ,Andijan Region,andijan-region,Andijon Tumani,andijon-tumani
Uzbekistan,UZ,Andijan Region,andijan-region,Asaka,asaka
Uzbekistan,UZ,Andijan Region,andijan-region,Asaka Tumani,asaka-tumani
Uzbekistan,UZ,Andijan Region,andijan-region,Baliqchi Tumani,baliqchi-tumani
Uzbekistan,UZ,Andijan Region,andijan-region,Boz Tumani,boz-tumani
Uzbekistan,UZ,Andijan Region,andijan-region,Buloqboshi Tumani,buloqboshi-tumani
Uzbekistan,UZ,Andijan Region,andijan-region,Izboskan Tumani,izboskan-tumani
Uzbekistan,UZ,Andijan Region,andijan-region,Jalolkuduk Tumani,jalolkuduk-tumani
Uzbekistan,UZ,Andijan Region,andijan-region,Khujaobod Tumani,khujaobod-tumani
Uzbekistan,UZ,Andijan Region,andijan-region,Marhamat,marhamat
Uzbekistan,UZ,Andijan Region,andijan-region,Marhamat Tumani,marhamat-tumani
Uzbekistan,UZ,Andijan Region,andijan-region,Oltinkul Tumani,oltinkul-tumani
Uzbekistan,UZ,Andijan Region,andijan-region,Pakhtaobod Tumani,pakhtaobod-tumani
Uzbekistan,UZ,Andijan Region,andijan-region,Paxtaobod,paxtaobod
Uzbekistan,UZ,Andijan Region,andijan-region,Qorgontepa,qorgontepa
Uzbekistan,UZ,Andijan Region,andijan-region,Qurghontepa Tumani,qurghontepa-tumani
Uzbekistan,UZ,Andijan Region,andijan-region,Shahrikhon Tumani,shahrikhon-tumani
Uzbekistan,UZ,Andijan Region,andijan-region,Shahrixon,shahrixon
Uzbekistan,UZ,Andijan Region,andijan-region,Ulugnor Tumani,ulugnor-tumani
Uzbekistan,UZ,Andijan Region,andijan-region,Xojaobod,xojaobod
Uzbekistan,UZ,Bukhara Region,bukhara-region,Bukhara,bukhara
Uzbekistan,UZ,Bukhara Region,bukhara-region,Galaosiyo,galaosiyo
Uzbekistan,UZ,Bukhara Region,bukhara-region,Gazli,gazli
Uzbekistan,UZ,Bukhara Region,bukhara-region,Ghijduwon,ghijduwon
Uzbekistan,UZ,Bukhara Region,bukhara-region,Karakul,karakul
Uzbekistan,UZ,Bukhara Region,bukhara-region,Kogon,kogon
Uzbekistan,UZ,Bukhara Region,bukhara-region,Olot,olot
Uzbekistan,UZ,Bukhara Region,bukhara-region,Peshku Tumani,peshku-tumani
Uzbekistan,UZ,Bukhara Region,bukhara-region,Qorakol,qorakol
Uzbekistan,UZ,Bukhara Region,bukhara-region,Qorovulbozor,qorovulbozor
Uzbekistan,UZ,Bukhara Region,bukhara-region,Romiton,romiton
Uzbekistan,UZ,Bukhara Region,bukhara-region,Shofirkon,shofirkon
Uzbekistan,UZ,Bukhara Region,bukhara-region,Wobkent,wobkent
Uzbekistan,UZ,Bukhara Region,bukhara-region,Wobkent Tumani,wobkent-tumani
Uzbekistan,UZ,Fergana Region,fergana-region,Beshariq,beshariq
Uzbekistan,UZ,Fergana Region,fergana-region,Fergana,fergana
Uzbekistan,UZ,Fergana Region,fergana-region,Hamza,hamza
Uzbekistan,UZ,Fergana Region,fergana-region,Kirguli,kirguli
Uzbekistan,UZ,Fergana Region,fergana-region,Margilon,margilon
Uzbekistan,UZ,Fergana Region,fergana-region,Oltiariq,oltiariq
Uzbekistan,UZ,Fergana Region,fergana-region,Qoqon,qoqon
Uzbekistan,UZ,Fergana Region,fergana-region,Quva,quva
Uzbekistan,UZ,Fergana Region,fergana-region,Quvasoy,quvasoy
Uzbekistan,UZ,Fergana Region,fergana-region,Rishton,rishton
Uzbekistan,UZ,Fergana Region,fergana-region,Shohimardon,shohimardon
Uzbekistan,UZ,Fergana Region,fergana-region,Sox Tumani,sox-tumani
Uzbekistan,UZ,Fergana Region,fergana-region,Toshloq,toshloq
Uzbekistan,UZ,Fergana Region,fergana-region,Yangi Margilon,yangi-margilon
Uzbekistan,UZ,Fergana Region,fergana-region,Yaypan,yaypan
Uzbekistan,UZ,Jizzakh Region,jizzakh-region,Dashtobod,dashtobod
Uzbekistan,UZ,Jizzakh Region,jizzakh-region,Dustlik,dustlik
Uzbekistan,UZ,Jizzakh Region,jizzakh-region,Gagarin,gagarin
Uzbekistan,UZ,Jizzakh Region,jizzakh-region,Jizzax,jizzax
Uzbekistan,UZ,Jizzakh Region,jizzakh-region,Paxtakor,paxtakor
Uzbekistan,UZ,Jizzakh Region,jizzakh-region,Zomin,zomin
Uzbekistan,UZ,Karakalpakstan,karakalpakstan,Beruniy,beruniy
