s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Venezuela,VE,Amazonas,amazonas,Maroa,maroa
Venezuela,VE,Amazonas,amazonas,Municipio Autonomo Alto Orinoco,municipio-autonomo-alto-orinoco
Venezuela,VE,Amazonas,amazonas,Puerto Ayacucho,puerto-ayacucho
Venezuela,VE,Amazonas,amazonas,San Carlos de Rio Negro,san-carlos-de-rio-negro
Venezuela,VE,Amazonas,amazonas,San Fernando de Atabapo,san-fernando-de-atabapo
Venezuela,VE,Amazonas,amazonas,San Juan de Manapiare,san-juan-de-manapiare
Venezuela,VE,Anzoategui,anzoategui,Anaco,anaco
Venezuela,VE,Anzoategui,anzoategui,Aragua de Barcelona,aragua-de-barcelona
Venezuela,VE,Anzoategui,anzoategui,Barcelona,barcelona
Venezuela,VE,Anzoategui,anzoategui,Cantaura,cantaura
Venezuela,VE,Anzoategui,anzoategui,El Tigre,el-tigre
Venezuela,VE,Anzoategui,anzoategui,Municipio Jose Gregorio Monagas,municipio-jose-gregorio-monagas
Venezuela,VE,Anzoategui,anzoategui,Onoto,onoto
Venezuela,VE,Anzoategui,anzoategui,Puerto La Cruz,puerto-la-cruz
Venezuela,VE,Anzoategui,anzoategui,Puerto Piritu,puerto-piritu
Venezuela,VE,Anzoategui,anzoategui,San Jose de Guanipa,san-jose-de-guanipa
Venezuela,VE,Apure,apure,Apure,apure
Venezuela,VE,Aragua,aragua,Cagua,cagua
Venezuela,VE,Aragua,aragua,El Limon,el-limon
Venezuela,VE,Aragua,aragua,La Victoria,la-victoria
Venezuela,VE,Aragua,aragua,Las Tejerias,las-tejerias
Venezuela,VE,Aragua,aragua,Maracay,maracay
Venezuela,VE,Aragua,aragua,Palo Negro,palo-negro
Venezuela,VE,Aragua,aragua,San Mateo,san-mateo
Venezuela,VE,Aragua,aragua,Santa Rita,santa-rita
Venezuela,VE,Aragua,aragua,Turmero,turmero
Venezuela,VE,Aragua,aragua,Villa de Cura,villa-de-cura
Venezuela,VE,Barinas,barinas,Alto Barinas,alto-barinas
Venezuela,VE,Barinas,barinas,Barinas,barinas
Venezuela,VE,Barinas,barinas,Barinitas,barinitas
