s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Yemen,YE,'Adan Governorate,adan-governorate,Aden,aden
Yemen,YE,'Adan Governorate,adan-governorate,Al Buraiqeh,al-buraiqeh
Yemen,YE,'Adan Governorate,adan-governorate,Al Mansura,al-mansura
Yemen,YE,'Adan Governorate,adan-governorate,Al Mualla,al-mualla
Yemen,YE,'Adan Governorate,adan-governorate,Ash Shaikh Outhman,ash-shaikh-outhman
Yemen,YE,'Adan Governorate,adan-governorate,Attawahi,attawahi
Yemen,YE,'Adan Governorate,adan-governorate,Craiter,craiter
Yemen,YE,'Adan Governorate,adan-governorate,Dar Sad,dar-sad
Yemen,YE,'Amran Governorate,amran-governorate,Amran,amran
Yemen,YE,'Amran Governorate,amran-governorate,Al Ashah,al-ashah
Yemen,YE,'Amran Governorate,amran-governorate,Al Madan,al-madan
Yemen,YE,'Amran Governorate,amran-governorate,Al Qaflah,al-qaflah
Yemen,YE,'Amran Governorate,amran-governorate,As Sawd,as-sawd
Yemen,YE,'Amran Governorate,amran-governorate,As Sudah,as-sudah
Yemen,YE,'Amran Governorate,amran-governorate,Bani Suraim,bani-suraim
Yemen,YE,'Amran Governorate,amran-governorate,Dhi Bin,dhi-bin
Yemen,YE,'Amran Governorate,amran-governorate,Habur Zulaymah,habur-zulaymah
Yemen,YE,'Amran Governorate,amran-governorate,Harf Sufyan,harf-sufyan
Yemen,YE,'Amran Governorate,amran-governorate,Hooth,hooth
Yemen,YE,'Amran Governorate,amran-governorate,Iyal Surayh,iyal-surayh
Yemen,YE,'Amran Governorate,amran-governorate,Jabal Iyal Yazid,jabal-iyal-yazid
Yemen,YE,'Amran Governorate,amran-governorate,Khamir,khamir
Yemen,YE,'Amran Governorate,amran-governorate,Kharif,kharif
Yemen,YE,'Amran Governorate,amran-governorate,Maswar,maswar
Yemen,YE,'Amran Governorate,amran-governorate,Raydah,raydah
Yemen,YE,'Amran Governorate,amran-governorate,Shaharah,shaharah
Yemen,YE,'Amran Governorate,amran-governorate,Suwayr,suwayr
Yemen,YE,'Amran Governorate,amran-governorate,Thula,thula
Yemen,YE,Abyan Governorate,abyan-governorate,Ahwar,ahwar
Yemen,YE,Abyan Governorate,abyan-governorate,Ahwar,ahwar
Yemen,YE,Abyan Governorate,abyan-governorate,Al Mahfad,al-mahfad
Yemen,YE,Abyan Governorate,abyan-governorate,Al Wade'a,al-wadea
Yemen,YE,Abyan Governorate,abyan-governorate,Jawf al Maqbabah,jawf-al-maqbabah
Yemen,YE,Abyan Governorate,abyan-governorate,Jayshan,jayshan
Yemen,YE,Abyan Governorate,abyan-governorate,Khanfir,khanfir
Yemen,YE,Abyan Governorate,abyan-governorate,Lawdar,lawdar
Yemen,YE,Abyan Governorate,abyan-governorate,Mudiyah,mudiyah
Yemen,YE,Abyan Governorate,abyan-governorate,Mudiyah,mudiyah
Yemen,YE,Abyan Governorate,abyan-governorate,Rasad,rasad
Yemen,YE,Abyan Governorate,abyan-governorate,Sarar,sarar
Yemen,YE,Abyan Governorate,abyan-governorate,Sibah,sibah
Yemen,YE,Abyan Governorate,abyan-governorate,Zingibar,zingibar
Yemen,YE,Abyan Governorate,abyan-governorate,Zinjibar,zinjibar
Yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Al A'rsh,al-arsh
Yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Al Bayda,al-bayda
Yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Al Bayda City,al-bayda-city
Yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Al Bayda,al-bayda
Yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Al Malagim,al-malagim
Yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Al Quraishyah,al-quraishyah
Yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Ar Ryashyyah,ar-ryashyyah
Yemen,YE,Al Bayda' Governorate,al-bayda-governorate,As Sawadiyah,as-sawadiyah
Yemen,YE,Al Bayda' Governorate,al-bayda-governorate,As Sawma'ah,as-sawmaah
Yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Ash Sharafayn,ash-sharafayn
Yemen,YE,Al Bayda' Governorate,al-bayda-governorate,At Taffah,at-taffah
Yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Az Zahir,az-zahir
Yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Dhi Na'im,dhi-naim
Yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Maswarah,maswarah
Yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Mukayras,mukayras
Yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Na'man,naman
Yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Nati',nati
Yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Rada,rada
Yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Radman Al Awad,radman-al-awad
Yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Sabah,sabah
Yemen,YE,Al Bayda' Governorate,al-bayda-governorate,Wald Rabi',wald-rabi
Yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Ad Dahi,ad-dahi
Yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Ad Durayhimi,ad-durayhimi
Yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Garrahi,al-garrahi
Yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Hajjaylah,al-hajjaylah
Yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Hali,al-hali
Yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Hawak,al-hawak
Yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Hudaydah,al-hudaydah
Yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Mansuriyah,al-mansuriyah
Yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Marawi'ah,al-marawiah
Yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Mighlaf,al-mighlaf
Yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Mina,al-mina
Yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Munirah,al-munirah
Yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Al Qanawis,al-qanawis
Yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Alluheyah,alluheyah
Yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,As Salif,as-salif
Yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,As Salif,as-salif
Yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,As Sukhnah,as-sukhnah
Yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,At Tuhayat,at-tuhayat
Yemen,YE,Al Hudaydah Governorate,al-hudaydah-governorate,Az Zaydiyah,az-zaydiyah
