s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
South Africa,ZA,Eastern Cape,eastern-cape,Adelaide,adelaide
South Africa,ZA,Eastern Cape,eastern-cape,Alfred Nzo District Municipality,alfred-nzo-district-municipality
South Africa,ZA,Eastern Cape,eastern-cape,Alice,alice
South Africa,ZA,Eastern Cape,eastern-cape,Aliwal North,aliwal-north
South Africa,ZA,Eastern Cape,eastern-cape,Amathole District Municipality,amathole-district-municipality
South Africa,ZA,Eastern Cape,eastern-cape,Bhisho,bhisho
South Africa,ZA,Eastern Cape,eastern-cape,Buffalo City Metropolitan Municipality,buffalo-city-metropolitan-municipality
South Africa,ZA,Eastern Cape,eastern-cape,Burgersdorp,burgersdorp
South Africa,ZA,Eastern Cape,eastern-cape,Butterworth,butterworth
South Africa,ZA,Eastern Cape,eastern-cape,Cacadu District Municipality,cacadu-district-municipality
South Africa,ZA,Eastern Cape,eastern-cape,Chris Hani District Municipality,chris-hani-district-municipality
South Africa,ZA,Eastern Cape,eastern-cape,Cradock,cradock
South Africa,ZA,Eastern Cape,eastern-cape,Dordrecht,dordrecht
South Africa,ZA,Eastern Cape,eastern-cape,East London,east-london
South Africa,ZA,Eastern Cape,eastern-cape,Elliot,elliot
South Africa,ZA,Eastern Cape,eastern-cape,Fort Beaufort,fort-beaufort
South Africa,ZA,Eastern Cape,eastern-cape,Graaff-Reinet,graaff-reinet
South Africa,ZA,Eastern Cape,eastern-cape,Grahamstown,grahamstown
South Africa,ZA,Eastern Cape,eastern-cape,Ilinge,ilinge
South Africa,ZA,Eastern Cape,eastern-cape,Joe Gqabi District Municipality,joe-gqabi-district-municipality
South Africa,ZA,Eastern Cape,eastern-cape,Kirkwood,kirkwood
South Africa,ZA,Eastern Cape,eastern-cape,Kruisfontein,kruisfontein
South Africa,ZA,Eastern Cape,eastern-cape,Lady Frere,lady-frere
South Africa,ZA,Eastern Cape,eastern-cape,Middelburg,middelburg
South Africa,ZA,Eastern Cape,eastern-cape,Molteno,molteno
South Africa,ZA,Eastern Cape,eastern-cape,Mthatha,mthatha
South Africa,ZA,Eastern Cape,eastern-cape,Nelson Mandela Bay Metropolitan Municipality,nelson-mandela-bay-metropolitan-municipality
South Africa,ZA,Eastern Cape,eastern-cape,OR Tambo District Municipality,or-tambo-district-municipality
South Africa,ZA,Eastern Cape,eastern-cape,Port Alfred,port-alfred
South Africa,ZA,Eastern Cape,eastern-cape,Port Elizabeth,port-elizabeth
South Africa,ZA,Eastern Cape,eastern-cape,Port Saint Johns,port-saint-johns
South Africa,ZA,Eastern Cape,eastern-cape,Queensdale,queensdale
South Africa,ZA,Eastern Cape,eastern-cape,Queenstown,queenstown
South Africa,ZA,Eastern Cape,eastern-cape,Somerset East,somerset-east
