s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Zambia,ZM,Central Province,central-province,Chibombo,chibombo
Zambia,ZM,Central Province,central-province,Chibombo District,chibombo-district
Zambia,ZM,Central Province,central-province,Kabwe,kabwe
Zambia,ZM,Central Province,central-province,Kapiri Mposhi,kapiri-mposhi
Zambia,ZM,Central Province,central-province,Mkushi,mkushi
Zambia,ZM,Central Province,central-province,Mumbwa,mumbwa
Zambia,ZM,Central Province,central-province,Serenje,serenje
Zambia,ZM,Copperbelt Province,copperbelt-province,Chambishi,chambishi
Zambia,ZM,Copperbelt Province,copperbelt-province,Chililabombwe,chililabombwe
Zambia,ZM,Copperbelt Province,copperbelt-province,Chingola,chingola
Zambia,ZM,Copperbelt Province,copperbelt-province,Chingola District,chingola-district
Zambia,ZM,Copperbelt Province,copperbelt-province,Kalulushi,kalulushi
Zambia,ZM,Copperbelt Province,copperbelt-province,Kataba,kataba
Zambia,ZM,Copperbelt Province,copperbelt-province,Kitwe,kitwe
Zambia,ZM,Copperbelt Province,copperbelt-province,Luanshya,luanshya
Zambia,ZM,Copperbelt Province,copperbelt-province,Mpongwe,mpongwe
Zambia,ZM,Copperbelt Province,copperbelt-province,Mufulira,mufulira
Zambia,ZM,Copperbelt Province,copperbelt-province,Ndola,ndola
Zambia,ZM,Eastern Province,eastern-province,Chadiza,chadiza
Zambia,ZM,Eastern Province,eastern-province,Chipata,chipata
Zambia,ZM,Eastern Province,eastern-province,Lundazi,lundazi
Zambia,ZM,Eastern Province,eastern-province,Nyimba,nyimba
Zambia,ZM,Eastern Province,eastern-province,Petauke,petauke
Zambia,ZM,Luapula Province,luapula-province,Kawambwa,kawambwa
Zambia,ZM,Luapula Province,luapula-province,Mansa,mansa
Zambia,ZM,Luapula Province,luapula-province,Mwense,mwense
Zambia,ZM,Luapula Province,luapula-province,Nchelenge,nchelenge
Zambia,ZM,Luapula Province,luapula-province,Samfya,samfya
Zambia,ZM,Lusaka Province,lusaka-province,Chongwe,chongwe
Zambia,ZM,Lusaka Province,lusaka-province,Kafue,kafue
Zambia,ZM,Lusaka Province,lusaka-province,Luangwa,luangwa
Zambia,ZM,Lusaka Province,lusaka-province,Lusaka,lusaka
Zambia,ZM,Muchinga Province,muchinga-province,Chama,chama
Zambia,ZM,Muchinga Province,muchinga-province,Chinsali,chinsali
Zambia,ZM,Muchinga Province,muchinga-province,Isoka,isoka
Zambia,ZM,Muchinga Province,muchinga-province,Mpika,mpika
Zambia,ZM,Muchinga Province,muchinga-province,Nakonde,nakonde
Zambia,ZM,Northern Province,northern-province,Kaputa,kaputa
Zambia,ZM,Northern Province,northern-province,Kasama,kasama
Zambia,ZM,Northern Province,northern-province,Luwingu,luwingu
Zambia,ZM,Northern Province,northern-province,Mbala,mbala
Zambia,ZM,Northern Province,northern-province,Mporokoso,mporokoso
Zambia,ZM,Northern Province,northern-province,Mpulungu,mpulungu
Zambia,ZM,Northern Province,northern-province,Mungwi,mungwi
Zambia,ZM,Northwestern Province,northwestern-province,Kabompo,kabompo
Zambia,ZM,Northwestern Province,northwestern-province,Kalengwa,kalengwa
Zambia,ZM,Northwestern Province,northwestern-province,Kansanshi,kansanshi
Zambia,ZM,Northwestern Province,northwestern-province,Kasempa,kasempa
Zambia,ZM,Northwestern Province,northwestern-province,Mufumbwe,mufumbwe
Zambia,ZM,Northwestern Province,northwestern-province,Mwinilunga,mwinilunga
Zambia,ZM,Northwestern Province,northwestern-province,Solwezi,solwezi
Zambia,ZM,Northwestern Province,northwestern-province,Zambezi,zambezi
Zambia,ZM,Southern Province,southern-province,Choma,choma
Zambia,ZM,Southern Province,southern-province,Gwembe,gwembe
Zambia,ZM,Southern Province,southern-province,Itezhi-Tezhi District,itezhi-tezhi-district
Zambia,ZM,Southern Province,southern-province,Livingstone,livingstone
Zambia,ZM,Southern Province,southern-province,Maamba,maamba
Zambia,ZM,Southern Province,southern-province,Mazabuka,mazabuka
Zambia,ZM,Southern Province,southern-province,Monze,monze
Zambia,ZM,Southern Province,southern-province,Nakambala,nakambala
Zambia,ZM,Southern Province,southern-province,Namwala,namwala
Zambia,ZM,Southern Province,southern-province,Siavonga,siavonga
Zambia,ZM,Southern Province,southern-province,Siavonga District,siavonga-district
Zambia,ZM,Southern Province,southern-province,Sinazongwe,sinazongwe
Zambia,ZM,Western Province,western-province,Kalabo,kalabo
Zambia,ZM,Western Province,western-province,Kaoma,kaoma
Zambia,ZM,Western Province,western-province,Limulunga,limulunga
Zambia,ZM,Western Province,western-province,Lukulu,lukulu
Zambia,ZM,Western Province,western-province,Mongu,mongu
Zambia,ZM,Western Province,western-province,Senanga,senanga
Zambia,ZM,Western Province,western-province,Sesheke,sesheke
