s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Albania,albania,AL,Berat County,berat-county,Berat County,berat-county
Albania,albania,AL,Berat District,berat-district,Banaj,banaj
Albania,albania,AL,Berat District,berat-district,Bashkia Berat,bashkia-berat
Albania,albania,AL,Berat District,berat-district,Bashkia Kucove,bashkia-kucove
Albania,albania,AL,Berat District,berat-district,Bashkia Polican,bashkia-polican
Albania,albania,AL,Berat District,berat-district,Bashkia Skrapar,bashkia-skrapar
Albania,albania,AL,Berat District,berat-district,Berat,berat
Albania,albania,AL,Berat District,berat-district,Corovode,corovode
Albania,albania,AL,Berat District,berat-district,Kucove,kucove
Albania,albania,AL,Berat District,berat-district,Polican,polican
Albania,albania,AL,Berat District,berat-district,Rrethi i Beratit,rrethi-i-beratit
Albania,albania,AL,Berat District,berat-district,Rrethi i Kucoves,rrethi-i-kucoves
Albania,albania,AL,Berat District,berat-district,Rrethi i Skraparit,rrethi-i-skraparit
Albania,albania,AL,Berat District,berat-district,Ura Vajgurore,ura-vajgurore
Albania,albania,AL,Bulqize District,bulqize-district,Bulqize District,bulqize-district
Albania,albania,AL,Delvine District,delvine-district,Delvine District,delvine-district
Albania,albania,AL,Devoll District,devoll-district,Devoll District,devoll-district
Albania,albania,AL,Diber County,diber-county,Bashkia Bulqize,bashkia-bulqize
Albania,albania,AL,Diber County,diber-county,Bashkia Klos,bashkia-klos
Albania,albania,AL,Diber County,diber-county,Bashkia Mat,bashkia-mat
Albania,albania,AL,Diber County,diber-county,Bulqize,bulqize
Albania,albania,AL,Diber County,diber-county,Burrel,burrel
Albania,albania,AL,Diber County,diber-county,Klos,klos
Albania,albania,AL,Diber County,diber-county,Peshkopi,peshkopi
Albania,albania,AL,Diber County,diber-county,Rrethi i Bulqizes,rrethi-i-bulqizes
Albania,albania,AL,Diber County,diber-county,Rrethi i Dibres,rrethi-i-dibres
Albania,albania,AL,Diber County,diber-county,Rrethi i Matit,rrethi-i-matit
Albania,albania,AL,Diber County,diber-county,Ulez,ulez
Albania,albania,AL,Diber District,diber-district,Diber District,diber-district
Albania,albania,AL,Durres County,durres-county,Durres County,durres-county
Albania,albania,AL,Durres District,durres-district,Bashkia Durres,bashkia-durres
Albania,albania,AL,Durres District,durres-district,Bashkia Kruje,bashkia-kruje
Albania,albania,AL,Durres District,durres-district,Bashkia Shijak,bashkia-shijak
Albania,albania,AL,Durres District,durres-district,Durres,durres
Albania,albania,AL,Durres District,durres-district,Durres District,durres-district
Albania,albania,AL,Durres District,durres-district,Fushe-Kruje,fushe-kruje
Albania,albania,AL,Durres District,durres-district,Kruje,kruje
Albania,albania,AL,Durres District,durres-district,Rrethi i Krujes,rrethi-i-krujes
Albania,albania,AL,Durres District,durres-district,Shijak,shijak
Albania,albania,AL,Durres District,durres-district,Sukth,sukth
Albania,albania,AL,Elbasan County,elbasan-county,Elbasan County,elbasan-county
Albania,albania,AL,Fier County,fier-county,Ballsh,ballsh
Albania,albania,AL,Fier County,fier-county,Bashkia Divjake,bashkia-divjake
Albania,albania,AL,Fier County,fier-county,Bashkia Fier,bashkia-fier
Albania,albania,AL,Fier County,fier-county,Bashkia Mallakaster,bashkia-mallakaster
Albania,albania,AL,Fier County,fier-county,Bashkia Patos,bashkia-patos
Albania,albania,AL,Fier County,fier-county,Divjake,divjake
Albania,albania,AL,Fier County,fier-county,Fier,fier
Albania,albania,AL,Fier County,fier-county,Fier-Cifci,fier-cifci
Albania,albania,AL,Fier County,fier-county,Lushnje,lushnje
Albania,albania,AL,Fier County,fier-county,Patos,patos
Albania,albania,AL,Fier County,fier-county,Patos Fshat,patos-fshat
Albania,albania,AL,Fier County,fier-county,Roskovec,roskovec
Albania,albania,AL,Fier County,fier-county,Rrethi i Mallakastres,rrethi-i-mallakastres
Albania,albania,AL,Fier District,fier-district,Fier District,fier-district
Albania,albania,AL,Gjirokaster County,gjirokaster-county,Gjirokaster County,gjirokaster-county
Albania,albania,AL,Gjirokaster District,gjirokaster-district,Bashkia Dropull,bashkia-dropull
