s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Armenia,armenia,AM,Aragatsotn Region,aragatsotn-region,Agarakavan,agarakavan
Armenia,armenia,AM,Aragatsotn Region,aragatsotn-region,Aparan,aparan
Armenia,armenia,AM,Aragatsotn Region,aragatsotn-region,Aragats,aragats
Armenia,armenia,AM,Aragatsotn Region,aragatsotn-region,Arteni,arteni
Armenia,armenia,AM,Aragatsotn Region,aragatsotn-region,Ashnak,ashnak
Armenia,armenia,AM,Aragatsotn Region,aragatsotn-region,Ashtarak,ashtarak
Armenia,armenia,AM,Aragatsotn Region,aragatsotn-region,Byurakan,byurakan
Armenia,armenia,AM,Aragatsotn Region,aragatsotn-region,Hnaberd,hnaberd
Armenia,armenia,AM,Aragatsotn Region,aragatsotn-region,Karbi,karbi
Armenia,armenia,AM,Aragatsotn Region,aragatsotn-region,Kasakh,kasakh
Armenia,armenia,AM,Aragatsotn Region,aragatsotn-region,Kosh,kosh
Armenia,armenia,AM,Aragatsotn Region,aragatsotn-region,Nor Yerznka,nor-yerznka
Armenia,armenia,AM,Aragatsotn Region,aragatsotn-region,Oshakan,oshakan
Armenia,armenia,AM,Aragatsotn Region,aragatsotn-region,Sasunik,sasunik
Armenia,armenia,AM,Aragatsotn Region,aragatsotn-region,Shenavan,shenavan
Armenia,armenia,AM,Aragatsotn Region,aragatsotn-region,Talin,talin
Armenia,armenia,AM,Aragatsotn Region,aragatsotn-region,Tsaghkahovit,tsaghkahovit
Armenia,armenia,AM,Aragatsotn Region,aragatsotn-region,Ushi,ushi
Armenia,armenia,AM,Aragatsotn Region,aragatsotn-region,Voskevaz,voskevaz
Armenia,armenia,AM,Aragatsotn Region,aragatsotn-region,Zovuni,zovuni
Armenia,armenia,AM,Ararat Province,ararat-province,Abovyan,abovyan
Armenia,armenia,AM,Ararat Province,ararat-province,Aralez,aralez
Armenia,armenia,AM,Ararat Province,ararat-province,Ararat,ararat
Armenia,armenia,AM,Ararat Province,ararat-province,Arevabuyr,arevabuyr
Armenia,armenia,AM,Ararat Province,ararat-province,Arevshat,arevshat
Armenia,armenia,AM,Ararat Province,ararat-province,Armash,armash
Armenia,armenia,AM,Ararat Province,ararat-province,Artashat,artashat
Armenia,armenia,AM,Ararat Province,ararat-province,Avshar,avshar
Armenia,armenia,AM,Ararat Province,ararat-province,Aygavan,aygavan
Armenia,armenia,AM,Ararat Province,ararat-province,Aygepat,aygepat
Armenia,armenia,AM,Ararat Province,ararat-province,Aygestan,aygestan
Armenia,armenia,AM,Ararat Province,ararat-province,Aygezard,aygezard
Armenia,armenia,AM,Ararat Province,ararat-province,Bardzrashen,bardzrashen
Armenia,armenia,AM,Ararat Province,ararat-province,Berkanush,berkanush
Armenia,armenia,AM,Ararat Province,ararat-province,Burastan,burastan
Armenia,armenia,AM,Ararat Province,ararat-province,Byuravan,byuravan
Armenia,armenia,AM,Ararat Province,ararat-province,Dalar,dalar
Armenia,armenia,AM,Ararat Province,ararat-province,Darakert,darakert
Armenia,armenia,AM,Ararat Province,ararat-province,Dashtavan,dashtavan
Armenia,armenia,AM,Ararat Province,ararat-province,Dimitrov,dimitrov
Armenia,armenia,AM,Ararat Province,ararat-province,Dvin,dvin
Armenia,armenia,AM,Ararat Province,ararat-province,Getazat,getazat
Armenia,armenia,AM,Ararat Province,ararat-province,Ghukasavan,ghukasavan
Armenia,armenia,AM,Ararat Province,ararat-province,Goravan,goravan
Armenia,armenia,AM,Ararat Province,ararat-province,Hayanist,hayanist
Armenia,armenia,AM,Ararat Province,ararat-province,Hovtashat,hovtashat
Armenia,armenia,AM,Ararat Province,ararat-province,Hovtashen,hovtashen
Armenia,armenia,AM,Ararat Province,ararat-province,Jrahovit,jrahovit
Armenia,armenia,AM,Ararat Province,ararat-province,Lusarrat,lusarrat
Armenia,armenia,AM,Ararat Province,ararat-province,Marmarashen,marmarashen
Armenia,armenia,AM,Ararat Province,ararat-province,Masis,masis
Armenia,armenia,AM,Ararat Province,ararat-province,Mrganush,mrganush
Armenia,armenia,AM,Ararat Province,ararat-province,Mrgavan,mrgavan
Armenia,armenia,AM,Ararat Province,ararat-province,Mrgavet,mrgavet
Armenia,armenia,AM,Ararat Province,ararat-province,Nizami,nizami
Armenia,armenia,AM,Ararat Province,ararat-province,Norabats,norabats
Armenia,armenia,AM,Ararat Province,ararat-province,Noramarg,noramarg
Armenia,armenia,AM,Ararat Province,ararat-province,Norashen,norashen
Armenia,armenia,AM,Ararat Province,ararat-province,Noyakert,noyakert
Armenia,armenia,AM,Ararat Province,ararat-province,Nshavan,nshavan
Armenia,armenia,AM,Ararat Province,ararat-province,Sayat-Nova,sayat-nova
Armenia,armenia,AM,Ararat Province,ararat-province,Shahumyan,shahumyan
Armenia,armenia,AM,Ararat Province,ararat-province,Sis,sis
Armenia,armenia,AM,Ararat Province,ararat-province,Sisavan,sisavan
Armenia,armenia,AM,Ararat Province,ararat-province,Surenavan,surenavan
Armenia,armenia,AM,Ararat Province,ararat-province,Vedi,vedi
Armenia,armenia,AM,Ararat Province,ararat-province,Verin Artashat,verin-artashat
Armenia,armenia,AM,Ararat Province,ararat-province,Verin Dvin,verin-dvin
Armenia,armenia,AM,Ararat Province,ararat-province,Vosketap,vosketap
Armenia,armenia,AM,Ararat Province,ararat-province,Vostan,vostan
Armenia,armenia,AM,Ararat Province,ararat-province,Yeghegnavan,yeghegnavan
Armenia,armenia,AM,Ararat Province,ararat-province,Zangakatun,zangakatun
Armenia,armenia,AM,Ararat Province,ararat-province,Zorak,zorak
Armenia,armenia,AM,Armavir Region,armavir-region,Aghavnatun,aghavnatun
Armenia,armenia,AM,Armavir Region,armavir-region,Aknalich,aknalich
Armenia,armenia,AM,Armavir Region,armavir-region,Aknashen,aknashen
Armenia,armenia,AM,Armavir Region,armavir-region,Alashkert,alashkert
Armenia,armenia,AM,Armavir Region,armavir-region,Apaga,apaga
Armenia,armenia,AM,Armavir Region,armavir-region,Araks,araks
Armenia,armenia,AM,Armavir Region,armavir-region,Arazap,arazap
Armenia,armenia,AM,Armavir Region,armavir-region,Arbat,arbat
Armenia,armenia,AM,Armavir Region,armavir-region,Arevashat,arevashat
Armenia,armenia,AM,Armavir Region,armavir-region,Arevik,arevik
Armenia,armenia,AM,Armavir Region,armavir-region,Argavand,argavand
Armenia,armenia,AM,Armavir Region,armavir-region,Armavir,armavir
Armenia,armenia,AM,Armavir Region,armavir-region,Arshaluys,arshaluys
Armenia,armenia,AM,Armavir Region,armavir-region,Artimet,artimet
Armenia,armenia,AM,Armavir Region,armavir-region,Aygek,aygek
Armenia,armenia,AM,Armavir Region,armavir-region,Aygeshat,aygeshat
Armenia,armenia,AM,Armavir Region,armavir-region,Baghramyan,baghramyan
Armenia,armenia,AM,Armavir Region,armavir-region,Bambakashat,bambakashat
Armenia,armenia,AM,Armavir Region,armavir-region,Dalarik,dalarik
Armenia,armenia,AM,Armavir Region,armavir-region,Doghs,doghs
Armenia,armenia,AM,Armavir Region,armavir-region,Gay,gay
Armenia,armenia,AM,Armavir Region,armavir-region,Geghakert,geghakert
Armenia,armenia,AM,Armavir Region,armavir-region,Geghanist,geghanist
Armenia,armenia,AM,Armavir Region,armavir-region,Getashen,getashen
Armenia,armenia,AM,Armavir Region,armavir-region,Gmbet,gmbet
Armenia,armenia,AM,Armavir Region,armavir-region,Griboyedov,griboyedov
Armenia,armenia,AM,Armavir Region,armavir-region,Haykashen,haykashen
Armenia,armenia,AM,Armavir Region,armavir-region,Hovtamej,hovtamej
Armenia,armenia,AM,Armavir Region,armavir-region,Janfida,janfida
Armenia,armenia,AM,Armavir Region,armavir-region,Khoronk,khoronk
Armenia,armenia,AM,Armavir Region,armavir-region,Lenughi,lenughi
Armenia,armenia,AM,Armavir Region,armavir-region,Lukashin,lukashin
Armenia,armenia,AM,Armavir Region,armavir-region,Margara,margara
Armenia,armenia,AM,Armavir Region,armavir-region,Mayisyan,mayisyan
Armenia,armenia,AM,Armavir Region,armavir-region,Merdzavan,merdzavan
Armenia,armenia,AM,Armavir Region,armavir-region,Metsamor,metsamor
Armenia,armenia,AM,Armavir Region,armavir-region,Mrgashat,mrgashat
Armenia,armenia,AM,Armavir Region,armavir-region,Musalerr,musalerr
Armenia,armenia,AM,Armavir Region,armavir-region,Myasnikyan,myasnikyan
Armenia,armenia,AM,Armavir Region,armavir-region,Nalbandyan,nalbandyan
Armenia,armenia,AM,Armavir Region,armavir-region,Nor Armavir,nor-armavir
Armenia,armenia,AM,Armavir Region,armavir-region,Norakert,norakert
Armenia,armenia,AM,Armavir Region,armavir-region,Pshatavan,pshatavan
Armenia,armenia,AM,Armavir Region,armavir-region,Ptghunk,ptghunk
Armenia,armenia,AM,Armavir Region,armavir-region,Sardarapat,sardarapat
Armenia,armenia,AM,Armavir Region,armavir-region,Shenavan,shenavan
Armenia,armenia,AM,Armavir Region,armavir-region,Tandzut,tandzut
Armenia,armenia,AM,Armavir Region,armavir-region,Taronik,taronik
Armenia,armenia,AM,Armavir Region,armavir-region,Tsaghkunk,tsaghkunk
Armenia,armenia,AM,Armavir Region,armavir-region,Tsiatsan,tsiatsan
Armenia,armenia,AM,Armavir Region,armavir-region,Vagharshapat,vagharshapat
Armenia,armenia,AM,Armavir Region,armavir-region,Voskehat,voskehat
Armenia,armenia,AM,Armavir Region,armavir-region,Yeghegnut,yeghegnut
Armenia,armenia,AM,Armavir Region,armavir-region,Yeraskhahun,yeraskhahun
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Akunk,akunk
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Astghadzor,astghadzor
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Chambarak,chambarak
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Ddmashen,ddmashen
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Drakhtik,drakhtik
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Dzoragyugh,dzoragyugh
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Gagarin,gagarin
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Gandzak,gandzak
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Gavarr,gavarr
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Geghamasar,geghamasar
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Geghamavan,geghamavan
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Karanlukh,karanlukh
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Karchaghbyur,karchaghbyur
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Lanjaghbyur,lanjaghbyur
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Lchap,lchap
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Lchashen,lchashen
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Lichk,lichk
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Madina,madina
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Martuni,martuni
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Mets Masrik,mets-masrik
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Nerkin Getashen,nerkin-getashen
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Noratus,noratus
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Sarukhan,sarukhan
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Sevan,sevan
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Tsovagyugh,tsovagyugh
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Tsovak,tsovak
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Tsovasar,tsovasar
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Tsovazard,tsovazard
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Tsovinar,tsovinar
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Vaghashen,vaghashen
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Vahan,vahan
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Vardenik,vardenik
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Vardenis,vardenis
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Varser,varser
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Verin Getashen,verin-getashen
Armenia,armenia,AM,Gegharkunik Province,gegharkunik-province,Yeranos,yeranos
Armenia,armenia,AM,Kotayk Region,kotayk-region,Abovyan,abovyan
Armenia,armenia,AM,Kotayk Region,kotayk-region,Aghavnadzor,aghavnadzor
Armenia,armenia,AM,Kotayk Region,kotayk-region,Akunk,akunk
Armenia,armenia,AM,Kotayk Region,kotayk-region,Aramus,aramus
Armenia,armenia,AM,Kotayk Region,kotayk-region,Argel,argel
Armenia,armenia,AM,Kotayk Region,kotayk-region,Arzakan,arzakan
Armenia,armenia,AM,Kotayk Region,kotayk-region,Arzni,arzni
Armenia,armenia,AM,Kotayk Region,kotayk-region,Balahovit,balahovit
Armenia,armenia,AM,Kotayk Region,kotayk-region,Bjni,bjni
Armenia,armenia,AM,Kotayk Region,kotayk-region,Buzhakan,buzhakan
Armenia,armenia,AM,Kotayk Region,kotayk-region,Byureghavan,byureghavan
Armenia,armenia,AM,Kotayk Region,kotayk-region,Dzoraghbyur,dzoraghbyur
Armenia,armenia,AM,Kotayk Region,kotayk-region,Fantan,fantan
Armenia,armenia,AM,Kotayk Region,kotayk-region,Garrni,garrni
Armenia,armenia,AM,Kotayk Region,kotayk-region,Goght,goght
Armenia,armenia,AM,Kotayk Region,kotayk-region,Hrazdan,hrazdan
Armenia,armenia,AM,Kotayk Region,kotayk-region,Kaputan,kaputan
Armenia,armenia,AM,Kotayk Region,kotayk-region,Kotayk,kotayk
Armenia,armenia,AM,Kotayk Region,kotayk-region,Lerrnanist,lerrnanist
Armenia,armenia,AM,Kotayk Region,kotayk-region,Mayakovski,mayakovski
Armenia,armenia,AM,Kotayk Region,kotayk-region,Meghradzor,meghradzor
Armenia,armenia,AM,Kotayk Region,kotayk-region,Mrgashen,mrgashen
Armenia,armenia,AM,Kotayk Region,kotayk-region,Nor Geghi,nor-geghi
Armenia,armenia,AM,Kotayk Region,kotayk-region,Nor Gyugh,nor-gyugh
Armenia,armenia,AM,Kotayk Region,kotayk-region,Prroshyan,prroshyan
Armenia,armenia,AM,Kotayk Region,kotayk-region,Ptghni,ptghni
Armenia,armenia,AM,Kotayk Region,kotayk-region,Solak,solak
Armenia,armenia,AM,Kotayk Region,kotayk-region,Tsaghkadzor,tsaghkadzor
Armenia,armenia,AM,Kotayk Region,kotayk-region,Yeghvard,yeghvard
Armenia,armenia,AM,Kotayk Region,kotayk-region,Zarr,zarr
