s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Argentina,argentina,AR,Buenos Aires,buenos-aires,Balvanera,balvanera
Argentina,argentina,AR,Buenos Aires,buenos-aires,Barracas,barracas
Argentina,argentina,AR,Buenos Aires,buenos-aires,Belgrano,belgrano
Argentina,argentina,AR,Buenos Aires,buenos-aires,Boedo,boedo
Argentina,argentina,AR,Buenos Aires,buenos-aires,Buenos Aires,buenos-aires
Argentina,argentina,AR,Buenos Aires,buenos-aires,Colegiales,colegiales
Argentina,argentina,AR,Buenos Aires,buenos-aires,Retiro,retiro
Argentina,argentina,AR,Buenos Aires,buenos-aires,Villa Lugano,villa-lugano
Argentina,argentina,AR,Buenos Aires,buenos-aires,Villa Ortuzar,villa-ortuzar
Argentina,argentina,AR,Buenos Aires,buenos-aires,Villa Santa Rita,villa-santa-rita
Argentina,argentina,AR,Catamarca Province,catamarca-province,Ancasti,ancasti
Argentina,argentina,AR,Catamarca Province,catamarca-province,Andalgala,andalgala
Argentina,argentina,AR,Catamarca Province,catamarca-province,Antofagasta de la Sierra,antofagasta-de-la-sierra
Argentina,argentina,AR,Catamarca Province,catamarca-province,Capayan,capayan
Argentina,argentina,AR,Catamarca Province,catamarca-province,Departamento de Ambato,departamento-de-ambato
Argentina,argentina,AR,Catamarca Province,catamarca-province,Departamento de Ancasti,departamento-de-ancasti
Argentina,argentina,AR,Catamarca Province,catamarca-province,Departamento de Andalgala,departamento-de-andalgala
Argentina,argentina,AR,Catamarca Province,catamarca-province,Departamento de Antofagasta de la Sierra,departamento-de-antofagasta-de-la-sierra
Argentina,argentina,AR,Catamarca Province,catamarca-province,Departamento de Capayan,departamento-de-capayan
Argentina,argentina,AR,Catamarca Province,catamarca-province,Departamento de Capital,departamento-de-capital
Argentina,argentina,AR,Catamarca Province,catamarca-province,Departamento de El Alto,departamento-de-el-alto
Argentina,argentina,AR,Catamarca Province,catamarca-province,Departamento de Fray Mamerto Esquiu,departamento-de-fray-mamerto-esquiu
Argentina,argentina,AR,Catamarca Province,catamarca-province,Departamento de La Paz,departamento-de-la-paz
Argentina,argentina,AR,Catamarca Province,catamarca-province,Departamento de Poman,departamento-de-poman
Argentina,argentina,AR,Catamarca Province,catamarca-province,Departamento de Santa Maria,departamento-de-santa-maria
Argentina,argentina,AR,Catamarca Province,catamarca-province,Departamento de Santa Rosa,departamento-de-santa-rosa
Argentina,argentina,AR,Catamarca Province,catamarca-province,Departamento de Tinogasta,departamento-de-tinogasta
Argentina,argentina,AR,Catamarca Province,catamarca-province,Departamento de Valle Viejo,departamento-de-valle-viejo
Argentina,argentina,AR,Catamarca Province,catamarca-province,El Rodeo,el-rodeo
Argentina,argentina,AR,Catamarca Province,catamarca-province,Fiambala,fiambala
Argentina,argentina,AR,Catamarca Province,catamarca-province,Hualfin,hualfin
Argentina,argentina,AR,Catamarca Province,catamarca-province,Huillapima,huillapima
Argentina,argentina,AR,Catamarca Province,catamarca-province,Icano,icano
Argentina,argentina,AR,Catamarca Province,catamarca-province,La Puerta de San Jose,la-puerta-de-san-jose
Argentina,argentina,AR,Catamarca Province,catamarca-province,Londres,londres
Argentina,argentina,AR,Catamarca Province,catamarca-province,Los Altos,los-altos
Argentina,argentina,AR,Catamarca Province,catamarca-province,Los Varela,los-varela
Argentina,argentina,AR,Catamarca Province,catamarca-province,Mutquin,mutquin
Argentina,argentina,AR,Catamarca Province,catamarca-province,Poman,poman
Argentina,argentina,AR,Catamarca Province,catamarca-province,Puerta de Corral Quemado,puerta-de-corral-quemado
Argentina,argentina,AR,Catamarca Province,catamarca-province,Recreo,recreo
Argentina,argentina,AR,Catamarca Province,catamarca-province,San Antonio,san-antonio
Argentina,argentina,AR,Catamarca Province,catamarca-province,San Fernando del Valle de Catamarca,san-fernando-del-valle-de-catamarca
Argentina,argentina,AR,Catamarca Province,catamarca-province,Santa Maria,santa-maria
Argentina,argentina,AR,Catamarca Province,catamarca-province,Tinogasta,tinogasta
Argentina,argentina,AR,Chaco Province,chaco-province,Avia Terai,avia-terai
Argentina,argentina,AR,Chaco Province,chaco-province,Barranqueras,barranqueras
Argentina,argentina,AR,Chaco Province,chaco-province,Basail,basail
Argentina,argentina,AR,Chaco Province,chaco-province,Campo Largo,campo-largo
Argentina,argentina,AR,Chaco Province,chaco-province,Capitan Solari,capitan-solari
Argentina,argentina,AR,Chaco Province,chaco-province,Castelli,castelli
Argentina,argentina,AR,Chaco Province,chaco-province,Charadai,charadai
Argentina,argentina,AR,Chaco Province,chaco-province,Charata,charata
Argentina,argentina,AR,Chaco Province,chaco-province,Chorotis,chorotis
Argentina,argentina,AR,Chaco Province,chaco-province,Ciervo Petiso,ciervo-petiso
Argentina,argentina,AR,Chaco Province,chaco-province,Colonia Benitez,colonia-benitez
Argentina,argentina,AR,Chaco Province,chaco-province,Colonia Elisa,colonia-elisa
Argentina,argentina,AR,Chaco Province,chaco-province,Colonias Unidas,colonias-unidas
Argentina,argentina,AR,Chaco Province,chaco-province,Concepcion del Bermejo,concepcion-del-bermejo
Argentina,argentina,AR,Chaco Province,chaco-province,Coronel Du Graty,coronel-du-graty
Argentina,argentina,AR,Chaco Province,chaco-province,Corzuela,corzuela
Argentina,argentina,AR,Chaco Province,chaco-province,Cote-Lai,cote-lai
Argentina,argentina,AR,Chaco Province,chaco-province,Departamento de Almirante Brown,departamento-de-almirante-brown
