s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Austria,austria,AT,Burgenland,burgenland,Andau,andau
Austria,austria,AT,Burgenland,burgenland,Antau,antau
Austria,austria,AT,Burgenland,burgenland,Apetlon,apetlon
Austria,austria,AT,Burgenland,burgenland,Bad Sauerbrunn,bad-sauerbrunn
Austria,austria,AT,Burgenland,burgenland,Bad Tatzmannsdorf,bad-tatzmannsdorf
Austria,austria,AT,Burgenland,burgenland,Badersdorf,badersdorf
Austria,austria,AT,Burgenland,burgenland,Bernstein,bernstein
Austria,austria,AT,Burgenland,burgenland,Bocksdorf,bocksdorf
Austria,austria,AT,Burgenland,burgenland,Breitenbrunn,breitenbrunn
Austria,austria,AT,Burgenland,burgenland,Bruckneudorf,bruckneudorf
Austria,austria,AT,Burgenland,burgenland,Deutsch Jahrndorf,deutsch-jahrndorf
Austria,austria,AT,Burgenland,burgenland,Deutsch Kaltenbrunn,deutsch-kaltenbrunn
Austria,austria,AT,Burgenland,burgenland,Deutschkreutz,deutschkreutz
Austria,austria,AT,Burgenland,burgenland,Donnerskirchen,donnerskirchen
Austria,austria,AT,Burgenland,burgenland,Drassburg,drassburg
Austria,austria,AT,Burgenland,burgenland,Eberau,eberau
Austria,austria,AT,Burgenland,burgenland,Edelstal,edelstal
Austria,austria,AT,Burgenland,burgenland,Eisenstadt,eisenstadt
Austria,austria,AT,Burgenland,burgenland,Eisenstadt Stadt,eisenstadt-stadt
Austria,austria,AT,Burgenland,burgenland,Eisenstadt-Umgebung,eisenstadt-umgebung
Austria,austria,AT,Burgenland,burgenland,Eltendorf,eltendorf
Austria,austria,AT,Burgenland,burgenland,Forchtenstein,forchtenstein
Austria,austria,AT,Burgenland,burgenland,Frauenkirchen,frauenkirchen
Austria,austria,AT,Burgenland,burgenland,Gattendorf,gattendorf
Austria,austria,AT,Burgenland,burgenland,Gols,gols
Austria,austria,AT,Burgenland,burgenland,Grafenschachen,grafenschachen
Austria,austria,AT,Burgenland,burgenland,Grosshoflein,grosshoflein
Austria,austria,AT,Burgenland,burgenland,Grosspetersdorf,grosspetersdorf
Austria,austria,AT,Burgenland,burgenland,Gussing,gussing
Austria,austria,AT,Burgenland,burgenland,Guttenbach,guttenbach
Austria,austria,AT,Burgenland,burgenland,Hackerberg,hackerberg
Austria,austria,AT,Burgenland,burgenland,Halbturn,halbturn
Austria,austria,AT,Burgenland,burgenland,Hannersdorf,hannersdorf
Austria,austria,AT,Burgenland,burgenland,Heiligenbrunn,heiligenbrunn
Austria,austria,AT,Burgenland,burgenland,Heiligenkreuz im Lafnitztal,heiligenkreuz-im-lafnitztal
Austria,austria,AT,Burgenland,burgenland,Heugraben,heugraben
Austria,austria,AT,Burgenland,burgenland,Hirm,hirm
Austria,austria,AT,Burgenland,burgenland,Horitschon,horitschon
Austria,austria,AT,Burgenland,burgenland,Hornstein,hornstein
Austria,austria,AT,Burgenland,burgenland,Illmitz,illmitz
Austria,austria,AT,Burgenland,burgenland,Inzenhof,inzenhof
Austria,austria,AT,Burgenland,burgenland,Jabing,jabing
Austria,austria,AT,Burgenland,burgenland,Jennersdorf,jennersdorf
Austria,austria,AT,Burgenland,burgenland,Jois,jois
Austria,austria,AT,Burgenland,burgenland,Kaisersdorf,kaisersdorf
Austria,austria,AT,Burgenland,burgenland,Kemeten,kemeten
Austria,austria,AT,Burgenland,burgenland,Kittsee,kittsee
Austria,austria,AT,Burgenland,burgenland,Kleinhoflein im Burgenland,kleinhoflein-im-burgenland
Austria,austria,AT,Burgenland,burgenland,Kleinmurbisch,kleinmurbisch
Austria,austria,AT,Burgenland,burgenland,Klingenbach,klingenbach
Austria,austria,AT,Burgenland,burgenland,Kobersdorf,kobersdorf
Austria,austria,AT,Burgenland,burgenland,Kohfidisch,kohfidisch
Austria,austria,AT,Burgenland,burgenland,Konigsdorf,konigsdorf
Austria,austria,AT,Burgenland,burgenland,Krensdorf,krensdorf
Austria,austria,AT,Burgenland,burgenland,Kukmirn,kukmirn
Austria,austria,AT,Burgenland,burgenland,Lackenbach,lackenbach
Austria,austria,AT,Burgenland,burgenland,Lackendorf,lackendorf
Austria,austria,AT,Burgenland,burgenland,Leithaprodersdorf,leithaprodersdorf
