s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Barbados,barbados,BB,Christ Church,christ-church,Oistins,oistins
Barbados,barbados,BB,Saint Andrew,saint-andrew,Greenland,greenland
Barbados,barbados,BB,Saint George,saint-george,Saint George,saint-george
Barbados,barbados,BB,Saint James,saint-james,Holetown,holetown
Barbados,barbados,BB,Saint John,saint-john,Saint John,saint-john
Barbados,barbados,BB,Saint Joseph,saint-joseph,Bathsheba,bathsheba
Barbados,barbados,BB,Saint Lucy,saint-lucy,Saint Lucy,saint-lucy
Barbados,barbados,BB,Saint Michael,saint-michael,Bridgetown,bridgetown
Barbados,barbados,BB,Saint Peter,saint-peter,Speightstown,speightstown
Barbados,barbados,BB,Saint Philip,saint-philip,Crane,crane
Barbados,barbados,BB,Saint Thomas,saint-thomas,Saint Thomas,saint-thomas
