s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Bangladesh,BD,Bagerhat District,bagerhat-district,Bagerhat District,bagerhat-district
Bangladesh,BD,Bahadia,bahadia,Bahadia,bahadia
Bangladesh,BD,Bandarban District,bandarban-district,Bandarban District,bandarban-district
Bangladesh,BD,Barguna District,barguna-district,Barguna District,barguna-district
Bangladesh,BD,Barisal District,barisal-district,Barguna,barguna
Bangladesh,BD,Barisal District,barisal-district,Barisal,barisal
Bangladesh,BD,Barisal District,barisal-district,Barisal,barisal
Bangladesh,BD,Barisal District,barisal-district,Bhandaria,bhandaria
Bangladesh,BD,Barisal District,barisal-district,Bhola,bhola
Bangladesh,BD,Barisal District,barisal-district,Burhanuddin,burhanuddin
Bangladesh,BD,Barisal District,barisal-district,Gaurnadi,gaurnadi
Bangladesh,BD,Barisal District,barisal-district,Jhalokati,jhalokati
Bangladesh,BD,Barisal District,barisal-district,Lalmohan,lalmohan
Bangladesh,BD,Barisal District,barisal-district,Mathba,mathba
Bangladesh,BD,Barisal District,barisal-district,Mehendiganj,mehendiganj
Bangladesh,BD,Barisal District,barisal-district,Nalchiti,nalchiti
Bangladesh,BD,Barisal District,barisal-district,Patuakhali,patuakhali
Bangladesh,BD,Barisal District,barisal-district,Pirojpur,pirojpur
Bangladesh,BD,Barisal Division,barisal-division,Barisal Division,barisal-division
Bangladesh,BD,Bhola District,bhola-district,Bhola District,bhola-district
Bangladesh,BD,Bogra District,bogra-district,Bogra District,bogra-district
Bangladesh,BD,Brahmanbaria District,brahmanbaria-district,Brahmanbaria District,brahmanbaria-district
Bangladesh,BD,Chandpur District,chandpur-district,Chandpur District,chandpur-district
Bangladesh,BD,Chapai Nawabganj District,chapai-nawabganj-district,Chapai Nawabganj District,chapai-nawabganj-district
Bangladesh,BD,Chittagong District,chittagong-district,Chittagong District,chittagong-district
Bangladesh,BD,Chittagong Division,chittagong-division,Bandarban,bandarban
Bangladesh,BD,Chittagong Division,chittagong-division,Bandarban,bandarban
Bangladesh,BD,Chittagong Division,chittagong-division,Bibir Hat,bibir-hat
Bangladesh,BD,Chittagong Division,chittagong-division,Brahmanbaria,brahmanbaria
Bangladesh,BD,Chittagong Division,chittagong-division,Chandpur,chandpur
Bangladesh,BD,Chittagong Division,chittagong-division,Chhagalnaiya,chhagalnaiya
Bangladesh,BD,Chittagong Division,chittagong-division,Chittagong,chittagong
Bangladesh,BD,Chittagong Division,chittagong-division,Comilla,comilla
Bangladesh,BD,Chittagong Division,chittagong-division,Cox's Bazar,coxs-bazar
Bangladesh,BD,Chittagong Division,chittagong-division,Coxs Bazar,coxs-bazar
Bangladesh,BD,Chittagong Division,chittagong-division,Feni,feni
Bangladesh,BD,Chittagong Division,chittagong-division,Hajiganj,hajiganj
Bangladesh,BD,Chittagong Division,chittagong-division,Khagrachhari,khagrachhari
Bangladesh,BD,Chittagong Division,chittagong-division,Laksham,laksham
Bangladesh,BD,Chittagong Division,chittagong-division,Lakshmipur,lakshmipur
Bangladesh,BD,Chittagong Division,chittagong-division,Lakshmipur,lakshmipur
Bangladesh,BD,Chittagong Division,chittagong-division,Manikchari,manikchari
Bangladesh,BD,Chittagong Division,chittagong-division,Nabinagar,nabinagar
Bangladesh,BD,Chittagong Division,chittagong-division,Noakhali,noakhali
Bangladesh,BD,Chittagong Division,chittagong-division,Patiya,patiya
Bangladesh,BD,Chittagong Division,chittagong-division,Raipur,raipur
Bangladesh,BD,Chittagong Division,chittagong-division,Ramganj,ramganj
Bangladesh,BD,Chittagong Division,chittagong-division,Rangamati,rangamati
Bangladesh,BD,Chittagong Division,chittagong-division,Raojan,raojan
Bangladesh,BD,Chittagong Division,chittagong-division,Sandwip,sandwip
