s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Belgium,BE,Antwerp,antwerp,Antwerp,antwerp
Belgium,BE,Brussels-Capital Region,brussels-capital-region,Brussels,brussels
Belgium,BE,East Flanders,east-flanders,East Flanders,east-flanders
Belgium,BE,Flanders,flanders,Aalst,aalst
Belgium,BE,Flanders,flanders,Aalter,aalter
Belgium,BE,Flanders,flanders,Aarschot,aarschot
Belgium,BE,Flanders,flanders,Aartselaar,aartselaar
Belgium,BE,Flanders,flanders,Alken,alken
Belgium,BE,Flanders,flanders,Alveringem,alveringem
Belgium,BE,Flanders,flanders,Antwerpen,antwerpen
Belgium,BE,Flanders,flanders,Anzegem,anzegem
Belgium,BE,Flanders,flanders,Ardooie,ardooie
Belgium,BE,Flanders,flanders,Arendonk,arendonk
Belgium,BE,Flanders,flanders,As,as
Belgium,BE,Flanders,flanders,Asse,asse
Belgium,BE,Flanders,flanders,Assenede,assenede
Belgium,BE,Flanders,flanders,Avelgem,avelgem
Belgium,BE,Flanders,flanders,Baarle-Hertog,baarle-hertog
Belgium,BE,Flanders,flanders,Balen,balen
Belgium,BE,Flanders,flanders,Beernem,beernem
Belgium,BE,Flanders,flanders,Beerse,beerse
Belgium,BE,Flanders,flanders,Beersel,beersel
Belgium,BE,Flanders,flanders,Begijnendijk,begijnendijk
Belgium,BE,Flanders,flanders,Bekkevoort,bekkevoort
Belgium,BE,Flanders,flanders,Beringen,beringen
Belgium,BE,Flanders,flanders,Berlaar,berlaar
Belgium,BE,Flanders,flanders,Berlare,berlare
Belgium,BE,Flanders,flanders,Bertem,bertem
Belgium,BE,Flanders,flanders,Bever,bever
Belgium,BE,Flanders,flanders,Beveren,beveren
Belgium,BE,Flanders,flanders,Bierbeek,bierbeek
Belgium,BE,Flanders,flanders,Bilzen,bilzen
Belgium,BE,Flanders,flanders,Blankenberge,blankenberge
Belgium,BE,Flanders,flanders,Bocholt,bocholt
Belgium,BE,Flanders,flanders,Boechout,boechout
Belgium,BE,Flanders,flanders,Bonheiden,bonheiden
Belgium,BE,Flanders,flanders,Boom,boom
Belgium,BE,Flanders,flanders,Boortmeerbeek,boortmeerbeek
Belgium,BE,Flanders,flanders,Borgloon,borgloon
Belgium,BE,Flanders,flanders,Bornem,bornem
Belgium,BE,Flanders,flanders,Borsbeek,borsbeek
Belgium,BE,Flanders,flanders,Boutersem,boutersem
Belgium,BE,Flanders,flanders,Brasschaat,brasschaat
Belgium,BE,Flanders,flanders,Brecht,brecht
Belgium,BE,Flanders,flanders,Bredene,bredene
Belgium,BE,Flanders,flanders,Bree,bree
Belgium,BE,Flanders,flanders,Brugge,brugge
Belgium,BE,Flanders,flanders,Buggenhout,buggenhout
Belgium,BE,Flanders,flanders,Damme,damme
Belgium,BE,Flanders,flanders,De Haan,de-haan
Belgium,BE,Flanders,flanders,De Panne,de-panne
Belgium,BE,Flanders,flanders,De Pinte,de-pinte
Belgium,BE,Flanders,flanders,Deerlijk,deerlijk
Belgium,BE,Flanders,flanders,Deinze,deinze
Belgium,BE,Flanders,flanders,Denderleeuw,denderleeuw
Belgium,BE,Flanders,flanders,Dendermonde,dendermonde
Belgium,BE,Flanders,flanders,Dentergem,dentergem
Belgium,BE,Flanders,flanders,Dessel,dessel
Belgium,BE,Flanders,flanders,Destelbergen,destelbergen
Belgium,BE,Flanders,flanders,Deurne,deurne
Belgium,BE,Flanders,flanders,Diegem,diegem
Belgium,BE,Flanders,flanders,Diepenbeek,diepenbeek
Belgium,BE,Flanders,flanders,Diest,diest
Belgium,BE,Flanders,flanders,Diksmuide,diksmuide
Belgium,BE,Flanders,flanders,Dilbeek,dilbeek
Belgium,BE,Flanders,flanders,Drogenbos,drogenbos
Belgium,BE,Flanders,flanders,Duffel,duffel
Belgium,BE,Flanders,flanders,Edegem,edegem
Belgium,BE,Flanders,flanders,Eeklo,eeklo
Belgium,BE,Flanders,flanders,Essen,essen
Belgium,BE,Flanders,flanders,Evergem,evergem
Belgium,BE,Flanders,flanders,Galmaarden,galmaarden
Belgium,BE,Flanders,flanders,Gavere,gavere
Belgium,BE,Flanders,flanders,Geel,geel
Belgium,BE,Flanders,flanders,Geetbets,geetbets
Belgium,BE,Flanders,flanders,Genk,genk
Belgium,BE,Flanders,flanders,Gent,gent
Belgium,BE,Flanders,flanders,Geraardsbergen,geraardsbergen
Belgium,BE,Flanders,flanders,Gingelom,gingelom
Belgium,BE,Flanders,flanders,Gistel,gistel
Belgium,BE,Flanders,flanders,Glabbeek,glabbeek
Belgium,BE,Flanders,flanders,Gooik,gooik
Belgium,BE,Flanders,flanders,Grimbergen,grimbergen
Belgium,BE,Flanders,flanders,Grobbendonk,grobbendonk
Belgium,BE,Flanders,flanders,Haacht,haacht
Belgium,BE,Flanders,flanders,Haaltert,haaltert
Belgium,BE,Flanders,flanders,Halen,halen
Belgium,BE,Flanders,flanders,Halle,halle
Belgium,BE,Flanders,flanders,Hamme,hamme
Belgium,BE,Flanders,flanders,Harelbeke,harelbeke
Belgium,BE,Flanders,flanders,Hasselt,hasselt
Belgium,BE,Flanders,flanders,Heers,heers
Belgium,BE,Flanders,flanders,Heist-op-den-Berg,heist-op-den-berg
Belgium,BE,Flanders,flanders,Helchteren,helchteren
Belgium,BE,Flanders,flanders,Hemiksem,hemiksem
Belgium,BE,Flanders,flanders,Herent,herent
Belgium,BE,Flanders,flanders,Herentals,herentals
Belgium,BE,Flanders,flanders,Herenthout,herenthout
Belgium,BE,Flanders,flanders,Herk-de-Stad,herk-de-stad
Belgium,BE,Flanders,flanders,Herne,herne
Belgium,BE,Flanders,flanders,Herselt,herselt
Belgium,BE,Flanders,flanders,Herzele,herzele
Belgium,BE,Flanders,flanders,Heusden,heusden
Belgium,BE,Flanders,flanders,Hoboken,hoboken
Belgium,BE,Flanders,flanders,Hoegaarden,hoegaarden
Belgium,BE,Flanders,flanders,Hoeilaart,hoeilaart
Belgium,BE,Flanders,flanders,Hoeselt,hoeselt
Belgium,BE,Flanders,flanders,Holsbeek,holsbeek
Belgium,BE,Flanders,flanders,Hooglede,hooglede
Belgium,BE,Flanders,flanders,Hoogstraten,hoogstraten
Belgium,BE,Flanders,flanders,Houthalen,houthalen
Belgium,BE,Flanders,flanders,Houthulst,houthulst
Belgium,BE,Flanders,flanders,Hove,hove
Belgium,BE,Flanders,flanders,Huldenberg,huldenberg
Belgium,BE,Flanders,flanders,Hulshout,hulshout
Belgium,BE,Flanders,flanders,Ichtegem,ichtegem
Belgium,BE,Flanders,flanders,Ieper,ieper
Belgium,BE,Flanders,flanders,Ingelmunster,ingelmunster
Belgium,BE,Flanders,flanders,Izegem,izegem
Belgium,BE,Flanders,flanders,Jabbeke,jabbeke
Belgium,BE,Flanders,flanders,Kalmthout,kalmthout
Belgium,BE,Flanders,flanders,Kampenhout,kampenhout
Belgium,BE,Flanders,flanders,Kapelle-op-den-Bos,kapelle-op-den-bos
Belgium,BE,Flanders,flanders,Kapellen,kapellen
Belgium,BE,Flanders,flanders,Kaprijke,kaprijke
Belgium,BE,Flanders,flanders,Kasterlee,kasterlee
Belgium,BE,Flanders,flanders,Keerbergen,keerbergen
Belgium,BE,Flanders,flanders,Kinrooi,kinrooi
Belgium,BE,Flanders,flanders,Knesselare,knesselare
Belgium,BE,Flanders,flanders,Knokke-Heist,knokke-heist
Belgium,BE,Flanders,flanders,Koekelare,koekelare
Belgium,BE,Flanders,flanders,Koksijde,koksijde
Belgium,BE,Flanders,flanders,Kontich,kontich
Belgium,BE,Flanders,flanders,Kortemark,kortemark
Belgium,BE,Flanders,flanders,Kortenaken,kortenaken
Belgium,BE,Flanders,flanders,Kortenberg,kortenberg
Belgium,BE,Flanders,flanders,Kortessem,kortessem
Belgium,BE,Flanders,flanders,Kortrijk,kortrijk
Belgium,BE,Flanders,flanders,Kraainem,kraainem
Belgium,BE,Flanders,flanders,Kruibeke,kruibeke
