s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Burkina Faso,BF,Bale Province,bale-province,Bale Province,bale-province
Burkina Faso,BF,Bam Province,bam-province,Bam Province,bam-province
Burkina Faso,BF,Banwa Province,banwa-province,Banwa Province,banwa-province
Burkina Faso,BF,Bazega Province,bazega-province,Bazega Province,bazega-province
Burkina Faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Barani,barani
Burkina Faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Boromo,boromo
Burkina Faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Dedougou,dedougou
Burkina Faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Nouna,nouna
Burkina Faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Province de la Kossi,province-de-la-kossi
Burkina Faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Province des Bale,province-des-bale
Burkina Faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Province des Banwa,province-des-banwa
Burkina Faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Province du Mouhoun,province-du-mouhoun
Burkina Faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Province du Nayala,province-du-nayala
Burkina Faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Province du Sourou,province-du-sourou
Burkina Faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Salanso,salanso
Burkina Faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Toma,toma
Burkina Faso,BF,Boucle du Mouhoun Region,boucle-du-mouhoun-region,Tougan,tougan
Burkina Faso,BF,Bougouriba Province,bougouriba-province,Bougouriba Province,bougouriba-province
Burkina Faso,BF,Boulgou,boulgou,Boulgou,boulgou
Burkina Faso,BF,Cascades Region,cascades-region,Banfora,banfora
Burkina Faso,BF,Cascades Region,cascades-region,Province de la Comoe,province-de-la-comoe
Burkina Faso,BF,Cascades Region,cascades-region,Province de la Leraba,province-de-la-leraba
Burkina Faso,BF,Cascades Region,cascades-region,Sindou,sindou
Burkina Faso,BF,Centre,centre,Kadiogo Province,kadiogo-province
Burkina Faso,BF,Centre,centre,Ouagadougou,ouagadougou
Burkina Faso,BF,Centre-Est Region,centre-est-region,Garango,garango
Burkina Faso,BF,Centre-Est Region,centre-est-region,Koupela,koupela
Burkina Faso,BF,Centre-Est Region,centre-est-region,Kouritenga Province,kouritenga-province
Burkina Faso,BF,Centre-Est Region,centre-est-region,Ouargaye,ouargaye
Burkina Faso,BF,Centre-Est Region,centre-est-region,Province du Boulgou,province-du-boulgou
Burkina Faso,BF,Centre-Est Region,centre-est-region,Province du Koulpelogo,province-du-koulpelogo
Burkina Faso,BF,Centre-Est Region,centre-est-region,Tenkodogo,tenkodogo
Burkina Faso,BF,Centre-Nord Region,centre-nord-region,Boulsa,boulsa
Burkina Faso,BF,Centre-Nord Region,centre-nord-region,Kaya,kaya
Burkina Faso,BF,Centre-Nord Region,centre-nord-region,Kongoussi,kongoussi
Burkina Faso,BF,Centre-Nord Region,centre-nord-region,Province du Bam,province-du-bam
Burkina Faso,BF,Centre-Nord Region,centre-nord-region,Province du Namentenga,province-du-namentenga
Burkina Faso,BF,Centre-Nord Region,centre-nord-region,Province du Sanmatenga,province-du-sanmatenga
Burkina Faso,BF,Centre-Ouest Region,centre-ouest-region,Gouloure,gouloure
Burkina Faso,BF,Centre-Ouest Region,centre-ouest-region,Kokologo,kokologo
Burkina Faso,BF,Centre-Ouest Region,centre-ouest-region,Koudougou,koudougou
Burkina Faso,BF,Centre-Ouest Region,centre-ouest-region,Leo,leo
Burkina Faso,BF,Centre-Ouest Region,centre-ouest-region,Pitmoaga,pitmoaga
Burkina Faso,BF,Centre-Ouest Region,centre-ouest-region,Province de la Sissili,province-de-la-sissili
Burkina Faso,BF,Centre-Ouest Region,centre-ouest-region,Province du Boulkiemde,province-du-boulkiemde
Burkina Faso,BF,Centre-Ouest Region,centre-ouest-region,Province du Sanguie,province-du-sanguie
Burkina Faso,BF,Centre-Ouest Region,centre-ouest-region,Province du Ziro,province-du-ziro
Burkina Faso,BF,Centre-Ouest Region,centre-ouest-region,Reo,reo
Burkina Faso,BF,Centre-Ouest Region,centre-ouest-region,Sapouy,sapouy
Burkina Faso,BF,Centre-Sud Region,centre-sud-region,Bazega Province,bazega-province
Burkina Faso,BF,Centre-Sud Region,centre-sud-region,Kombissiri,kombissiri
Burkina Faso,BF,Centre-Sud Region,centre-sud-region,Manga,manga
Burkina Faso,BF,Centre-Sud Region,centre-sud-region,Nahouri Province,nahouri-province
Burkina Faso,BF,Centre-Sud Region,centre-sud-region,Po,po
Burkina Faso,BF,Centre-Sud Region,centre-sud-region,Zoundweogo Province,zoundweogo-province
Burkina Faso,BF,Comoe Province,comoe-province,Comoe Province,comoe-province
Burkina Faso,BF,Est Region,est-region,Bogande,bogande
Burkina Faso,BF,Est Region,est-region,Diapaga,diapaga
Burkina Faso,BF,Est Region,est-region,Fada N'gourma,fada-ngourma
Burkina Faso,BF,Est Region,est-region,Gayeri,gayeri
Burkina Faso,BF,Est Region,est-region,Gnagna Province,gnagna-province
Burkina Faso,BF,Est Region,est-region,Pama,pama
Burkina Faso,BF,Est Region,est-region,Province de la Komandjoari,province-de-la-komandjoari
Burkina Faso,BF,Est Region,est-region,Province de la Kompienga,province-de-la-kompienga
Burkina Faso,BF,Est Region,est-region,Province de la Tapoa,province-de-la-tapoa
Burkina Faso,BF,Est Region,est-region,Province du Gourma,province-du-gourma
Burkina Faso,BF,Ganzourgou Province,ganzourgou-province,Ganzourgou Province,ganzourgou-province
Burkina Faso,BF,Gnagna Province,gnagna-province,Gnagna Province,gnagna-province
Burkina Faso,BF,Gourma Province,gourma-province,Gourma Province,gourma-province
Burkina Faso,BF,Hauts-Bassins Region,hauts-bassins-region,Bobo-Dioulasso,bobo-dioulasso
Burkina Faso,BF,Hauts-Bassins Region,hauts-bassins-region,Hounde,hounde
Burkina Faso,BF,Hauts-Bassins Region,hauts-bassins-region,Province du Houet,province-du-houet
Burkina Faso,BF,Hauts-Bassins Region,hauts-bassins-region,Province du Kenedougou,province-du-kenedougou
Burkina Faso,BF,Hauts-Bassins Region,hauts-bassins-region,Province du Tuy,province-du-tuy
Burkina Faso,BF,Houet Province,houet-province,Houet Province,houet-province
Burkina Faso,BF,Ioba Province,ioba-province,Ioba Province,ioba-province
Burkina Faso,BF,Kadiogo Province,kadiogo-province,Kadiogo Province,kadiogo-province
Burkina Faso,BF,Kenedougou Province,kenedougou-province,Kenedougou Province,kenedougou-province
Burkina Faso,BF,Komondjari Province,komondjari-province,Komondjari Province,komondjari-province
Burkina Faso,BF,Kompienga Province,kompienga-province,Kompienga Province,kompienga-province
Burkina Faso,BF,Kossi Province,kossi-province,Kossi Province,kossi-province
Burkina Faso,BF,Koulpelogo Province,koulpelogo-province,Koulpelogo Province,koulpelogo-province
Burkina Faso,BF,Kouritenga Province,kouritenga-province,Kouritenga Province,kouritenga-province
Burkina Faso,BF,Kourweogo Province,kourweogo-province,Kourweogo Province,kourweogo-province
Burkina Faso,BF,Leraba Province,leraba-province,Leraba Province,leraba-province
Burkina Faso,BF,Loroum Province,loroum-province,Loroum Province,loroum-province
Burkina Faso,BF,Mouhoun,mouhoun,Mouhoun,mouhoun
Burkina Faso,BF,Nahouri Province,nahouri-province,Nahouri Province,nahouri-province
Burkina Faso,BF,Namentenga Province,namentenga-province,Namentenga Province,namentenga-province
Burkina Faso,BF,Nayala Province,nayala-province,Nayala Province,nayala-province
Burkina Faso,BF,"Nord Region, Burkina Faso",nord-region-burkina-faso,Gourcy,gourcy
Burkina Faso,BF,"Nord Region, Burkina Faso",nord-region-burkina-faso,Ouahigouya,ouahigouya
Burkina Faso,BF,"Nord Region, Burkina Faso",nord-region-burkina-faso,Province du Loroum,province-du-loroum
Burkina Faso,BF,"Nord Region, Burkina Faso",nord-region-burkina-faso,Province du Passore,province-du-passore
Burkina Faso,BF,"Nord Region, Burkina Faso",nord-region-burkina-faso,Province du Yatenga,province-du-yatenga
Burkina Faso,BF,"Nord Region, Burkina Faso",nord-region-burkina-faso,Province du Zondoma,province-du-zondoma
Burkina Faso,BF,"Nord Region, Burkina Faso",nord-region-burkina-faso,Titao,titao
Burkina Faso,BF,"Nord Region, Burkina Faso",nord-region-burkina-faso,Yako,yako
Burkina Faso,BF,Noumbiel Province,noumbiel-province,Noumbiel Province,noumbiel-province
Burkina Faso,BF,Oubritenga Province,oubritenga-province,Oubritenga Province,oubritenga-province
Burkina Faso,BF,Oudalan Province,oudalan-province,Oudalan Province,oudalan-province
Burkina Faso,BF,Passore Province,passore-province,Passore Province,passore-province
Burkina Faso,BF,Plateau-Central Region,plateau-central-region,Bousse,bousse
Burkina Faso,BF,Plateau-Central Region,plateau-central-region,Oubritenga,oubritenga
Burkina Faso,BF,Plateau-Central Region,plateau-central-region,Province du Ganzourgou,province-du-ganzourgou
Burkina Faso,BF,Plateau-Central Region,plateau-central-region,Province du Kourweogo,province-du-kourweogo
Burkina Faso,BF,Plateau-Central Region,plateau-central-region,Ziniare,ziniare
Burkina Faso,BF,Plateau-Central Region,plateau-central-region,Zorgo,zorgo
Burkina Faso,BF,Poni Province,poni-province,Poni Province,poni-province
Burkina Faso,BF,Sahel Region,sahel-region,Djibo,djibo
Burkina Faso,BF,Sahel Region,sahel-region,Dori,dori
Burkina Faso,BF,Sahel Region,sahel-region,Gorom-Gorom,gorom-gorom
Burkina Faso,BF,Sahel Region,sahel-region,Province de lOudalan,province-de-loudalan
Burkina Faso,BF,Sahel Region,sahel-region,Province du Seno,province-du-seno
Burkina Faso,BF,Sahel Region,sahel-region,Province du Soum,province-du-soum
Burkina Faso,BF,Sahel Region,sahel-region,Province du Yagha,province-du-yagha
Burkina Faso,BF,Sanguie Province,sanguie-province,Sanguie Province,sanguie-province
Burkina Faso,BF,Sanmatenga Province,sanmatenga-province,Sanmatenga Province,sanmatenga-province
Burkina Faso,BF,Seno Province,seno-province,Seno Province,seno-province
Burkina Faso,BF,Sissili Province,sissili-province,Sissili Province,sissili-province
Burkina Faso,BF,Soum Province,soum-province,Soum Province,soum-province
Burkina Faso,BF,Sourou Province,sourou-province,Sourou Province,sourou-province
Burkina Faso,BF,Sud-Ouest Region,sud-ouest-region,Batie,batie
Burkina Faso,BF,Sud-Ouest Region,sud-ouest-region,Dano,dano
Burkina Faso,BF,Sud-Ouest Region,sud-ouest-region,Diebougou,diebougou
Burkina Faso,BF,Sud-Ouest Region,sud-ouest-region,Province de la Bougouriba,province-de-la-bougouriba
Burkina Faso,BF,Sud-Ouest Region,sud-ouest-region,Province du Ioba,province-du-ioba
Burkina Faso,BF,Sud-Ouest Region,sud-ouest-region,Province du Noumbiel,province-du-noumbiel
Burkina Faso,BF,Sud-Ouest Region,sud-ouest-region,Province du Poni,province-du-poni
Burkina Faso,BF,Tapoa Province,tapoa-province,Tapoa Province,tapoa-province
Burkina Faso,BF,Tuy Province,tuy-province,Tuy Province,tuy-province
Burkina Faso,BF,Yagha Province,yagha-province,Yagha Province,yagha-province
Burkina Faso,BF,Yatenga Province,yatenga-province,Yatenga Province,yatenga-province
Burkina Faso,BF,Ziro Province,ziro-province,Ziro Province,ziro-province
Burkina Faso,BF,Zondoma Province,zondoma-province,Zondoma Province,zondoma-province
Burkina Faso,BF,Zoundweogo Province,zoundweogo-province,Zoundweogo Province,zoundweogo-province
