s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Bahrain,bahrain,BH,Capital Governorate,capital-governorate,Jidd Hafs,jidd-hafs
Bahrain,bahrain,BH,Capital Governorate,capital-governorate,Manama,manama
Bahrain,bahrain,BH,Capital Governorate,capital-governorate,Sitrah,sitrah
Bahrain,bahrain,BH,Central Governorate,central-governorate,Madinat Hamad,madinat-hamad
Bahrain,bahrain,BH,Muharraq Governorate,muharraq-governorate,Al Hadd,al-hadd
Bahrain,bahrain,BH,Muharraq Governorate,muharraq-governorate,Al Muharraq,al-muharraq
Bahrain,bahrain,BH,Northern Governorate,northern-governorate,Northern Governorate,northern-governorate
Bahrain,bahrain,BH,Southern Governorate,southern-governorate,Ar Rifa,ar-rifa
Bahrain,bahrain,BH,Southern Governorate,southern-governorate,Dar Kulayb,dar-kulayb
Bahrain,bahrain,BH,Southern Governorate,southern-governorate,Madinat Isa,madinat-isa
