s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Benin,benin,BJ,Alibori Department,alibori-department,Banikoara,banikoara
Benin,benin,BJ,Alibori Department,alibori-department,Kandi,kandi
Benin,benin,BJ,Alibori Department,alibori-department,Malanville,malanville
Benin,benin,BJ,Atakora Department,atakora-department,Guilmaro,guilmaro
Benin,benin,BJ,Atakora Department,atakora-department,Natitingou,natitingou
Benin,benin,BJ,Atakora Department,atakora-department,Tanguieta,tanguieta
Benin,benin,BJ,Atakora Department,atakora-department,Tanguieta,tanguieta
Benin,benin,BJ,Atlantique Department,atlantique-department,Abomey-Calavi,abomey-calavi
Benin,benin,BJ,Atlantique Department,atlantique-department,Allada,allada
Benin,benin,BJ,Atlantique Department,atlantique-department,Hevie,hevie
Benin,benin,BJ,Atlantique Department,atlantique-department,Hinvi,hinvi
Benin,benin,BJ,Atlantique Department,atlantique-department,Ouidah,ouidah
Benin,benin,BJ,Borgou Department,borgou-department,Bembereke,bembereke
Benin,benin,BJ,Borgou Department,borgou-department,Beterou,beterou
Benin,benin,BJ,Borgou Department,borgou-department,Nikki,nikki
Benin,benin,BJ,Borgou Department,borgou-department,Parakou,parakou
Benin,benin,BJ,Borgou Department,borgou-department,Tchaourou,tchaourou
Benin,benin,BJ,Collines Department,collines-department,Come,come
Benin,benin,BJ,Collines Department,collines-department,Dassa-Zoume,dassa-zoume
Benin,benin,BJ,Collines Department,collines-department,Savalou,savalou
Benin,benin,BJ,Collines Department,collines-department,Save,save
Benin,benin,BJ,Donga Department,donga-department,Bassila,bassila
Benin,benin,BJ,Donga Department,donga-department,Commune of Djougou,commune-of-djougou
Benin,benin,BJ,Donga Department,donga-department,Djougou,djougou
Benin,benin,BJ,Kouffo Department,kouffo-department,Djakotomey,djakotomey
Benin,benin,BJ,Kouffo Department,kouffo-department,Dogbo,dogbo
Benin,benin,BJ,Littoral Department,littoral-department,Cotonou,cotonou
Benin,benin,BJ,Mono Department,mono-department,Commune of Athieme,commune-of-athieme
Benin,benin,BJ,Mono Department,mono-department,Lokossa,lokossa
Benin,benin,BJ,Oueme Department,oueme-department,Porto-Novo,porto-novo
Benin,benin,BJ,Plateau Department,plateau-department,Ketou,ketou
Benin,benin,BJ,Plateau Department,plateau-department,Pobe,pobe
Benin,benin,BJ,Plateau Department,plateau-department,Sakete,sakete
Benin,benin,BJ,Zou Department,zou-department,Abomey,abomey
Benin,benin,BJ,Zou Department,zou-department,Bohicon,bohicon
Benin,benin,BJ,Zou Department,zou-department,Commune of Agbangnizoun,commune-of-agbangnizoun
Benin,benin,BJ,Zou Department,zou-department,Cove,cove
