s_country_name,s_country_slug,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Bolivia,bolivia,BO,Beni Department,beni-department,Guayaramerin,guayaramerin
Bolivia,bolivia,BO,Beni Department,beni-department,Provincia Cercado,provincia-cercado
Bolivia,bolivia,BO,Beni Department,beni-department,Provincia General Jose Ballivian,provincia-general-jose-ballivian
Bolivia,bolivia,BO,Beni Department,beni-department,Provincia Itenez,provincia-itenez
Bolivia,bolivia,BO,Beni Department,beni-department,Provincia Mamore,provincia-mamore
Bolivia,bolivia,BO,Beni Department,beni-department,Provincia Marban,provincia-marban
Bolivia,bolivia,BO,Beni Department,beni-department,Provincia Moxos,provincia-moxos
Bolivia,bolivia,BO,Beni Department,beni-department,Provincia Vaca Diez,provincia-vaca-diez
Bolivia,bolivia,BO,Beni Department,beni-department,Provincia Yacuma,provincia-yacuma
Bolivia,bolivia,BO,Beni Department,beni-department,Reyes,reyes
Bolivia,bolivia,BO,Beni Department,beni-department,Riberalta,riberalta
Bolivia,bolivia,BO,Beni Department,beni-department,Rurrenabaque,rurrenabaque
Bolivia,bolivia,BO,Beni Department,beni-department,San Borja,san-borja
Bolivia,bolivia,BO,Beni Department,beni-department,San Ramon,san-ramon
Bolivia,bolivia,BO,Beni Department,beni-department,Santa Ana de Yacuma,santa-ana-de-yacuma
Bolivia,bolivia,BO,Beni Department,beni-department,Santa Rosa,santa-rosa
Bolivia,bolivia,BO,Beni Department,beni-department,Trinidad,trinidad
Bolivia,bolivia,BO,Chuquisaca Department,chuquisaca-department,Camargo,camargo
Bolivia,bolivia,BO,Chuquisaca Department,chuquisaca-department,Monteagudo,monteagudo
Bolivia,bolivia,BO,Chuquisaca Department,chuquisaca-department,Padilla,padilla
Bolivia,bolivia,BO,Chuquisaca Department,chuquisaca-department,Provincia Azurduy,provincia-azurduy
Bolivia,bolivia,BO,Chuquisaca Department,chuquisaca-department,Provincia Belisario Boeto,provincia-belisario-boeto
Bolivia,bolivia,BO,Chuquisaca Department,chuquisaca-department,Provincia Hernando Siles,provincia-hernando-siles
Bolivia,bolivia,BO,Chuquisaca Department,chuquisaca-department,Provincia Luis Calvo,provincia-luis-calvo
Bolivia,bolivia,BO,Chuquisaca Department,chuquisaca-department,Provincia Nor Cinti,provincia-nor-cinti
Bolivia,bolivia,BO,Chuquisaca Department,chuquisaca-department,Provincia Oropeza,provincia-oropeza
Bolivia,bolivia,BO,Chuquisaca Department,chuquisaca-department,Provincia Sud Cinti,provincia-sud-cinti
Bolivia,bolivia,BO,Chuquisaca Department,chuquisaca-department,Provincia Tomina,provincia-tomina
Bolivia,bolivia,BO,Chuquisaca Department,chuquisaca-department,Provincia Yamparaez,provincia-yamparaez
Bolivia,bolivia,BO,Chuquisaca Department,chuquisaca-department,Provincia Zudanez,provincia-zudanez
Bolivia,bolivia,BO,Chuquisaca Department,chuquisaca-department,Sucre,sucre
Bolivia,bolivia,BO,Chuquisaca Department,chuquisaca-department,Tarabuco,tarabuco
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Aiquile,aiquile
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Arani,arani
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Bolivar,bolivar
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Capinota,capinota
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Chimore,chimore
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Cliza,cliza
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Cochabamba,cochabamba
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Colchani,colchani
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Colomi,colomi
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Independencia,independencia
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Irpa Irpa,irpa-irpa
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Mizque,mizque
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Provincia Arani,provincia-arani
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Provincia Arque,provincia-arque
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Provincia Ayopaya,provincia-ayopaya
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Provincia Campero,provincia-campero
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Provincia Capinota,provincia-capinota
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Provincia Carrasco,provincia-carrasco
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Provincia Cercado,provincia-cercado
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Provincia Chapare,provincia-chapare
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Provincia Esteban Arce,provincia-esteban-arce
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Provincia German Jordan,provincia-german-jordan
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Provincia Mizque,provincia-mizque
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Provincia Punata,provincia-punata
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Provincia Quillacollo,provincia-quillacollo
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Provincia Tapacari,provincia-tapacari
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Punata,punata
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Quillacollo,quillacollo
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Sacaba,sacaba
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Sipe Sipe,sipe-sipe
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Tarata,tarata
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Tiquipaya,tiquipaya
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Tiraque Province,tiraque-province
Bolivia,bolivia,BO,Cochabamba Department,cochabamba-department,Totora,totora
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Achacachi,achacachi
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Amarete,amarete
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Batallas,batallas
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Caranavi,caranavi
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Chulumani,chulumani
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Colquiri,colquiri
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Coripata,coripata
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Coroico,coroico
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Curahuara de Carangas,curahuara-de-carangas
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Eucaliptus,eucaliptus
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Guanay,guanay
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Huarina,huarina
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Huatajata,huatajata
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Jose Manuel Pando,jose-manuel-pando
Bolivia,bolivia,BO,La Paz Department,la-paz-department,La Paz,la-paz
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Lahuachaca,lahuachaca
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Mapiri,mapiri
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Patacamaya,patacamaya
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Provincia Aroma,provincia-aroma
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Provincia Bautista Saavedra,provincia-bautista-saavedra
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Provincia Camacho,provincia-camacho
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Provincia Franz Tamayo,provincia-franz-tamayo
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Provincia Gualberto Villarroel,provincia-gualberto-villarroel
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Provincia Ingavi,provincia-ingavi
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Provincia Inquisivi,provincia-inquisivi
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Provincia Iturralde,provincia-iturralde
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Provincia Larecaja,provincia-larecaja
Bolivia,bolivia,BO,La Paz Department,la-paz-department,Provincia Loayza,provincia-loayza
