s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Brazil,BR,Acre,acre,Acrelandia,acrelandia
Brazil,BR,Acre,acre,Assis Brasil,assis-brasil
Brazil,BR,Acre,acre,Brasileia,brasileia
Brazil,BR,Acre,acre,Bujari,bujari
Brazil,BR,Acre,acre,Capixaba,capixaba
Brazil,BR,Acre,acre,Cruzeiro do Sul,cruzeiro-do-sul
Brazil,BR,Acre,acre,Epitaciolandia,epitaciolandia
Brazil,BR,Acre,acre,Feijo,feijo
Brazil,BR,Acre,acre,Jordao,jordao
Brazil,BR,Acre,acre,Mancio Lima,mancio-lima
Brazil,BR,Acre,acre,Manoel Urbano,manoel-urbano
Brazil,BR,Acre,acre,Marechal Thaumaturgo,marechal-thaumaturgo
Brazil,BR,Acre,acre,Placido de Castro,placido-de-castro
Brazil,BR,Acre,acre,Porto Acre,porto-acre
Brazil,BR,Acre,acre,Porto Walter,porto-walter
Brazil,BR,Acre,acre,Rio Branco,rio-branco
Brazil,BR,Acre,acre,Rodrigues Alves,rodrigues-alves
Brazil,BR,Acre,acre,Santa Rosa do Purus,santa-rosa-do-purus
Brazil,BR,Acre,acre,Sena Madureira,sena-madureira
Brazil,BR,Acre,acre,Senador Guiomard,senador-guiomard
Brazil,BR,Acre,acre,Tarauaca,tarauaca
Brazil,BR,Acre,acre,Xapuri,xapuri
Brazil,BR,Alagoas,alagoas,Agua Branca,agua-branca
Brazil,BR,Alagoas,alagoas,Anadia,anadia
Brazil,BR,Alagoas,alagoas,Arapiraca,arapiraca
Brazil,BR,Alagoas,alagoas,Atalaia,atalaia
Brazil,BR,Alagoas,alagoas,Barra de Santo Antonio,barra-de-santo-antonio
Brazil,BR,Alagoas,alagoas,Barra de Sao Miguel,barra-de-sao-miguel
Brazil,BR,Alagoas,alagoas,Batalha,batalha
Brazil,BR,Alagoas,alagoas,Belem,belem
Brazil,BR,Alagoas,alagoas,Belo Monte,belo-monte
Brazil,BR,Alagoas,alagoas,Boca da Mata,boca-da-mata
Brazil,BR,Alagoas,alagoas,Branquinha,branquinha
Brazil,BR,Alagoas,alagoas,Cacimbinhas,cacimbinhas
Brazil,BR,Alagoas,alagoas,Cajueiro,cajueiro
Brazil,BR,Alagoas,alagoas,Campestre,campestre
Brazil,BR,Alagoas,alagoas,Campo Alegre,campo-alegre
Brazil,BR,Alagoas,alagoas,Campo Grande,campo-grande
Brazil,BR,Alagoas,alagoas,Canapi,canapi
Brazil,BR,Alagoas,alagoas,Capela,capela
Brazil,BR,Alagoas,alagoas,Carneiros,carneiros
Brazil,BR,Alagoas,alagoas,Cha Preta,cha-preta
Brazil,BR,Alagoas,alagoas,Coite do Noia,coite-do-noia
