s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Bhutan,BT,Bumthang District,bumthang-district,Jakar,jakar
Bhutan,BT,Chukha District,chukha-district,Daphu,daphu
Bhutan,BT,Chukha District,chukha-district,Phuntsholing,phuntsholing
Bhutan,BT,Chukha District,chukha-district,Tsimasham,tsimasham
Bhutan,BT,Dagana District,dagana-district,Daga,daga
Bhutan,BT,Dagana District,dagana-district,Wangdue Phodrang,wangdue-phodrang
Bhutan,BT,Gasa District,gasa-district,Gasa,gasa
Bhutan,BT,Haa District,haa-district,Ha,ha
Bhutan,BT,Lhuntse District,lhuntse-district,Lhuentse,lhuentse
Bhutan,BT,Mongar District,mongar-district,Mongar,mongar
Bhutan,BT,Paro District,paro-district,Paro,paro
Bhutan,BT,Pemagatshel District,pemagatshel-district,Pemagatshel,pemagatshel
Bhutan,BT,Punakha District,punakha-district,Pajo,pajo
Bhutan,BT,Punakha District,punakha-district,Punakha,punakha
Bhutan,BT,Samdrup Jongkhar District,samdrup-jongkhar-district,Samdrup Jongkhar,samdrup-jongkhar
Bhutan,BT,Samtse District,samtse-district,Samtse,samtse
Bhutan,BT,Sarpang District,sarpang-district,Sarpang,sarpang
Bhutan,BT,Thimphu District,thimphu-district,Thimphu,thimphu
Bhutan,BT,Trashigang District,trashigang-district,Trashigang,trashigang
Bhutan,BT,Trongsa District,trongsa-district,Trongsa District,trongsa-district
Bhutan,BT,Tsirang District,tsirang-district,Trongsa,trongsa
Bhutan,BT,Tsirang District,tsirang-district,Tsirang,tsirang
Bhutan,BT,Wangdue Phodrang District,wangdue-phodrang-district,Trashi Yangtse,trashi-yangtse
Bhutan,BT,Zhemgang District,zhemgang-district,Panbang,panbang
Bhutan,BT,Zhemgang District,zhemgang-district,Shemgang,shemgang
