s_country_name,s_country_code_iso2,s_region_name,s_region_slug,s_city_name,s_city_slug
Botswana,BW,Central District,central-district,Gobojango,gobojango
Botswana,BW,Central District,central-district,Gweta,gweta
Botswana,BW,Central District,central-district,Kalamare,kalamare
Botswana,BW,Central District,central-district,Letlhakane,letlhakane
Botswana,BW,Central District,central-district,Letsheng,letsheng
Botswana,BW,Central District,central-district,Maapi,maapi
Botswana,BW,Central District,central-district,Machaneng,machaneng
Botswana,BW,Central District,central-district,Mahalapye,mahalapye
Botswana,BW,Central District,central-district,Makobeng,makobeng
Botswana,BW,Central District,central-district,Makwata,makwata
Botswana,BW,Central District,central-district,Mathakola,mathakola
Botswana,BW,Central District,central-district,Mathambgwane,mathambgwane
Botswana,BW,Central District,central-district,Mathathane,mathathane
Botswana,BW,Central District,central-district,Maunatlala,maunatlala
Botswana,BW,Central District,central-district,Mogapi,mogapi
Botswana,BW,Central District,central-district,Moijabana,moijabana
Botswana,BW,Central District,central-district,Mookane,mookane
Botswana,BW,Central District,central-district,Mopipi,mopipi
Botswana,BW,Central District,central-district,Mosetse,mosetse
Botswana,BW,Central District,central-district,Nata,nata
Botswana,BW,Central District,central-district,Orapa,orapa
Botswana,BW,Central District,central-district,Palapye,palapye
Botswana,BW,Central District,central-district,Pilikwe,pilikwe
Botswana,BW,Central District,central-district,Rakops,rakops
Botswana,BW,Central District,central-district,Ramokgonami,ramokgonami
Botswana,BW,Central District,central-district,Ratholo,ratholo
Botswana,BW,Central District,central-district,Sefophe,sefophe
Botswana,BW,Central District,central-district,Serowe,serowe
Botswana,BW,Central District,central-district,Sua,sua
Botswana,BW,Central District,central-district,Tamasane,tamasane
Botswana,BW,Central District,central-district,Tobane,tobane
Botswana,BW,Central District,central-district,Tonota,tonota
Botswana,BW,Ghanzi District,ghanzi-district,Dekar,dekar
Botswana,BW,Ghanzi District,ghanzi-district,Ghanzi,ghanzi
Botswana,BW,Kgalagadi District,kgalagadi-district,Hukuntsi,hukuntsi
Botswana,BW,Kgalagadi District,kgalagadi-district,Kang,kang
Botswana,BW,Kgalagadi District,kgalagadi-district,Lehututu,lehututu
Botswana,BW,Kgalagadi District,kgalagadi-district,Manyana,manyana
Botswana,BW,Kgalagadi District,kgalagadi-district,Tshabong,tshabong
Botswana,BW,Kgalagadi District,kgalagadi-district,Werda,werda
Botswana,BW,Kgatleng District,kgatleng-district,Bokaa,bokaa
Botswana,BW,Kgatleng District,kgatleng-district,Mmathubudukwane,mmathubudukwane
Botswana,BW,Kgatleng District,kgatleng-district,Mochudi,mochudi
Botswana,BW,Kgatleng District,kgatleng-district,Pilane,pilane
Botswana,BW,Kweneng District,kweneng-district,Botlhapatlou,botlhapatlou
Botswana,BW,Kweneng District,kweneng-district,Dutlwe,dutlwe
Botswana,BW,Kweneng District,kweneng-district,Gabane,gabane
Botswana,BW,Kweneng District,kweneng-district,Gaphatshwe,gaphatshwe
Botswana,BW,Kweneng District,kweneng-district,Khudumelapye,khudumelapye
Botswana,BW,Kweneng District,kweneng-district,Lenchwe Le Tau,lenchwe-le-tau
Botswana,BW,Kweneng District,kweneng-district,Letlhakeng,letlhakeng
Botswana,BW,Kweneng District,kweneng-district,Metsemotlhaba,metsemotlhaba
Botswana,BW,Kweneng District,kweneng-district,Mmopone,mmopone
Botswana,BW,Kweneng District,kweneng-district,Mogoditshane,mogoditshane
Botswana,BW,Kweneng District,kweneng-district,Molepolole,molepolole
Botswana,BW,Kweneng District,kweneng-district,Nkoyaphiri,nkoyaphiri
Botswana,BW,Kweneng District,kweneng-district,Thamaga,thamaga
Botswana,BW,Ngamiland,ngamiland,Ngamiland,ngamiland
Botswana,BW,North-East District,north-east-district,Dukwe,dukwe
Botswana,BW,North-East District,north-east-district,Makaleng,makaleng
Botswana,BW,North-East District,north-east-district,Masunga,masunga
Botswana,BW,North-East District,north-east-district,Sebina,sebina
Botswana,BW,North-West District,north-west-district,Maun,maun
Botswana,BW,North-West District,north-west-district,Nokaneng,nokaneng
Botswana,BW,North-West District,north-west-district,Pandamatenga,pandamatenga
Botswana,BW,North-West District,north-west-district,Sehithwa,sehithwa
Botswana,BW,North-West District,north-west-district,Shakawe,shakawe
Botswana,BW,South-East District,south-east-district,Gaborone,gaborone
Botswana,BW,South-East District,south-east-district,Janeng,janeng
Botswana,BW,South-East District,south-east-district,Kopong,kopong
Botswana,BW,South-East District,south-east-district,Otse,otse
Botswana,BW,South-East District,south-east-district,Ramotswa,ramotswa
Botswana,BW,Southern District,southern-district,Kanye,kanye
Botswana,BW,Southern District,southern-district,Khakhea,khakhea
Botswana,BW,Southern District,southern-district,Mosopa,mosopa
Botswana,BW,Southern District,southern-district,Sekoma,sekoma
